transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
impulse_noise_level 3,83.24,50.63,31.16,0.154313,95.69,87.93,64.52,0.144347,96.65,84.07,38.78,0.085768,99.48,96.74,72.12,0.152869,97.57,90.74,42.91,0.142549,97.2,86.45,46.02,0.156925,99.35,97.4,50.16,0.118481,70.15,57.38,33.81,0.124052,83.58,83.77,39.53,0.140373,73.02,54.23,10.02,0.167317,94.49,88.55,59.67,0.164074,98.22,83.4,62.58,0.132909,84.78,56.72,41.75,0.178825,94.41,89.7,58.97,0.14919,52.72,34.67,8.9,0.155473,88.04,76.16,44.06,0.144498
impulse_noise_level 4,80.27,43.01,28.78,0.160612,95.31,88.21,64.55,0.147517,95.79,80.03,31.31,0.09046,99.35,96.11,70.63,0.15429,97.33,91.03,41.95,0.144477,96.5,85.01,44.29,0.159896,99.25,96.96,48.41,0.121339,61.6,43.89,25.32,0.118638,79.82,75.96,23.77,0.14688,65.47,45.53,8.45,0.169274,93.11,86.96,58.22,0.169351,98.1,80.55,61.87,0.133923,84.07,53.89,36.72,0.18679,89.57,84.17,53.37,0.141516,44.08,27.6,5.72,0.163556,85.31,71.93,40.22,0.147235
defocus_blur_level 1,99.13,96.41,81.02,0.139773,92.05,84.05,54.16,0.140853,97.57,92.19,43.63,0.073215,99.39,97.92,72.12,0.145696,98.21,95.91,44.76,0.129553,99.15,93.3,71.4,0.15499,99.14,97.33,44.89,0.109394,93.03,86.85,67.94,0.108799,97.07,93.51,63.92,0.124837,93.7,79.1,14.58,0.154971,94.77,89.9,63.86,0.157601,98.87,89.16,69.5,0.127711,89.05,63.13,51.86,0.137146,96.39,91.94,67.23,0.153045,91.38,77.26,40.72,0.088482,95.93,88.53,56.77,0.129738
defocus_blur_level 2,99.12,96.28,81.12,0.140936,91.72,83.26,53.86,0.141189,97.49,91.74,43.73,0.073624,99.36,97.87,71.27,0.14828,98.26,96.13,44.81,0.129489,99.14,93.32,71.26,0.155106,99.15,97.38,45.11,0.110439,92.18,85.4,65.17,0.1095,96.85,93.31,63.39,0.125561,93.08,77.94,13.99,0.154599,94.18,89.17,64.73,0.161256,98.84,89.05,69.34,0.127627,88.96,63.34,51.69,0.137637,96.45,91.98,67.28,0.152889,89.64,74.46,37.83,0.089772,95.63,88.04,56.31,0.130527
defocus_blur_level 3,99.04,95.78,80.81,0.142674,90.8,81.84,52.22,0.142993,97.31,89.96,42.04,0.07542,99.24,97.55,68.19,0.154195,98.26,95.88,44.48,0.12814,99.07,92.93,69.47,0.156034,99.11,97.16,44.03,0.112429,91.11,82.47,61.52,0.109585,96.39,92.75,61.03,0.126805,92.11,75.65,12.89,0.153021,92.46,87.24,64.4,0.167148,98.78,89.32,68.06,0.127753,88.88,62.25,50.97,0.140308,96.64,91.8,68.67,0.149073,84.36,64.48,35.15,0.106705,94.9,86.47,54.93,0.132819
defocus_blur_level 4,98.89,95.24,80.27,0.147168,89.99,79.71,50.35,0.145901,97.0,87.63,40.32,0.078124,99.16,97.11,65.56,0.1562,98.06,95.22,43.74,0.134532,98.86,92.56,64.07,0.156971,99.09,96.69,42.64,0.119291,90.69,81.13,60.53,0.111558,95.69,92.01,57.14,0.127805,92.34,75.47,15.32,0.15821,90.76,84.19,63.26,0.168928,98.65,89.31,66.05,0.130515,88.48,61.76,50.57,0.142466,95.97,90.85,69.64,0.150716,83.87,64.38,34.26,0.113538,94.5,85.55,53.58,0.136128
motion_blur_level 1,96.75,92.05,72.64,0.139026,93.21,83.9,60.03,0.140712,98.02,91.1,39.62,0.073139,99.64,98.01,77.4,0.145838,98.23,91.77,44.28,0.139626,98.27,91.79,61.86,0.148705,99.42,97.6,48.48,0.109688,92.29,88.03,61.21,0.110208,94.51,92.11,64.48,0.117935,94.36,81.65,10.39,0.155639,95.83,91.08,73.07,0.158878,99.12,90.12,69.02,0.126785,88.14,70.07,37.34,0.136051,95.46,91.1,55.1,0.126722,93.2,85.31,41.16,0.106637,95.76,89.05,54.41,0.129039
motion_blur_level 2,96.58,91.63,72.1,0.13881,92.99,82.61,59.43,0.142365,97.87,90.18,39.86,0.073,99.69,97.88,77.62,0.14789,98.22,92.07,43.75,0.140008,98.16,91.19,62.5,0.149074,99.4,97.67,48.74,0.11168,91.42,86.39,58.09,0.111529,94.41,90.77,65.41,0.120223,94.36,81.76,11.0,0.153191,95.83,90.17,74.31,0.158055,99.13,90.46,68.79,0.128609,87.41,69.19,37.42,0.137918,95.8,89.83,56.61,0.131179,90.62,80.38,40.73,0.109478,95.46,88.15,54.42,0.130201
motion_blur_level 3,96.01,89.49,71.51,0.140701,92.27,80.7,58.56,0.144672,97.85,90.23,41.99,0.073828,99.57,97.59,75.07,0.154342,97.96,92.8,43.93,0.142632,97.85,88.84,58.54,0.151206,99.37,97.62,47.09,0.112473,89.61,82.82,52.62,0.112321,93.82,87.89,64.58,0.123093,93.74,79.24,11.37,0.153972,95.38,89.9,74.44,0.159686,98.91,88.26,66.41,0.129701,86.81,68.74,36.75,0.142522,94.71,86.49,54.35,0.139102,84.57,68.42,38.23,0.117869,94.56,85.94,53.03,0.133208
motion_blur_level 4,95.08,86.92,69.69,0.146724,91.2,77.39,55.82,0.147862,97.7,88.57,41.45,0.075627,98.97,96.48,72.56,0.15557,96.98,92.5,43.63,0.148703,97.6,86.98,55.1,0.152317,99.31,97.32,45.0,0.114623,88.24,81.77,48.96,0.114596,92.95,86.33,62.55,0.127249,94.13,79.45,11.42,0.156964,94.18,89.72,72.39,0.164611,98.65,81.32,64.69,0.131943,85.49,67.85,34.78,0.148165,90.88,79.39,48.59,0.152523,78.78,60.32,37.83,0.128311,93.34,83.49,50.96,0.137719
