transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
motion_blur_level 3,98.64,99.59,97.56,0.142356,94.4,96.7,90.62,0.13063,93.4,98.58,94.44,0.068967,99.26,99.78,98.36,0.135283,99.25,99.74,97.44,0.078875,96.99,98.51,95.65,0.172464,100.0,100.0,100.0,0.141919,98.62,99.72,98.36,0.113202,90.31,98.02,95.74,0.093784,58.57,78.09,85.11,0.087907,100.0,100.0,100.0,0.154684,100.0,100.0,100.0,0.166306,89.62,85.57,81.25,0.118305,100.0,100.0,100.0,0.148254,94.32,98.39,93.98,0.057179,94.23,96.85,95.23,0.120674
motion_blur_level 4,97.96,99.4,97.56,0.149825,82.68,88.61,86.57,0.135642,89.93,97.58,94.74,0.070562,95.93,98.82,95.08,0.145254,95.49,98.53,94.44,0.083107,95.99,98.22,93.62,0.175755,100.0,100.0,100.0,0.150755,100.0,100.0,100.0,0.118602,79.43,94.21,94.0,0.096618,59.64,78.62,85.11,0.093948,100.0,100.0,100.0,0.158379,92.5,97.33,90.91,0.167205,91.15,88.37,84.62,0.124878,100.0,100.0,100.0,0.150664,87.27,96.05,93.98,0.063377,91.2,95.72,94.04,0.125638
zoom_blur_level 1,83.33,95.8,88.37,0.177389,83.51,91.08,82.86,0.143477,85.32,97.05,92.11,0.075996,77.78,93.3,87.1,0.168492,85.71,92.77,92.68,0.085715,100.0,100.0,100.0,0.185015,100.0,100.0,100.0,0.166132,90.32,97.71,95.38,0.125286,83.24,96.41,92.47,0.123317,43.59,72.21,85.71,0.114212,99.35,99.75,98.25,0.161779,70.0,86.94,90.91,0.175636,79.62,79.11,69.23,0.13806,90.0,97.17,92.31,0.169112,89.74,97.25,93.83,0.109797,84.1,93.1,90.75,0.141294
zoom_blur_level 2,88.89,97.16,90.48,0.17741,83.86,91.36,81.82,0.149481,94.84,99.08,94.44,0.082625,75.86,92.77,89.23,0.170738,75.19,88.19,88.37,0.087302,100.0,100.0,100.0,0.187565,100.0,100.0,100.0,0.173597,94.47,98.94,96.67,0.130721,77.39,94.35,92.63,0.129559,42.01,70.25,85.71,0.122079,99.35,99.75,98.25,0.166502,80.0,91.06,90.91,0.180421,73.85,74.38,63.64,0.147219,89.17,97.06,90.0,0.165763,94.1,98.52,93.98,0.117483,84.6,92.86,90.41,0.145898
zoom_blur_level 3,94.44,98.62,95.0,0.180724,77.02,85.49,84.51,0.152156,83.73,96.67,93.51,0.08432,71.65,91.22,87.88,0.168887,81.95,91.25,92.31,0.095306,98.33,99.09,95.83,0.187232,100.0,100.0,100.0,0.171729,92.17,97.9,95.38,0.131771,78.99,95.69,92.16,0.130368,40.24,71.21,86.67,0.127401,99.68,99.88,98.25,0.169225,85.0,95.19,88.89,0.187115,74.23,76.62,72.73,0.151067,84.17,95.49,89.47,0.16907,90.0,97.21,92.86,0.124182,83.44,92.77,91.03,0.148704
zoom_blur_level 4,98.41,99.56,97.67,0.181595,72.11,83.52,80.56,0.155375,80.16,95.98,91.14,0.087297,68.97,90.83,86.57,0.170032,78.95,89.27,88.37,0.095385,99.67,99.82,97.87,0.189523,99.33,99.79,98.31,0.177191,94.47,98.81,95.24,0.133241,74.47,94.86,92.16,0.136496,43.0,73.55,85.71,0.131512,100.0,100.0,100.0,0.17048,82.5,94.64,88.89,0.189478,74.62,77.94,70.0,0.156705,81.67,94.71,88.89,0.158537,88.97,96.67,94.87,0.129354,82.49,92.66,90.42,0.150813
brightness_level 1,100.0,100.0,100.0,0.139086,99.03,99.43,96.77,0.121641,97.27,99.44,96.36,0.071074,100.0,100.0,100.0,0.13073,100.0,100.0,100.0,0.079759,100.0,100.0,100.0,0.173549,100.0,100.0,100.0,0.132046,99.42,99.87,98.92,0.107849,93.82,98.93,94.44,0.088403,73.33,88.21,87.41,0.090814,100.0,100.0,100.0,0.135746,92.22,96.84,93.75,0.155292,89.5,83.93,83.33,0.118255,98.0,99.44,98.31,0.14144,93.75,98.33,94.31,0.049204,95.76,97.63,96.24,0.115659
brightness_level 2,100.0,100.0,100.0,0.140083,98.5,99.14,95.74,0.123393,97.12,99.43,96.36,0.071531,100.0,100.0,100.0,0.133308,100.0,100.0,100.0,0.081308,99.71,99.84,98.59,0.17493,100.0,100.0,100.0,0.134447,99.81,99.96,98.95,0.105933,93.28,98.82,95.04,0.093961,87.14,93.17,92.8,0.101277,100.0,100.0,100.0,0.140129,91.11,96.51,90.91,0.155135,89.33,84.08,83.33,0.125118,98.0,99.44,98.31,0.139158,87.71,96.47,91.67,0.054681,96.11,97.79,96.11,0.118293
brightness_level 3,100.0,100.0,100.0,0.146431,98.28,99.01,94.62,0.126838,97.27,99.44,96.36,0.071747,100.0,100.0,100.0,0.134754,100.0,100.0,100.0,0.083338,99.43,99.69,97.14,0.177111,100.0,100.0,100.0,0.137816,99.81,99.96,98.95,0.107867,78.98,95.03,91.89,0.106229,71.11,84.5,87.59,0.106376,100.0,100.0,100.0,0.145576,86.67,95.1,88.24,0.154271,87.83,83.09,79.17,0.131404,97.67,99.37,98.31,0.138254,82.92,94.84,90.91,0.054951,93.33,96.67,94.88,0.121531
brightness_level 4,100.0,100.0,100.0,0.152281,97.9,98.74,93.62,0.129424,96.21,99.23,95.58,0.074121,99.84,99.95,98.9,0.136872,100.0,100.0,100.0,0.086984,97.43,98.61,93.15,0.176035,100.0,100.0,100.0,0.13989,99.42,99.87,98.92,0.112196,64.14,92.65,91.61,0.127611,73.97,86.51,85.11,0.108015,100.0,100.0,100.0,0.152458,88.89,95.38,93.75,0.160536,86.5,82.32,75.56,0.136929,100.0,100.0,100.0,0.12872,81.46,94.12,91.6,0.057913,92.38,96.49,94.52,0.125332
