transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
brightness_level 2,89.32,81.28,22.73,0.128915,96.78,52.04,48.61,0.156447,99.07,93.33,65.17,0.128421,97.04,65.86,59.24,0.162953,96.41,79.44,45.01,0.090493,95.96,83.09,20.43,0.139036,95.81,73.27,6.92,0.161682,94.79,79.92,26.49,0.151943,91.94,70.29,13.81,0.101844,96.95,83.42,33.12,0.147569,96.29,81.03,27.22,0.121962,98.71,91.51,58.94,0.076804,95.76,77.87,35.64,0.130672
brightness_level 3,85.58,74.26,21.04,0.131459,95.86,50.69,37.93,0.16059,98.99,92.71,63.49,0.131094,93.87,53.6,38.71,0.169396,96.3,79.27,43.78,0.092666,95.96,83.71,20.19,0.138538,95.37,72.79,6.75,0.161814,94.51,80.53,29.25,0.152215,91.65,71.86,13.54,0.101683,96.88,82.94,33.15,0.149354,93.76,72.26,25.96,0.127155,96.25,85.17,42.61,0.085607,94.58,74.98,31.37,0.133464
brightness_level 4,81.6,68.19,16.05,0.136988,89.63,32.23,6.13,0.178871,98.82,91.67,59.85,0.134096,90.8,43.77,20.83,0.170005,96.11,80.32,42.09,0.093629,96.23,84.4,20.51,0.14066,95.2,71.57,6.19,0.162351,94.22,80.31,34.75,0.15386,90.6,70.24,14.24,0.113553,96.85,81.85,33.07,0.151002,87.97,52.49,18.73,0.141544,87.01,63.76,16.1,0.090215,92.09,68.4,24.05,0.138898
contrast_level 1,94.23,89.96,26.74,0.12521,93.46,68.21,47.45,0.158243,98.86,90.8,51.05,0.126963,98.61,84.67,59.18,0.155997,96.87,77.15,43.59,0.090053,98.07,89.91,13.51,0.140601,93.62,69.96,9.58,0.157467,97.75,93.81,45.06,0.155032,94.8,68.97,15.09,0.095705,97.34,83.36,40.42,0.153587,95.57,78.81,28.84,0.12028,98.69,94.74,43.23,0.056116,96.49,82.53,35.31,0.127938
contrast_level 2,91.51,83.96,22.86,0.127888,92.79,65.86,47.92,0.161117,98.83,90.28,50.27,0.131129,98.25,80.97,58.17,0.161743,96.87,75.44,43.23,0.089812,97.76,88.36,12.73,0.138239,91.61,62.67,8.32,0.158906,97.62,93.49,43.25,0.156021,93.72,64.53,14.4,0.096163,97.28,83.06,40.49,0.155305,95.21,77.86,28.69,0.121935,98.12,94.3,36.28,0.055038,95.8,80.06,33.88,0.129441
contrast_level 3,86.41,73.28,19.87,0.135639,90.76,60.74,48.46,0.165108,98.89,89.81,53.25,0.132732,97.4,75.22,56.97,0.158683,96.61,70.44,41.71,0.090177,97.15,84.09,11.59,0.138075,88.44,54.16,7.71,0.164285,97.22,92.64,39.14,0.157701,92.54,62.12,15.89,0.105313,97.22,80.62,42.22,0.158021,94.16,71.28,28.02,0.123193,96.75,93.56,31.9,0.053962,94.46,75.66,33.06,0.131907
contrast_level 4,77.18,58.31,17.57,0.142046,83.99,43.43,37.99,0.177086,98.7,85.97,58.84,0.14189,92.11,58.5,53.23,0.154147,93.22,58.0,36.37,0.095169,95.32,71.72,10.31,0.141533,87.3,55.67,4.5,0.16817,95.44,89.94,28.03,0.162139,89.53,55.45,21.12,0.125113,96.82,77.27,43.23,0.162569,91.82,58.38,24.5,0.123046,91.73,75.4,30.16,0.057114,91.1,65.67,30.49,0.137502
rotation_level 1,89.49,67.42,26.32,0.140597,90.61,32.48,5.74,0.152969,98.93,89.98,64.51,0.124513,98.66,74.58,62.64,0.154402,92.0,56.58,24.81,0.089397,93.39,69.69,8.8,0.162448,88.97,50.04,0.49,0.14881,93.53,82.96,18.85,0.152433,92.81,74.57,8.22,0.107098,92.33,51.48,4.96,0.148016,96.22,72.3,30.48,0.116657,98.25,95.32,44.76,0.064456,93.77,68.12,25.05,0.13015
rotation_level 2,88.96,63.13,21.89,0.142891,87.06,25.38,4.01,0.150353,98.78,85.4,64.21,0.126607,98.42,70.76,64.03,0.154092,89.63,49.42,21.49,0.089194,91.99,63.87,10.58,0.164501,86.44,39.15,0.33,0.142376,91.24,74.46,15.95,0.163967,92.49,70.99,8.6,0.107986,88.88,42.55,3.04,0.147586,95.25,78.87,30.09,0.121718,98.26,96.5,43.92,0.065683,92.28,63.37,24.01,0.131413
rotation_level 3,86.16,59.17,18.82,0.144565,86.71,26.15,3.41,0.151492,98.69,86.59,64.6,0.126721,97.97,75.11,62.69,0.157129,89.34,49.52,20.73,0.088916,91.28,55.99,6.56,0.162527,86.16,43.7,0.32,0.142476,89.64,70.91,15.48,0.164714,91.45,66.98,10.07,0.11093,86.27,32.32,2.31,0.144721,93.85,60.14,27.78,0.123539,98.61,95.08,50.61,0.069484,91.34,60.14,23.62,0.132268
rotation_level 4,86.64,59.61,15.9,0.144055,82.29,21.06,2.6,0.149754,98.68,81.61,61.91,0.12826,98.13,73.66,62.35,0.155419,87.38,55.28,18.08,0.088642,89.2,51.04,6.35,0.163523,82.88,44.64,0.25,0.14662,87.82,72.15,14.91,0.165685,91.01,64.28,11.49,0.109638,86.12,44.87,2.08,0.146664,95.07,65.3,27.62,0.126253,98.17,95.89,41.87,0.069906,90.28,60.78,22.12,0.132868
zooming_level 1,95.13,94.34,25.68,0.130384,95.75,59.17,45.89,0.153456,99.18,94.45,67.92,0.12144,99.36,86.04,63.37,0.151019,95.13,80.76,38.62,0.093962,98.19,90.05,17.62,0.146875,96.53,80.3,12.87,0.159953,95.56,89.44,32.47,0.151401,94.97,60.51,17.32,0.099254,96.82,86.11,30.78,0.14997,94.95,76.39,27.42,0.121868,99.16,93.43,70.45,0.067442,96.73,82.58,37.53,0.128919
zooming_level 2,96.42,93.26,25.77,0.125881,95.09,58.88,51.7,0.157875,98.97,93.24,66.44,0.122396,99.46,86.5,68.4,0.157616,93.77,81.52,36.19,0.096444,98.32,84.71,16.36,0.148638,96.49,81.23,16.43,0.16249,95.48,91.82,32.46,0.153357,94.09,60.55,16.48,0.108756,95.22,80.75,33.26,0.151072,93.63,76.76,25.68,0.126186,99.03,92.95,70.78,0.067082,96.33,81.85,38.33,0.131483
zooming_level 3,96.67,94.2,24.94,0.126869,93.18,60.06,46.45,0.159858,98.72,93.92,67.18,0.124322,99.36,82.67,68.37,0.159372,93.08,78.57,35.08,0.098699,98.81,89.52,16.93,0.15109,95.84,76.64,10.07,0.163586,95.19,89.73,29.94,0.153883,91.82,54.86,15.81,0.110916,93.79,69.75,28.98,0.153564,93.02,80.24,25.19,0.130219,98.87,93.68,69.85,0.069389,95.7,80.32,36.57,0.133481
zooming_level 4,95.42,93.42,25.06,0.134266,92.92,65.17,44.44,0.163642,98.5,93.37,64.82,0.124461,99.25,79.31,67.95,0.160072,92.96,77.29,36.14,0.100752,98.92,88.11,18.01,0.14686,96.02,75.87,6.61,0.165786,94.54,89.55,30.61,0.156978,91.35,50.94,14.98,0.111106,91.85,61.98,30.09,0.154122,93.41,80.16,27.58,0.129868,98.67,92.22,69.27,0.071434,95.32,78.95,36.3,0.134946
shifting_level 1,94.53,81.21,22.2,0.131946,91.8,64.07,8.39,0.172919,98.95,94.65,47.58,0.124751,99.19,83.35,67.27,0.153242,95.01,85.52,40.44,0.09423,96.72,87.99,19.87,0.140922,93.96,73.84,3.83,0.164239,98.24,87.05,53.66,0.155811,89.09,65.22,16.08,0.099819,93.18,73.79,23.86,0.148877,95.26,82.64,26.05,0.116981,97.58,91.67,9.52,0.068267,95.29,80.92,28.23,0.131
shifting_level 2,94.15,84.22,13.42,0.140526,90.82,57.66,6.04,0.148458,98.4,95.07,46.01,0.125134,98.88,84.39,65.44,0.153827,93.67,81.69,34.13,0.094655,95.48,82.95,20.16,0.14353,92.41,67.62,2.14,0.166058,98.48,84.04,51.94,0.155718,88.93,66.4,17.93,0.105612,91.44,71.34,16.29,0.158902,94.06,83.15,22.06,0.117993,97.71,93.48,16.51,0.073679,94.54,79.33,26.01,0.132008
shifting_level 3,94.24,79.59,14.54,0.149067,90.02,49.24,5.23,0.147438,98.14,92.91,41.26,0.131379,98.76,84.69,66.75,0.156237,93.1,82.49,31.42,0.093681,96.68,84.66,16.78,0.146734,92.65,64.15,0.57,0.147494,98.16,76.88,52.46,0.158893,87.89,62.85,17.47,0.105611,91.6,71.11,9.11,0.163549,94.85,79.74,24.13,0.120514,97.77,91.88,13.62,0.075746,94.49,76.68,24.44,0.133029
shifting_level 4,93.84,83.07,10.94,0.147658,89.57,52.22,4.93,0.14807,98.06,92.24,34.14,0.129945,98.91,82.98,66.72,0.155547,92.23,77.06,29.63,0.093446,94.54,80.93,13.21,0.15019,90.86,63.23,0.31,0.139851,98.11,81.33,51.64,0.160416,87.17,61.13,22.22,0.103372,92.28,75.07,8.16,0.152622,94.61,78.78,22.31,0.122792,97.51,91.43,11.5,0.07216,93.97,76.62,22.98,0.131339
