transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,94.38,95.38,88.66,0.053838,73.98,84.72,80.17,0.085382,96.88,98.5,92.52,0.060917,96.6,98.67,95.38,0.075304,93.14,96.64,91.63,0.025108,85.95,87.66,78.95,0.084768,76.61,79.88,74.11,0.166607,94.41,94.29,87.76,0.127002,77.46,79.82,73.93,0.025886,84.47,86.42,77.37,0.056349,97.81,97.71,93.88,0.070408,98.94,99.51,97.0,0.13663,89.22,91.6,85.95,0.080683
gaussian_noise_level 1,98.1,98.36,93.75,0.057325,67.35,80.9,78.57,0.085839,87.89,94.24,88.0,0.064798,99.13,99.57,97.14,0.080514,97.4,98.61,97.14,0.024469,87.11,88.28,83.58,0.097958,72.4,76.21,71.58,0.161714,94.64,95.52,88.24,0.126727,68.51,69.89,72.0,0.026847,79.76,81.62,75.32,0.05917,97.49,96.97,95.65,0.074001,100.0,100.0,100.0,0.139479,87.48,90.01,86.75,0.083237
gaussian_noise_level 2,90.31,91.65,86.15,0.060754,62.65,77.76,77.65,0.08742,86.33,93.49,86.49,0.069382,98.79,99.39,97.14,0.085012,98.1,98.98,97.14,0.023885,87.54,89.01,81.97,0.102311,70.85,75.35,71.11,0.165841,93.6,94.5,86.57,0.12802,68.77,69.85,73.17,0.027358,74.74,77.31,73.42,0.061031,97.58,97.3,95.65,0.076318,98.62,99.41,97.06,0.139758,85.66,88.67,85.29,0.085591
gaussian_noise_level 3,82.79,85.78,78.79,0.066698,69.26,80.65,78.16,0.088698,86.16,93.71,86.49,0.073077,98.1,99.1,94.44,0.090819,96.02,98.35,95.38,0.025096,85.21,89.03,84.06,0.106151,71.37,74.53,72.0,0.17378,90.4,90.41,84.37,0.132251,66.26,70.22,71.23,0.029991,77.77,81.24,76.47,0.067175,97.84,97.54,94.29,0.078484,97.4,98.91,95.52,0.147788,84.88,88.29,84.27,0.090001
gaussian_noise_level 4,63.06,66.57,68.42,0.073788,65.29,77.29,78.16,0.091985,86.51,93.85,86.15,0.078777,95.5,98.03,92.54,0.096304,84.08,93.13,83.87,0.026605,80.28,81.29,76.74,0.112954,64.1,70.2,68.04,0.175995,83.74,81.78,81.48,0.135617,68.6,72.47,71.64,0.034829,76.04,74.94,75.36,0.074364,95.85,96.2,92.75,0.083249,93.6,97.31,90.62,0.153895,79.72,83.59,80.48,0.094863
shot_noise_level 1,92.29,93.45,87.32,0.058937,80.91,89.39,81.01,0.0878,96.26,98.4,93.94,0.065363,93.58,97.57,93.75,0.084218,92.51,96.85,90.32,0.025036,85.22,85.03,80.0,0.088855,77.04,79.61,73.97,0.168445,92.19,92.48,85.29,0.126634,75.21,79.71,73.81,0.026291,87.25,89.86,80.6,0.05921,96.97,97.44,92.31,0.071268,96.97,98.5,93.94,0.142855,88.87,91.52,85.52,0.083743
shot_noise_level 2,86.41,88.45,81.58,0.065581,80.61,90.28,80.6,0.090676,93.76,97.43,92.31,0.06814,93.05,96.67,92.31,0.0892,92.16,96.7,89.23,0.025002,82.46,83.15,80.0,0.098327,63.91,67.2,69.77,0.168804,95.22,94.83,92.06,0.129946,75.67,78.58,72.5,0.027194,84.4,87.46,76.92,0.060703,96.35,96.75,89.86,0.072865,98.22,99.1,95.65,0.141873,86.85,89.72,84.4,0.086526
shot_noise_level 3,69.7,75.57,70.59,0.071444,76.82,88.53,77.78,0.092463,90.37,95.65,88.89,0.07197,88.41,94.67,88.89,0.095569,82.89,91.32,84.06,0.025072,75.21,75.19,73.42,0.105035,58.4,56.61,71.91,0.17396,91.64,90.53,87.5,0.134501,76.77,80.67,72.0,0.030035,85.92,88.09,80.56,0.064525,95.9,96.36,90.32,0.077402,95.72,97.93,91.67,0.144165,82.31,85.93,81.47,0.090512
shot_noise_level 4,59.78,64.48,66.67,0.078888,63.94,69.78,78.57,0.094198,87.88,94.33,85.71,0.075413,83.42,91.13,88.89,0.097443,55.26,76.23,79.52,0.025506,78.7,82.39,73.17,0.114103,49.22,49.13,67.35,0.183489,78.51,80.35,75.61,0.141998,75.94,78.18,73.81,0.034793,90.2,91.59,83.87,0.073596,90.73,92.23,85.29,0.080007,80.39,90.27,85.71,0.149784,74.5,80.01,78.68,0.095768
impulse_noise_level 1,89.81,91.19,80.56,0.060349,73.33,83.6,81.08,0.08813,95.27,97.54,94.12,0.070568,95.27,98.33,96.87,0.084366,94.32,97.33,93.94,0.024857,79.34,83.84,73.02,0.096874,77.69,78.38,77.14,0.169754,92.75,92.05,86.96,0.126312,80.26,83.15,79.41,0.027567,74.29,78.22,73.42,0.060125,97.98,97.87,94.12,0.073333,97.92,99.01,95.65,0.133775,87.35,90.04,85.52,0.084668
