transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
contrast_level 1,91.51,83.51,57.0,0.327169,78.52,69.17,26.29,0.546529,95.67,88.74,34.56,0.09227,99.52,97.37,73.92,0.036647,94.39,78.4,33.93,0.042435,98.2,89.46,59.57,0.512865,99.4,97.66,48.7,0.241441,63.1,67.78,28.85,0.024061,91.43,95.07,30.66,0.059008,98.4,91.79,42.55,0.503051,97.39,89.18,69.46,0.081841,91.51,90.2,20.69,0.090847,78.34,62.63,19.29,0.032275,98.08,93.98,63.52,0.081493,95.92,81.79,52.87,0.027458,91.43,85.12,44.12,0.179959
contrast_level 2,91.16,82.91,55.54,0.318711,77.97,69.08,26.03,0.511862,95.44,86.52,33.46,0.080696,99.46,96.85,73.2,0.028926,92.83,68.38,33.15,0.041211,98.27,89.3,60.33,0.482993,99.39,96.28,48.03,0.176364,64.03,65.07,28.93,0.021242,90.3,93.91,28.65,0.047641,98.31,91.2,39.99,0.474003,97.22,85.13,68.83,0.046269,91.17,88.97,19.78,0.07408,78.17,62.48,20.25,0.030588,97.99,91.37,62.62,0.059133,94.96,78.13,48.49,0.025708,91.11,83.04,43.15,0.161295
contrast_level 3,90.19,80.48,53.71,0.228549,77.42,69.11,26.26,0.440291,95.56,84.88,33.16,0.061647,99.32,96.17,72.02,0.020623,90.66,72.11,33.71,0.041894,98.29,89.98,60.22,0.402693,99.35,92.53,46.13,0.077721,64.95,59.27,29.06,0.016908,87.47,88.79,21.94,0.01707,98.12,91.68,36.16,0.423133,96.23,86.2,67.24,0.024128,90.71,86.87,19.07,0.049538,77.65,62.1,21.37,0.025749,97.36,93.4,60.13,0.027363,92.8,72.69,40.79,0.020401,90.41,81.75,41.4,0.125181
contrast_level 4,85.14,76.16,48.15,0.066505,77.13,68.47,26.09,0.302264,94.47,83.36,21.82,0.041563,97.4,81.35,69.56,0.010186,85.35,68.26,34.37,0.012511,98.5,86.98,61.46,0.241275,97.97,80.41,47.39,0.04049,64.35,45.76,29.08,0.010591,84.43,85.68,18.41,0.007803,98.09,88.8,37.37,0.28134,87.13,61.17,51.17,0.011827,89.52,84.08,15.12,0.020795,77.49,58.1,20.35,0.019336,92.31,80.13,53.78,0.015324,88.03,60.33,29.21,0.013379,87.82,73.94,37.56,0.073013
rotation_level 1,94.68,87.6,55.75,0.249799,80.55,63.59,27.67,0.601579,95.96,88.15,36.84,0.149473,99.23,96.56,71.6,0.057396,98.72,95.29,41.71,0.072052,98.5,90.78,56.84,0.681824,99.46,98.2,55.65,0.311178,64.46,74.79,29.84,0.045143,92.06,94.31,39.1,0.375412,98.09,89.72,38.99,0.522936,98.29,92.98,79.36,0.19054,92.47,87.43,21.1,0.175242,69.56,48.05,16.29,0.178155,98.48,94.32,73.43,0.198749,97.09,83.26,59.48,0.025987,91.84,85.67,46.91,0.255698
rotation_level 2,94.55,87.28,56.44,0.227513,80.53,64.1,26.15,0.601531,96.23,88.98,37.95,0.144599,99.28,98.14,72.08,0.054915,99.15,93.01,44.24,0.057479,98.83,94.0,60.59,0.667856,99.42,98.14,53.4,0.358501,64.88,75.79,29.95,0.047377,91.42,94.22,40.36,0.368334,97.96,88.71,36.61,0.512894,98.22,93.61,79.33,0.191104,92.22,87.56,19.34,0.208271,69.06,47.26,14.35,0.179597,99.02,95.52,77.02,0.225661,96.72,77.88,59.13,0.023437,91.83,85.61,47.13,0.257938
rotation_level 3,94.59,87.29,54.52,0.218827,80.4,63.81,28.12,0.608834,95.98,89.63,35.49,0.149263,98.88,97.14,71.77,0.052961,98.9,95.34,42.78,0.061066,98.67,92.8,58.68,0.685757,99.47,98.75,56.05,0.30491,64.44,75.44,29.6,0.046676,92.23,95.03,39.45,0.355036,97.96,89.26,37.84,0.481633,98.31,92.18,79.43,0.173673,91.69,83.93,17.44,0.16842,67.9,46.72,14.74,0.248413,98.69,96.39,75.24,0.20049,96.55,79.33,54.22,0.022071,91.64,85.54,46.36,0.251869
rotation_level 4,94.56,86.81,55.4,0.232521,80.4,63.18,26.74,0.602152,95.75,90.66,34.27,0.135966,98.94,97.64,71.91,0.055309,98.81,95.05,47.39,0.069459,98.67,92.28,58.99,0.664918,99.39,98.37,54.67,0.35128,63.99,76.15,29.48,0.047399,91.61,94.38,38.34,0.371723,98.22,90.4,42.32,0.491259,98.51,93.36,80.11,0.198389,90.93,87.7,18.63,0.175949,64.7,44.46,14.0,0.234498,98.84,95.61,76.27,0.251312,96.7,81.69,55.03,0.022198,91.33,85.85,46.9,0.260289
zooming_level 1,90.77,83.39,55.3,0.269282,68.06,62.08,24.12,0.602284,95.64,93.76,39.44,0.34711,99.26,96.57,67.98,0.072853,97.56,88.14,36.66,0.035643,97.45,85.94,48.64,0.540253,99.48,97.65,53.44,0.500388,58.02,65.43,37.71,0.033892,89.22,91.38,34.13,0.063851,98.92,94.35,49.72,0.51246,97.76,90.33,74.61,0.073375,92.29,85.71,32.42,0.126229,70.13,46.92,20.85,0.0153,98.84,97.16,65.46,0.245639,96.37,80.88,59.8,0.026772,89.98,83.98,46.69,0.231022
zooming_level 2,89.93,81.51,55.11,0.225699,65.04,60.04,23.28,0.607532,95.33,93.84,40.19,0.330485,99.3,95.15,70.3,0.062636,97.09,92.19,36.92,0.029807,97.17,84.87,50.7,0.605701,99.45,97.15,50.15,0.429573,52.15,64.29,37.14,0.03221,86.8,89.69,31.19,0.06604,98.97,95.14,48.31,0.524453,97.59,88.56,75.11,0.068962,92.03,86.19,36.12,0.153651,68.23,44.16,21.12,0.01355,98.76,96.57,66.39,0.231071,96.09,80.46,59.2,0.028965,88.93,83.32,46.75,0.227356
zooming_level 3,88.38,79.7,53.89,0.222453,60.06,58.26,23.57,0.613218,94.76,93.92,42.08,0.315129,99.13,95.11,72.01,0.049536,97.8,91.26,38.32,0.041963,96.74,84.02,49.89,0.607577,99.37,97.18,51.42,0.484241,47.41,61.59,37.2,0.02887,86.27,90.33,32.81,0.082407,98.95,94.35,46.35,0.528877,97.31,86.3,75.58,0.067295,92.27,86.26,36.72,0.153343,65.81,41.56,21.4,0.013309,98.69,96.74,66.76,0.208042,95.64,77.5,54.95,0.028568,87.91,82.27,46.86,0.229655
zooming_level 4,87.51,79.03,54.39,0.229217,56.67,56.25,23.5,0.625786,94.25,93.86,42.22,0.335878,98.88,92.71,71.71,0.052871,97.43,88.14,37.48,0.039757,96.94,84.86,52.16,0.632015,99.36,97.38,50.62,0.435953,43.33,61.41,36.95,0.024303,83.9,88.56,31.41,0.06944,99.03,95.35,47.57,0.496043,97.43,86.6,76.31,0.074476,90.71,85.36,37.66,0.159129,64.02,40.44,22.04,0.012858,98.58,96.64,66.98,0.182375,95.16,75.95,54.56,0.030394,86.88,81.5,47.04,0.2267
shifting_level 1,94.12,86.77,59.24,0.248846,87.84,74.06,37.14,0.644173,96.31,91.27,36.12,0.18956,99.3,97.19,67.9,0.061035,96.71,77.38,31.98,0.023443,98.29,90.44,64.11,0.623311,99.53,98.34,57.28,0.434987,64.85,72.24,28.12,0.04017,90.39,94.93,36.08,0.25754,98.64,93.68,42.03,0.533996,96.34,85.44,61.56,0.194269,87.45,91.49,26.13,0.172258,84.41,75.63,32.62,0.112718,97.9,95.67,65.08,0.17283,97.02,89.73,56.47,0.02685,92.61,87.62,46.79,0.249066
shifting_level 2,93.81,86.57,60.21,0.238615,87.73,73.25,37.64,0.643012,96.11,88.31,36.75,0.187903,99.32,96.9,67.2,0.053683,96.96,78.89,34.92,0.024568,98.13,90.18,62.03,0.619766,99.56,98.07,56.47,0.443982,64.46,72.34,28.02,0.037651,91.65,95.28,35.45,0.201786,98.85,94.59,44.95,0.545755,96.55,85.58,63.03,0.095027,87.91,89.27,23.83,0.189762,83.27,74.62,30.22,0.104437,97.62,94.63,64.75,0.187028,96.94,89.3,59.47,0.026249,92.59,87.19,47.0,0.239948
shifting_level 3,93.77,87.53,59.76,0.261301,87.59,72.87,36.51,0.63816,96.04,89.11,33.25,0.168436,99.4,96.86,67.07,0.056207,96.66,72.95,30.41,0.021769,98.23,90.77,63.78,0.626272,99.42,97.92,50.9,0.340808,65.01,74.32,27.83,0.036036,91.25,94.89,35.81,0.216457,98.82,95.42,41.06,0.517166,97.04,87.61,65.4,0.13873,88.47,90.61,24.73,0.195298,83.13,74.36,28.9,0.094242,97.66,94.34,63.49,0.161,97.56,87.64,60.87,0.02597,92.67,87.15,45.98,0.23319
shifting_level 4,93.96,88.13,59.97,0.232047,87.07,74.36,38.72,0.649605,96.23,91.06,37.18,0.193071,99.28,96.74,68.36,0.055425,96.46,75.35,34.42,0.024282,98.23,90.82,64.02,0.632758,99.49,97.94,54.7,0.340657,64.32,73.88,27.94,0.035272,91.28,95.02,35.56,0.241688,98.98,95.82,43.21,0.530295,96.68,88.07,64.2,0.111758,86.93,91.39,24.52,0.210063,83.53,74.53,30.16,0.107511,98.32,96.24,67.35,0.180513,97.57,92.44,58.85,0.02452,92.56,88.12,47.28,0.237964
