transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
brightness_level 2,95.75,94.15,23.9,0.65762,98.54,92.18,54.64,0.662872,97.04,94.66,46.73,0.268536,98.59,81.47,62.58,0.739968,95.63,91.91,39.86,0.203353,99.04,89.08,30.71,0.651221,96.78,71.52,5.29,0.680423,92.21,80.07,9.52,0.693207,91.02,76.37,17.89,0.786001,87.07,83.62,15.13,0.731369,96.3,90.98,39.94,0.831688,97.83,97.88,47.9,0.346672,95.48,86.99,32.84,0.604411
brightness_level 3,95.13,93.59,22.42,0.600279,98.3,89.95,54.26,0.657305,96.83,94.18,42.89,0.275077,98.31,80.87,62.42,0.701955,95.71,91.67,40.18,0.200336,99.07,89.44,31.3,0.64399,96.3,71.44,3.82,0.647166,92.31,79.63,10.42,0.708151,90.23,74.21,16.1,0.794702,87.25,82.95,16.76,0.735765,96.05,90.65,37.72,0.8242,97.64,98.0,48.2,0.37058,95.26,86.38,32.21,0.596626
brightness_level 4,94.82,93.33,22.8,0.595193,97.28,86.17,48.95,0.652002,96.89,93.8,42.32,0.277215,97.92,77.12,61.34,0.680254,95.74,91.44,40.4,0.198194,99.03,89.25,31.33,0.647447,96.19,73.45,4.8,0.725657,93.09,79.69,15.33,0.762477,90.25,73.55,14.97,0.807608,87.44,81.65,17.64,0.744863,95.74,90.64,37.86,0.843428,95.45,97.0,32.47,0.321647,94.99,85.59,30.85,0.604665
contrast_level 1,98.86,96.71,32.86,0.638978,96.83,87.25,52.16,0.567539,96.17,94.66,37.82,0.276116,99.37,86.24,67.01,0.727589,95.91,93.21,33.8,0.177104,99.56,94.23,36.18,0.571014,98.43,88.78,18.99,0.748237,94.78,88.41,18.04,0.729885,94.22,85.53,24.05,0.760545,92.33,78.51,12.0,0.679677,94.08,87.63,33.23,0.819965,98.25,93.02,43.62,0.338988,96.57,89.52,34.15,0.586303
contrast_level 2,98.68,96.6,30.66,0.590769,96.79,85.32,52.62,0.54587,95.99,94.64,39.24,0.257394,99.18,79.34,68.0,0.693578,95.55,93.33,31.78,0.160355,99.56,94.39,36.88,0.543093,98.14,86.73,15.98,0.732562,95.21,88.78,19.35,0.714703,94.18,85.37,23.14,0.750134,92.38,78.32,12.84,0.672487,94.06,87.34,32.91,0.811954,98.19,91.25,44.15,0.311257,96.49,88.45,33.96,0.565346
contrast_level 3,97.76,95.74,24.9,0.528024,96.51,84.59,49.8,0.520878,95.91,94.15,39.05,0.224078,98.77,80.84,61.63,0.594802,95.14,92.55,30.26,0.142862,99.46,91.77,31.68,0.468851,97.66,84.01,8.65,0.712995,95.89,89.2,19.53,0.677948,94.1,84.14,21.44,0.728574,92.53,80.29,13.32,0.645143,94.0,86.89,32.35,0.793962,98.04,89.5,44.01,0.289448,96.31,87.81,31.38,0.527297
contrast_level 4,93.91,92.58,24.81,0.497057,95.03,77.17,30.81,0.497732,95.76,91.14,37.36,0.187673,98.08,70.56,58.21,0.59339,95.52,90.35,32.06,0.101775,98.91,91.89,24.97,0.363778,96.01,78.46,2.49,0.525273,96.1,87.93,16.41,0.554895,93.87,82.27,21.34,0.664418,92.03,77.18,13.0,0.575299,93.86,86.77,32.76,0.758291,97.32,88.85,40.7,0.271765,95.53,84.6,27.91,0.465945
rotation_level 1,98.12,94.02,32.33,0.724526,96.28,84.38,41.57,0.686439,95.4,92.52,37.75,0.319937,99.32,91.41,68.54,0.833075,96.06,91.53,40.01,0.249111,99.5,92.6,42.77,0.644138,98.84,86.31,14.96,0.806975,94.95,82.72,21.73,0.744689,93.1,81.21,18.87,0.789261,95.07,85.1,13.79,0.740048,97.56,89.97,49.82,0.838989,98.11,96.74,43.74,0.452832,96.86,89.04,35.49,0.652502
rotation_level 2,98.27,89.27,31.17,0.710913,96.64,88.5,43.77,0.687235,96.23,94.78,45.23,0.37269,99.28,91.23,69.52,0.867867,95.92,91.33,38.22,0.221381,99.62,94.19,39.9,0.64551,98.82,81.37,17.4,0.803462,95.49,84.8,22.1,0.759747,92.1,78.46,15.58,0.780575,95.27,84.2,11.35,0.733928,97.59,90.67,48.12,0.840013,98.02,97.7,42.87,0.441729,96.94,88.88,35.44,0.655421
rotation_level 3,98.12,92.01,34.42,0.73221,96.52,85.18,44.92,0.691085,96.31,92.51,43.67,0.372538,99.3,91.51,69.39,0.865501,95.78,91.69,37.45,0.228605,99.59,92.71,38.28,0.650114,98.86,88.95,14.27,0.772126,95.49,82.64,27.08,0.777882,92.47,81.08,14.47,0.797703,94.58,84.42,11.48,0.765399,97.46,89.76,46.01,0.847691,97.99,97.48,42.65,0.462538,96.87,89.16,35.34,0.663616
rotation_level 4,98.05,91.57,38.15,0.73071,95.78,83.97,36.88,0.713124,96.34,93.19,41.46,0.354912,99.38,92.42,69.87,0.868178,95.87,93.54,38.03,0.246754,99.5,90.41,38.27,0.675766,98.67,87.03,13.69,0.802066,94.75,83.3,23.96,0.776875,91.35,78.85,19.06,0.816156,94.91,82.5,9.56,0.763073,97.48,89.36,45.51,0.842304,97.41,97.13,33.95,0.444817,96.62,88.61,34.03,0.669561
zooming_level 1,99.39,98.13,36.5,0.80275,96.34,91.79,50.87,0.643829,95.3,96.83,43.78,0.294411,99.41,86.45,71.12,0.894123,95.41,91.68,33.75,0.253356,99.02,95.45,27.54,0.58917,97.58,87.26,15.48,0.771898,94.63,86.65,24.1,0.751387,94.7,81.61,21.52,0.806727,84.99,72.44,12.24,0.73878,94.17,84.34,32.89,0.841938,97.95,93.58,58.09,0.362064,95.74,88.85,35.66,0.645869
zooming_level 2,99.33,97.6,37.38,0.794287,96.67,93.44,58.42,0.647293,94.93,96.82,42.68,0.277972,99.39,84.39,72.38,0.900243,95.24,91.81,34.64,0.27442,99.0,94.74,26.55,0.618164,98.21,88.89,14.19,0.785196,94.08,85.52,25.89,0.782045,94.03,80.05,23.64,0.812423,83.25,73.24,16.28,0.729395,92.86,82.7,32.96,0.844215,97.65,95.49,57.53,0.363013,95.39,88.72,36.88,0.652389
zooming_level 3,99.16,97.47,33.07,0.762759,95.49,91.85,53.58,0.649739,94.52,96.32,43.69,0.292772,99.26,84.94,71.76,0.892298,94.75,91.71,35.06,0.290224,98.96,94.79,25.2,0.607578,98.0,88.65,14.32,0.798979,93.77,82.01,25.21,0.773251,92.95,76.64,24.59,0.823182,80.87,73.48,14.38,0.754486,92.71,83.21,34.42,0.854977,97.41,95.55,58.21,0.371749,94.82,88.05,36.12,0.656
zooming_level 4,99.21,97.94,36.18,0.759187,95.58,88.3,50.82,0.642652,93.18,95.85,40.88,0.301047,99.28,81.1,73.54,0.890136,94.67,91.02,36.85,0.316682,98.95,95.04,30.22,0.627816,97.76,86.01,13.72,0.80363,92.66,81.8,27.68,0.778442,93.01,74.92,25.84,0.819144,79.52,74.99,13.96,0.781846,91.95,83.08,33.83,0.854332,97.27,95.26,57.93,0.368446,94.42,87.11,36.79,0.661947
shifting_level 1,98.95,95.81,45.84,0.761967,97.73,96.17,52.29,0.663993,97.68,97.28,37.9,0.329319,99.56,94.16,71.54,0.899653,96.14,92.08,40.65,0.274089,99.62,95.94,29.57,0.627386,98.82,85.43,9.68,0.79454,89.38,89.14,10.0,0.786108,90.08,80.52,27.3,0.799857,88.69,85.35,11.86,0.750125,94.81,90.54,35.94,0.838855,99.62,97.73,38.88,0.716429,95.92,91.68,34.29,0.68686
shifting_level 2,98.97,95.85,42.77,0.767811,98.05,96.4,52.52,0.653236,97.39,95.94,37.34,0.354475,99.63,95.44,70.74,0.896803,96.2,93.62,42.05,0.255449,99.56,96.0,32.51,0.707189,98.71,82.99,10.86,0.808434,88.44,88.76,10.09,0.78227,89.84,81.48,27.96,0.806663,88.63,83.17,11.5,0.702083,94.26,91.51,36.18,0.83686,99.54,97.34,41.21,0.740243,95.77,91.54,34.64,0.692626
shifting_level 3,99.09,95.36,41.58,0.759508,98.19,94.06,55.14,0.651233,97.37,95.94,36.98,0.367032,99.62,94.52,72.74,0.900213,96.28,93.2,42.59,0.251363,99.57,95.87,31.71,0.626456,98.79,84.24,13.92,0.802222,87.96,87.48,10.29,0.777818,89.12,81.88,26.35,0.811154,88.69,86.27,12.41,0.720335,94.82,90.32,35.98,0.835544,99.65,97.62,41.15,0.78418,95.76,91.4,35.07,0.690588
shifting_level 4,99.11,96.01,42.98,0.729048,97.19,94.18,51.99,0.660101,97.5,97.68,33.48,0.336289,99.62,94.93,71.83,0.909844,96.23,93.76,42.89,0.276853,99.58,96.08,29.25,0.656566,98.71,83.43,13.57,0.821992,87.19,86.07,11.35,0.795711,88.44,81.18,27.58,0.805108,88.27,84.53,14.1,0.726647,94.39,91.11,34.66,0.836914,99.55,97.22,40.34,0.752549,95.48,91.35,34.5,0.692302
