transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
zoom_blur_level 3,83.57,65.33,42.94,0.038765,79.3,53.26,17.2,0.376426,80.6,39.01,15.88,0.183317,91.77,28.87,28.43,0.126683,83.35,31.9,16.34,0.22167,98.59,90.83,58.57,0.545334,98.24,73.62,47.38,0.382603,80.05,54.53,41.64,0.154288,75.25,54.13,15.53,0.008911,95.18,72.31,14.13,0.552547,89.16,47.98,53.53,0.036478,85.82,61.11,10.5,0.424426,72.05,60.15,14.09,0.229576,87.51,49.03,35.64,0.101823,86.96,23.22,20.51,0.003383,85.83,53.69,28.82,0.225749
zoom_blur_level 4,83.05,63.34,41.87,0.030586,79.64,49.93,17.19,0.188126,78.86,42.23,16.2,0.150643,91.41,25.61,26.41,0.066797,80.5,28.75,14.31,0.207422,98.47,90.76,56.22,0.504642,97.9,70.4,45.18,0.340369,76.5,47.93,38.15,0.119453,73.38,53.62,14.98,0.009044,95.15,76.0,14.09,0.709883,88.27,45.69,51.96,0.033912,84.08,60.92,8.15,0.38035,71.85,58.48,14.98,0.187147,85.73,45.25,32.8,0.139952,86.11,21.78,19.65,0.00594,84.73,52.05,27.48,0.204951
brightness_level 1,95.07,80.3,63.72,0.164416,85.56,49.31,29.05,0.264342,89.87,54.48,44.09,0.100763,99.47,65.35,69.81,0.008701,97.72,60.33,44.2,0.024705,98.23,63.22,62.44,0.336059,99.52,79.6,53.39,0.3489,98.94,87.02,88.95,0.133512,74.42,49.47,37.56,0.001458,98.5,48.56,38.41,0.21528,97.81,76.12,76.69,0.017449,97.04,84.48,51.58,0.257039,69.13,27.8,29.21,0.000243,98.54,58.73,68.46,0.006082,95.97,27.88,43.16,0.001256,93.05,60.84,53.38,0.125347
brightness_level 2,93.8,74.42,62.58,0.086884,84.67,51.83,29.53,0.274136,89.55,54.78,43.38,0.10196,99.4,64.22,69.65,0.006048,97.77,57.85,43.54,0.027632,97.99,61.15,59.56,0.37676,99.51,80.83,54.27,0.351222,98.54,88.97,85.09,0.201632,76.55,50.78,37.56,0.002342,98.5,49.84,37.77,0.221313,97.94,76.38,75.89,0.0182,96.95,84.04,50.08,0.259788,70.26,25.81,29.49,0.000327,98.34,58.05,66.4,0.00245,96.0,28.1,45.5,0.001372,93.05,60.47,52.69,0.128804
brightness_level 3,93.18,73.15,62.72,0.070563,83.55,54.26,29.07,0.278593,89.71,55.43,43.85,0.102397,99.37,63.07,68.92,0.005829,97.87,53.63,42.54,0.006819,97.74,60.68,54.89,0.409408,99.48,81.79,54.02,0.367851,98.27,90.03,83.13,0.183876,82.91,56.53,32.17,0.003024,98.49,48.81,37.95,0.203563,97.91,77.02,75.36,0.026912,97.18,83.87,52.27,0.22701,70.28,25.08,28.55,0.000354,97.93,53.7,64.39,0.001298,95.85,26.26,48.04,0.00092,93.31,60.22,51.86,0.125894
brightness_level 4,93.08,72.35,62.82,0.068556,81.79,54.17,30.14,0.279508,89.14,54.73,43.15,0.103995,99.34,61.81,67.48,0.004636,97.28,46.19,42.46,0.004837,97.32,55.79,50.16,0.4378,99.47,82.4,52.76,0.334842,97.81,91.06,80.57,0.106955,79.11,52.24,20.38,0.004401,98.46,49.22,39.04,0.20139,97.21,77.08,74.88,0.033063,97.34,84.04,50.6,0.248012,69.79,22.64,26.56,0.00024,97.44,46.71,63.44,0.003618,95.86,24.6,49.16,0.000812,92.7,58.34,50.24,0.122178
contrast_level 1,90.81,65.98,58.95,0.078824,86.94,42.74,27.73,0.252331,90.55,43.27,33.89,0.101056,99.44,54.58,76.95,0.004663,94.73,35.78,39.03,0.026077,98.38,73.2,56.02,0.452082,99.62,79.87,60.78,0.334597,97.31,74.97,79.13,0.038628,75.03,39.16,33.03,0.00019,98.66,49.37,41.89,0.200772,89.85,57.53,68.35,0.008046,96.5,81.96,44.05,0.108723,78.91,39.75,21.47,0.000167,97.13,49.74,60.07,0.008168,93.58,23.87,38.16,0.001527,92.5,54.12,49.3,0.107723
contrast_level 2,89.89,62.86,57.36,0.06791,86.09,39.7,26.99,0.221486,90.34,36.93,31.08,0.100486,99.43,49.94,76.68,0.002672,93.97,32.68,37.69,0.009501,98.33,72.43,55.05,0.452162,99.56,73.46,60.72,0.321296,97.12,73.18,77.11,0.021147,74.42,37.48,30.53,0.000243,98.51,48.3,40.08,0.141448,90.45,48.77,64.98,0.002654,95.68,78.81,40.04,0.112034,79.85,38.62,21.94,6.2e-05,97.09,44.39,59.37,0.00343,92.41,20.0,36.5,0.000864,92.21,50.5,47.74,0.09716
contrast_level 3,88.12,59.34,54.83,0.056636,85.73,37.45,26.98,0.202528,89.51,25.61,25.53,0.008097,99.19,42.88,75.18,0.001208,92.98,29.16,39.18,0.012996,98.2,74.45,55.19,0.471048,99.4,63.55,58.72,0.32361,96.33,67.6,73.08,0.01393,77.15,33.87,25.22,0.00031,98.27,45.36,34.97,0.141256,89.76,31.67,63.48,0.000378,95.55,72.84,38.83,0.136969,78.98,35.74,20.54,2.5e-05,96.27,36.56,57.09,0.001042,89.56,15.14,30.65,0.000702,91.67,44.75,45.3,0.091382
contrast_level 4,80.87,53.73,49.62,0.020993,83.68,30.38,24.94,0.148694,88.55,14.31,16.17,0.000395,98.34,25.98,70.06,0.00027,92.03,17.81,32.28,0.001142,98.04,73.91,54.49,0.45249,97.52,48.38,56.9,0.258126,90.86,44.42,55.29,0.002581,75.72,35.79,17.43,0.000898,97.49,50.07,31.57,0.14262,84.23,17.25,47.65,3.9e-05,94.07,54.0,34.56,0.10748,75.57,31.43,17.85,3.7e-05,89.77,22.53,48.96,0.000244,84.2,8.58,19.0,0.000633,88.73,35.24,38.45,0.075776
