transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
contrast_level 4,90.39,63.91,30.76,0.196761,90.54,71.03,11.59,0.598888,96.74,61.68,42.76,0.166245,96.31,32.8,59.61,0.281356,94.62,61.38,29.21,0.068828,96.53,51.8,25.81,0.194197,94.56,49.69,4.78,0.513274,93.88,60.98,19.89,0.198803,93.14,71.51,32.73,0.29815,93.3,47.34,32.45,0.343187,94.17,79.84,36.49,0.427978,98.07,73.99,48.03,0.220088,94.35,60.5,31.18,0.292313
rotation_level 1,98.67,77.78,44.48,0.687585,94.05,75.38,28.28,0.510785,92.65,80.08,46.28,0.300169,99.55,93.28,77.2,0.852138,95.28,79.83,35.55,0.200116,99.52,87.3,44.35,0.470889,99.02,89.91,26.18,0.711106,95.38,65.16,44.34,0.248205,94.17,78.93,27.14,0.630147,96.75,64.28,22.51,0.590696,97.6,85.36,50.25,0.539872,97.7,80.83,42.34,0.551671,96.7,79.84,40.74,0.524448
rotation_level 2,98.67,77.06,46.67,0.679699,94.79,74.81,31.85,0.507843,94.3,80.3,51.04,0.315315,99.54,93.41,75.41,0.853029,94.75,78.5,32.72,0.184104,99.51,88.74,41.11,0.514111,99.3,91.86,26.17,0.711746,96.29,66.48,50.08,0.243519,93.36,77.65,25.82,0.651163,96.73,70.34,21.44,0.538162,97.61,85.86,50.81,0.540862,97.52,85.2,38.84,0.52204,96.86,80.85,41.0,0.521799
rotation_level 3,98.75,79.2,44.04,0.662772,95.51,80.24,30.05,0.488279,91.97,81.23,40.56,0.306305,99.5,93.59,76.41,0.876618,94.7,79.62,33.44,0.185117,99.45,87.61,41.6,0.546959,99.18,93.5,25.33,0.709352,96.77,66.94,52.05,0.269136,93.1,81.08,25.04,0.653962,96.5,66.63,15.94,0.68288,97.58,85.88,50.07,0.545123,97.94,82.36,40.31,0.570524,96.75,81.49,39.57,0.541419
rotation_level 4,98.37,79.09,48.4,0.674404,94.2,78.25,29.25,0.497574,93.07,79.11,38.68,0.292961,99.51,93.68,74.61,0.866828,94.92,81.3,33.64,0.167036,99.34,86.16,39.65,0.550295,99.23,93.75,23.96,0.690556,96.21,62.3,49.79,0.286662,92.25,79.12,25.65,0.72306,96.13,67.2,14.68,0.578665,97.63,85.68,50.56,0.549348,97.27,84.78,34.24,0.628999,96.51,80.87,38.59,0.542199
zooming_level 1,99.4,92.93,49.68,0.903971,94.56,81.82,43.1,0.417685,95.66,87.83,50.99,0.295903,99.68,82.03,78.29,0.840021,94.92,81.16,32.69,0.191834,98.96,91.18,27.32,0.356967,98.17,88.82,19.85,0.650885,93.8,81.23,42.6,0.366178,95.84,80.8,41.36,0.639867,84.38,59.8,18.62,0.655867,95.41,85.64,34.64,0.585676,96.24,87.74,43.27,0.392393,95.59,83.42,40.2,0.524771
zooming_level 2,99.01,92.89,45.45,0.675233,94.5,80.57,43.35,0.41582,94.9,87.1,49.94,0.285629,99.56,82.59,79.37,0.850221,94.44,82.54,32.8,0.284188,99.02,91.58,28.66,0.348892,98.39,93.05,25.3,0.652282,92.7,82.08,42.49,0.468596,94.31,79.96,41.32,0.665739,83.44,58.73,21.26,0.651444,94.31,84.46,36.7,0.626574,95.22,90.53,41.44,0.426998,94.98,83.84,40.67,0.529301
zooming_level 3,99.0,92.63,45.4,0.676612,93.96,81.0,43.52,0.395127,94.5,87.75,51.09,0.242717,99.52,81.47,80.65,0.840058,93.89,82.69,32.27,0.237341,99.07,92.98,26.53,0.615456,98.47,90.63,25.14,0.664479,93.23,80.96,43.34,0.440063,93.63,73.57,43.87,0.682434,83.51,62.13,24.48,0.670334,94.21,85.92,35.14,0.642363,95.29,91.56,46.95,0.415839,94.86,83.61,41.53,0.543569
zooming_level 4,99.35,92.83,44.44,0.676343,93.33,80.36,44.02,0.396715,93.71,89.93,45.4,0.242912,99.61,77.26,79.12,0.846205,93.47,82.28,33.54,0.302404,99.1,91.98,27.67,0.376644,98.26,92.79,24.08,0.619276,91.98,84.8,41.77,0.501073,94.14,75.73,44.12,0.685998,83.1,59.15,20.18,0.66479,93.62,84.28,35.95,0.650149,94.53,88.45,40.69,0.370697,94.52,83.32,40.08,0.527767
shifting_level 1,99.3,87.16,52.34,0.644925,96.17,92.4,44.42,0.44958,96.22,83.48,32.16,0.402539,99.59,94.01,77.41,0.816845,94.89,82.65,33.57,0.167854,99.27,92.43,26.52,0.645421,98.93,90.37,21.39,0.648984,91.97,72.52,17.4,0.288982,90.47,78.17,34.91,0.612753,87.46,78.45,21.24,0.665237,96.22,91.6,37.17,0.55003,98.18,84.6,27.72,0.786769,95.72,85.65,35.52,0.55666
shifting_level 2,99.28,86.9,50.39,0.667277,95.65,91.92,42.55,0.438363,96.75,82.35,34.62,0.38193,99.64,94.27,77.17,0.802757,95.74,84.37,39.59,0.207231,99.25,90.77,30.88,0.741657,98.84,89.34,18.1,0.734038,89.54,77.04,17.8,0.296594,91.32,80.91,34.81,0.626632,88.31,75.53,22.96,0.63061,96.1,92.0,39.0,0.544213,98.27,86.19,25.92,0.844432,95.72,85.97,36.15,0.576311
shifting_level 3,99.06,87.53,46.77,0.669632,96.51,92.39,44.59,0.438168,95.96,81.77,31.07,0.399361,99.63,93.72,77.52,0.849877,95.53,84.32,37.65,0.201875,99.27,89.02,25.86,0.767524,98.68,90.65,21.65,0.712388,89.68,71.23,17.91,0.270068,89.65,80.16,36.48,0.652656,87.88,78.6,22.58,0.672109,95.88,90.04,35.91,0.505855,98.67,81.85,32.97,0.799162,95.53,85.11,35.91,0.578223
shifting_level 4,99.38,88.83,55.81,0.668505,95.25,92.71,44.35,0.44759,96.68,81.48,31.59,0.341662,99.7,94.85,78.59,0.815419,94.86,85.68,35.29,0.202864,99.15,87.94,26.37,0.814988,98.9,90.06,23.72,0.715023,88.15,66.91,17.33,0.266402,89.31,80.23,36.48,0.633537,87.72,78.15,22.27,0.651789,95.61,90.49,39.59,0.525824,98.13,82.94,27.79,0.83669,95.24,85.02,36.6,0.576691
