transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
motion_blur_level 2,78.33,84.01,72.29,0.330603,84.55,90.78,85.33,0.34464,82.35,92.47,83.08,0.183641,97.5,98.9,95.38,0.29463,81.64,92.32,83.08,0.289357,89.26,90.43,81.69,0.182167,74.93,79.95,71.79,0.425648,77.5,79.24,74.29,0.259228,87.14,87.65,81.16,0.421558,64.97,66.86,67.44,0.489653,96.52,96.68,89.86,0.502059,83.78,92.89,83.87,0.296628,83.21,87.68,80.77,0.334984
motion_blur_level 3,73.46,80.31,69.7,0.463116,83.79,90.76,85.71,0.386637,78.61,91.54,82.76,0.232745,96.26,98.38,95.24,0.316994,81.46,91.48,83.58,0.24247,88.8,90.51,84.37,0.216527,74.84,81.29,72.41,0.452748,87.88,87.22,81.58,0.233711,87.88,86.95,84.51,0.410275,63.1,67.61,69.66,0.503294,95.72,96.1,90.14,0.495032,86.63,94.18,84.75,0.326641,83.2,88.03,82.03,0.356682
motion_blur_level 4,83.65,85.64,81.08,0.442011,72.12,83.77,79.01,0.380927,82.17,91.98,83.78,0.178568,95.01,97.91,93.94,0.259097,77.18,89.85,81.01,0.140133,82.0,86.16,76.06,0.197313,69.15,77.25,66.67,0.278122,79.06,80.77,76.54,0.234469,84.94,86.31,78.05,0.376029,56.68,62.78,66.0,0.405316,92.87,94.67,88.52,0.545859,77.54,89.98,81.08,0.25536,79.36,85.59,79.31,0.307767
zoom_blur_level 1,80.99,85.59,76.92,0.48756,50.0,63.82,79.52,0.537406,64.77,82.8,82.5,0.35209,84.47,93.38,85.71,0.215169,72.73,85.42,81.48,0.202623,64.0,71.52,67.37,0.188293,60.51,65.53,66.67,0.368811,75.85,81.04,72.13,0.322251,59.69,66.12,66.67,0.42207,48.58,59.73,66.67,0.394301,66.12,70.96,67.37,0.491284,90.34,96.24,90.0,0.452832,68.17,76.85,75.25,0.369558
zoom_blur_level 2,77.87,82.32,75.32,0.477815,51.21,67.28,77.11,0.523518,61.55,81.5,81.48,0.379916,84.66,93.36,85.71,0.274394,78.22,90.05,82.19,0.280849,69.33,72.93,70.45,0.214336,54.18,62.6,66.67,0.37923,70.71,71.7,70.97,0.259329,54.09,58.89,66.67,0.428775,42.33,53.33,66.67,0.423841,61.34,65.73,67.35,0.481218,90.91,96.19,89.86,0.366743,66.37,74.66,75.04,0.374164
zoom_blur_level 3,82.64,83.78,78.79,0.463915,51.97,68.88,77.65,0.483814,64.02,82.67,83.54,0.431174,88.83,95.49,87.1,0.452928,82.58,92.16,83.54,0.185216,72.36,75.28,71.6,0.200218,56.93,59.44,66.67,0.345609,66.94,64.95,73.81,0.357213,28.93,40.85,66.67,0.482367,39.76,50.98,66.67,0.495938,49.68,56.62,66.67,0.425291,94.32,97.38,92.75,0.344723,64.91,72.37,76.29,0.389034
zoom_blur_level 4,82.46,83.74,76.67,0.464323,58.48,74.49,76.74,0.471349,65.72,82.52,82.5,0.430681,85.8,94.11,84.62,0.341933,86.36,94.02,85.71,0.294364,75.48,77.71,73.81,0.19696,58.68,61.59,67.44,0.417348,70.62,71.63,72.5,0.397406,27.55,38.11,66.67,0.446553,50.32,53.5,68.82,0.517322,43.8,49.42,66.67,0.425476,93.75,97.33,91.18,0.335519,66.58,73.18,76.11,0.394936
brightness_level 1,71.16,78.38,70.31,0.410793,74.53,85.78,78.69,0.320808,92.56,96.62,90.0,0.276965,93.04,97.01,90.11,0.42856,89.04,94.95,88.24,0.271614,87.32,87.63,81.67,0.150022,71.64,75.17,71.21,0.37743,72.2,75.55,70.07,0.231024,74.52,75.23,73.5,0.457876,58.2,64.2,66.23,0.298564,98.59,98.4,95.24,0.510064,88.8,94.33,88.68,0.324609,80.97,85.27,80.33,0.338194
brightness_level 2,64.72,73.74,67.57,0.274114,73.53,86.1,78.12,0.319802,88.32,94.76,85.71,0.306062,88.96,95.15,88.07,0.335037,90.88,95.69,91.09,0.274209,83.96,85.18,78.99,0.185419,68.96,71.19,73.28,0.381106,69.88,73.75,69.03,0.363196,71.12,74.66,71.43,0.349356,57.53,63.11,66.23,0.278976,97.14,97.06,90.91,0.534319,83.76,91.76,84.96,0.297938,78.23,83.51,78.78,0.324961
brightness_level 3,60.96,70.31,67.57,0.26796,78.4,88.15,79.34,0.340974,87.6,94.5,86.32,0.295456,83.04,92.55,83.93,0.366217,90.32,95.51,88.89,0.27331,82.44,83.97,77.48,0.186905,67.04,68.18,72.87,0.393015,74.08,73.85,73.33,0.341042,70.92,71.3,71.53,0.379023,54.71,62.23,66.23,0.296844,97.57,97.58,94.85,0.551726,74.64,86.09,82.14,0.353693,76.81,82.02,78.71,0.33718
