transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,95.46,91.41,26.16,0.120838,94.41,54.13,31.35,0.165402,99.01,90.97,66.42,0.098567,99.17,89.24,62.39,0.153874,95.88,80.93,41.12,0.063742,97.7,91.49,17.33,0.118729,96.6,82.95,12.21,0.161136,96.48,87.01,35.09,0.16298,92.95,66.59,11.59,0.136087,96.04,82.14,32.5,0.151268,95.42,82.24,26.41,0.123955,99.14,93.91,62.44,0.126325,96.52,82.75,35.42,0.131909
gaussian_noise_level 1,94.0,89.27,22.68,0.121136,93.97,39.33,30.53,0.167601,99.15,92.32,69.48,0.100991,99.24,89.73,66.2,0.154092,95.47,72.66,42.85,0.062587,98.29,94.03,23.07,0.123587,96.36,84.89,8.5,0.162081,94.51,87.15,15.8,0.153131,92.4,67.62,10.33,0.131133,95.35,83.44,19.82,0.148285,96.46,82.04,29.12,0.127067,99.33,95.61,71.41,0.124211,96.21,81.51,34.15,0.131325
gaussian_noise_level 2,93.1,87.82,21.12,0.123441,93.76,37.73,30.96,0.166513,99.02,91.98,66.94,0.099306,99.12,88.97,66.45,0.154577,95.79,71.25,45.58,0.064123,97.65,92.76,21.49,0.125051,96.15,84.26,7.38,0.165061,93.95,85.44,16.31,0.155319,92.26,66.51,10.57,0.132868,95.39,82.17,19.2,0.148498,96.44,82.54,30.24,0.128902,99.32,96.24,71.38,0.126745,96.0,80.64,33.97,0.132534
gaussian_noise_level 3,91.53,83.43,20.75,0.124229,93.05,34.42,29.78,0.167667,99.17,91.6,72.88,0.100531,98.91,87.0,63.41,0.158635,95.47,70.49,44.32,0.065683,97.32,90.86,19.16,0.124149,95.02,81.19,6.39,0.164498,92.76,83.71,15.9,0.156654,91.83,65.88,9.87,0.134123,95.12,80.83,18.27,0.150033,96.26,81.88,31.18,0.130363,99.34,96.02,70.92,0.126698,95.48,78.94,33.57,0.133605
gaussian_noise_level 4,90.38,76.75,18.23,0.127162,90.88,33.0,20.06,0.170683,99.25,89.5,74.06,0.102118,98.62,84.27,60.21,0.156175,95.45,66.09,44.7,0.069454,96.73,90.54,18.49,0.128485,93.1,76.74,4.27,0.170056,89.93,80.16,14.92,0.158353,91.95,64.85,9.84,0.135312,94.33,77.29,17.22,0.152041,95.7,79.77,26.73,0.131515,99.3,95.42,69.31,0.126547,94.64,76.2,31.5,0.135658
shot_noise_level 1,92.44,83.25,23.52,0.120703,96.07,53.57,33.78,0.16646,98.64,88.88,64.14,0.100951,98.39,86.01,60.67,0.157934,96.84,84.52,40.98,0.067156,95.85,85.5,11.97,0.117722,94.64,83.2,8.49,0.158591,96.26,90.9,34.81,0.16382,93.03,68.07,17.42,0.138188,97.01,78.1,43.15,0.150807,95.2,80.27,23.66,0.123318,99.3,94.12,57.72,0.120232,96.14,81.37,35.03,0.132157
shot_noise_level 2,90.59,79.97,17.21,0.12093,95.46,52.79,35.47,0.167632,98.57,88.56,61.31,0.099477,98.2,81.71,64.02,0.159305,96.55,85.64,38.83,0.069846,95.05,83.34,10.31,0.11611,93.98,82.34,7.77,0.159816,95.48,90.39,31.53,0.16442,92.36,66.88,17.03,0.135,96.71,75.51,42.42,0.151448,95.13,79.82,23.44,0.124864,99.21,93.46,52.05,0.115826,95.61,80.03,33.45,0.132056
shot_noise_level 3,87.3,74.71,11.97,0.125778,94.73,50.74,34.84,0.169754,97.98,87.75,53.63,0.098137,97.92,77.36,59.81,0.159257,96.48,83.22,38.08,0.071599,94.33,82.28,9.67,0.123145,92.78,81.64,5.03,0.166381,94.75,90.5,27.86,0.16578,92.1,66.77,16.55,0.14153,96.07,73.7,41.36,0.153006,94.99,79.63,23.43,0.124926,99.19,93.67,52.93,0.119207,94.88,78.5,31.26,0.134875
shot_noise_level 4,83.23,66.6,3.64,0.135797,92.07,44.92,24.26,0.174138,98.12,86.87,60.94,0.099522,97.46,73.87,55.77,0.161484,95.5,76.77,34.56,0.074673,93.56,81.35,7.73,0.133785,88.07,73.44,2.85,0.174745,92.89,88.64,24.12,0.167704,91.52,64.35,16.23,0.1432,94.64,69.06,36.34,0.15639,94.82,79.14,23.91,0.127631,98.91,90.89,50.33,0.119803,93.4,74.66,28.39,0.139073
impulse_noise_level 1,88.77,74.64,16.81,0.12183,92.41,73.23,31.56,0.165476,99.08,89.9,68.28,0.095625,98.9,85.0,59.93,0.15749,95.58,81.64,41.5,0.064314,98.05,90.19,14.53,0.116548,97.9,82.4,20.11,0.16359,98.01,83.97,54.49,0.165137,93.82,63.09,10.35,0.133124,95.13,80.2,33.4,0.152922,94.94,83.77,29.35,0.12509,99.19,91.36,61.14,0.126631,95.98,81.62,36.79,0.132315
impulse_noise_level 2,83.88,67.4,11.37,0.124851,91.72,71.57,30.19,0.166143,98.96,88.55,67.65,0.09487,98.73,82.78,55.7,0.154676,95.44,80.04,40.5,0.064237,97.83,88.83,12.75,0.114723,97.42,82.17,18.85,0.165099,97.83,82.85,51.63,0.164462,93.42,62.67,10.39,0.133326,93.73,78.22,33.45,0.154077,95.08,82.83,30.1,0.128178,99.22,91.04,62.36,0.125888,95.27,79.91,35.41,0.132544
