transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
motion_blur_level 1,94.4,95.56,92.31,0.068727,80.61,90.04,84.06,0.098495,91.62,96.06,90.32,0.079427,98.93,99.53,98.46,0.169051,88.24,94.21,87.5,0.037487,86.32,87.91,80.0,0.018465,82.46,84.23,77.11,0.173703,87.33,87.26,82.05,0.11763,71.44,75.35,72.0,0.02171,83.69,84.65,78.48,0.07365,92.51,92.58,87.88,0.094867,97.33,99.01,96.97,0.177367,87.91,90.53,85.59,0.094215
motion_blur_level 2,92.75,94.19,89.55,0.067334,76.97,88.26,78.69,0.100274,92.69,96.32,91.18,0.079425,97.33,98.75,93.94,0.165268,89.84,95.48,90.62,0.038318,87.79,89.54,81.08,0.019407,81.91,83.2,78.38,0.177631,85.22,84.74,82.05,0.118593,67.95,71.81,71.74,0.020551,82.8,81.79,78.38,0.076314,92.78,93.02,86.84,0.092569,96.97,98.92,96.97,0.177583,87.08,89.67,84.95,0.094439
motion_blur_level 3,92.29,94.7,90.62,0.069819,78.48,87.94,81.16,0.101754,89.13,94.88,86.49,0.07966,95.19,97.89,93.55,0.177176,81.64,91.56,84.37,0.039252,90.82,90.36,84.62,0.020359,79.06,80.11,77.5,0.17767,86.87,85.57,83.12,0.119694,60.79,65.76,68.13,0.022526,84.85,84.18,83.12,0.081307,90.91,90.07,86.11,0.0957,96.61,98.78,96.97,0.175649,85.55,88.48,84.65,0.096714
motion_blur_level 4,90.73,92.72,83.87,0.073232,70.3,84.65,76.74,0.098388,83.96,92.75,83.78,0.086788,94.47,97.53,92.75,0.166132,75.76,87.73,80.49,0.03704,84.21,83.21,78.26,0.023236,75.67,79.43,74.67,0.182225,81.73,79.92,81.08,0.127962,55.28,61.75,69.57,0.025479,68.89,68.97,71.11,0.086969,87.97,85.97,84.06,0.101201,95.9,98.37,95.24,0.180123,80.41,84.42,80.97,0.099065
zoom_blur_level 1,57.58,60.36,68.13,0.09612,49.55,64.0,76.74,0.114927,77.27,89.84,82.19,0.108269,90.72,96.15,89.23,0.187938,74.05,86.45,82.86,0.044974,79.43,81.73,75.68,0.030731,71.53,72.56,73.81,0.190882,57.02,57.55,68.89,0.145357,54.64,58.71,67.42,0.089786,70.06,67.9,70.89,0.152231,74.01,74.2,76.32,0.160222,95.83,98.11,94.12,0.185734,70.97,75.63,77.19,0.125598
zoom_blur_level 2,47.57,49.28,66.67,0.100026,40.3,57.46,76.74,0.124985,73.48,87.52,81.82,0.118471,91.48,96.68,90.62,0.192372,73.48,87.5,81.48,0.051609,73.37,76.26,72.22,0.036069,71.35,69.22,77.65,0.195886,69.7,72.21,68.89,0.157754,49.22,53.25,66.67,0.108525,70.06,68.03,71.74,0.167583,71.99,75.5,73.42,0.179405,94.7,97.5,92.54,0.190876,68.89,74.2,76.7,0.135297
zoom_blur_level 3,34.44,41.26,66.67,0.103644,41.06,55.23,76.74,0.134431,78.6,89.75,83.58,0.125242,82.39,91.68,84.62,0.192013,77.84,88.28,86.49,0.05927,65.38,70.13,69.66,0.036871,59.69,55.01,73.33,0.199031,68.87,74.81,69.57,0.166541,44.72,49.13,66.67,0.117771,58.49,57.35,68.75,0.174226,45.82,54.74,66.67,0.180367,94.51,97.46,91.43,0.19401,62.65,68.74,75.35,0.140285
zoom_blur_level 4,31.04,40.28,66.67,0.105771,43.79,58.13,77.11,0.152629,70.64,85.69,82.67,0.126848,83.33,92.31,85.33,0.195829,78.22,88.71,84.93,0.062855,64.0,66.86,68.89,0.040311,59.5,56.94,71.74,0.20011,62.35,69.99,66.67,0.163802,45.36,49.66,66.67,0.13461,46.56,45.59,68.75,0.178169,32.23,43.46,66.67,0.183549,92.61,96.58,91.18,0.197056,59.14,66.18,74.77,0.145128
brightness_level 1,87.92,89.2,84.62,0.067575,76.13,85.64,80.73,0.098272,87.76,94.49,87.13,0.084584,93.36,97.36,92.78,0.170466,89.28,94.78,87.5,0.036223,83.76,85.2,77.36,0.020567,83.2,84.71,77.08,0.181646,89.04,90.12,82.46,0.119422,73.52,76.11,74.29,0.023914,85.53,88.38,77.97,0.075763,90.51,87.39,86.54,0.098376,92.72,96.35,91.26,0.175131,86.06,89.14,83.31,0.095995
brightness_level 2,85.72,87.82,79.63,0.067139,76.73,86.56,78.5,0.098785,72.08,87.15,80.65,0.085052,81.92,91.51,82.05,0.171066,86.16,93.25,87.27,0.037458,81.08,84.23,75.93,0.022824,80.48,82.38,76.27,0.178524,87.88,89.21,80.73,0.122217,67.84,72.54,68.03,0.022408,84.2,86.49,78.33,0.077757,89.33,85.71,85.71,0.103517,89.12,93.5,90.91,0.18958,81.88,86.7,80.33,0.098027
