transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,100.0,100.0,100.0,0.165319,91.72,95.55,87.64,0.161387,89.03,97.57,92.17,0.103836,100.0,100.0,100.0,0.086502,98.75,99.57,96.43,0.092509,99.07,99.48,97.84,0.172136,100.0,100.0,100.0,0.119035,99.56,99.89,98.94,0.165553,93.24,98.72,94.7,0.113921,60.83,80.83,85.3,0.11607,100.0,100.0,100.0,0.166875,97.22,98.97,94.92,0.182919,90.62,85.08,83.52,0.132345,99.39,99.82,98.31,0.153427,95.93,98.78,96.36,0.023513,94.36,96.95,95.08,0.130356
gaussian_noise_level 1,88.44,96.87,92.31,0.183622,87.9,93.64,85.71,0.167555,78.72,94.96,90.24,0.111411,100.0,100.0,100.0,0.093956,95.49,98.74,97.3,0.103187,98.81,99.29,97.96,0.175522,100.0,100.0,100.0,0.135634,98.39,99.6,96.87,0.163736,90.78,98.12,94.0,0.122987,53.04,78.86,85.11,0.132825,100.0,100.0,100.0,0.166437,97.5,99.09,95.24,0.177446,85.71,86.42,78.26,0.152493,100.0,100.0,100.0,0.152168,93.41,98.17,95.24,0.037308,91.21,96.25,93.88,0.138419
gaussian_noise_level 2,87.07,96.58,92.31,0.186579,87.58,93.53,85.71,0.169115,81.76,95.53,91.36,0.120702,100.0,100.0,100.0,0.097104,96.99,99.08,97.3,0.106326,98.51,99.14,96.0,0.178636,100.0,100.0,100.0,0.137146,94.76,98.56,96.87,0.169634,90.54,97.99,94.0,0.134689,49.82,75.35,85.11,0.138364,99.68,99.88,98.25,0.16324,97.5,99.09,95.24,0.177184,83.57,78.54,81.25,0.151795,100.0,100.0,100.0,0.148337,87.5,96.88,89.89,0.041196,90.35,95.34,93.55,0.141336
gaussian_noise_level 3,94.56,98.48,95.24,0.191263,84.19,89.73,82.76,0.17139,77.36,94.19,90.24,0.125075,100.0,100.0,100.0,0.096634,98.5,99.5,97.3,0.108486,97.62,98.72,93.88,0.184561,99.41,99.8,98.41,0.139107,85.48,96.42,89.86,0.165768,75.65,94.68,93.07,0.148962,38.04,69.5,85.11,0.151493,98.7,99.53,96.43,0.170963,97.5,99.09,95.24,0.184051,77.5,75.55,68.97,0.155824,100.0,100.0,100.0,0.15136,82.05,94.75,89.41,0.048878,87.1,94.0,91.73,0.146254
gaussian_noise_level 4,91.84,97.46,93.02,0.196824,76.94,87.0,78.12,0.175424,75.68,92.32,91.36,0.131356,98.67,99.55,98.36,0.099736,96.24,98.62,95.0,0.107667,89.88,95.58,89.36,0.195001,99.71,99.9,98.41,0.142008,73.39,89.4,92.54,0.18015,63.83,90.77,91.26,0.169465,33.21,66.54,85.11,0.158596,100.0,100.0,100.0,0.177617,95.0,98.09,95.24,0.183688,77.5,81.49,75.0,0.166021,97.14,99.03,95.24,0.151428,81.82,94.77,88.89,0.052791,83.39,92.7,91.13,0.152518
shot_noise_level 1,92.52,97.69,92.68,0.187922,94.4,96.84,89.55,0.162082,91.32,98.17,93.51,0.111731,100.0,100.0,100.0,0.098303,97.74,99.28,97.3,0.105445,98.33,99.22,97.78,0.178388,100.0,100.0,100.0,0.130992,96.77,99.31,95.38,0.166961,72.81,92.89,92.16,0.13067,67.14,86.13,86.05,0.145653,99.35,99.75,98.25,0.167114,100.0,100.0,100.0,0.181286,93.08,93.18,88.0,0.145341,99.17,99.76,97.56,0.143228,84.55,95.35,90.91,0.037733,92.48,97.17,94.61,0.139523
shot_noise_level 2,92.52,97.66,93.33,0.191881,95.59,97.68,92.06,0.166749,92.36,98.21,94.59,0.123617,100.0,100.0,100.0,0.102393,97.74,99.28,97.3,0.108493,98.33,99.17,95.65,0.179131,100.0,100.0,100.0,0.137204,88.02,97.29,92.54,0.166799,66.9,93.03,91.26,0.145536,62.32,81.5,85.11,0.147256,100.0,100.0,100.0,0.171184,100.0,100.0,100.0,0.186905,85.0,81.36,76.92,0.149412,99.17,99.76,97.56,0.144314,82.27,94.94,90.91,0.041514,90.68,95.99,93.82,0.144159
shot_noise_level 3,82.31,94.67,87.5,0.195945,92.02,96.0,88.52,0.172133,86.11,96.23,93.51,0.128443,100.0,100.0,100.0,0.102896,93.23,97.7,94.74,0.1099,93.65,96.58,90.2,0.178261,100.0,100.0,100.0,0.13571,81.11,95.26,93.94,0.170378,51.77,87.77,91.26,0.155724,47.68,80.35,85.11,0.158042,99.35,99.76,98.18,0.175832,100.0,100.0,100.0,0.188003,75.77,66.79,68.57,0.15113,99.17,99.76,97.56,0.147403,86.36,95.93,93.02,0.048349,85.9,93.79,92.14,0.147877
shot_noise_level 4,62.59,86.55,87.5,0.204141,85.57,92.39,83.33,0.171323,81.6,95.41,92.31,0.134538,100.0,100.0,100.0,0.103725,94.74,97.94,95.0,0.108515,85.62,92.88,86.36,0.19217,100.0,100.0,100.0,0.138998,77.42,93.5,92.31,0.185435,39.01,79.28,91.26,0.182471,40.18,71.04,85.11,0.165814,100.0,100.0,100.0,0.180831,80.0,92.08,86.96,0.185082,82.31,80.99,75.86,0.16014,96.67,98.97,97.56,0.153336,78.86,93.86,90.7,0.055174,80.3,91.66,90.95,0.15478
impulse_noise_level 1,93.65,98.22,95.45,0.186729,93.16,96.32,90.32,0.164903,65.87,92.71,91.14,0.11632,100.0,100.0,100.0,0.091151,99.25,99.74,97.44,0.097936,99.33,99.65,97.78,0.178332,100.0,100.0,100.0,0.134863,100.0,100.0,100.0,0.169822,81.12,95.65,94.95,0.126527,55.03,79.9,85.71,0.136475,100.0,100.0,100.0,0.164758,95.0,98.33,94.74,0.199368,97.31,94.93,96.3,0.151831,100.0,100.0,100.0,0.159662,88.97,97.07,92.5,0.040163,91.25,96.83,95.76,0.141256
impulse_noise_level 2,75.4,92.17,89.36,0.190327,91.05,95.21,86.79,0.174426,58.73,91.81,91.14,0.122567,99.62,99.89,98.31,0.092403,98.5,99.46,97.44,0.098264,95.65,97.85,93.62,0.180202,100.0,100.0,100.0,0.136107,100.0,100.0,100.0,0.171991,73.14,93.9,92.16,0.135872,52.47,77.56,85.71,0.144711,100.0,100.0,100.0,0.171296,97.5,99.09,95.24,0.188331,83.85,83.95,75.0,0.158299,100.0,100.0,100.0,0.158056,73.08,92.64,89.16,0.044001,86.6,94.9,92.93,0.144457
impulse_noise_level 3,88.89,97.13,90.91,0.194943,90.53,95.21,87.27,0.174605,42.46,85.53,91.14,0.127667,98.85,99.66,96.67,0.091423,99.25,99.74,97.44,0.103495,90.97,95.55,90.91,0.189573,100.0,100.0,100.0,0.136368,73.73,93.79,89.86,0.172262,76.6,93.65,92.93,0.148139,49.51,77.47,86.67,0.151827,99.68,99.88,98.25,0.169437,97.5,99.09,95.24,0.189855,73.08,66.54,66.67,0.161767,99.17,99.76,97.56,0.156167,86.92,96.6,92.5,0.049246,84.48,93.31,91.6,0.147785
