transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,100.0,100.0,100.0,0.165319,91.72,95.55,87.64,0.161387,89.03,97.57,92.17,0.103836,100.0,100.0,100.0,0.086502,98.75,99.57,96.43,0.092509,99.07,99.48,97.84,0.172136,100.0,100.0,100.0,0.119035,99.56,99.89,98.94,0.165553,93.24,98.72,94.7,0.113921,60.83,80.83,85.3,0.11607,100.0,100.0,100.0,0.166875,97.22,98.97,94.92,0.182919,90.62,85.08,83.52,0.132345,99.39,99.82,98.31,0.153427,95.93,98.78,96.36,0.023513,94.36,96.95,95.08,0.130356
noise_level 1,91.19,97.48,91.47,0.185867,91.59,95.45,87.15,0.165643,77.82,94.39,91.6,0.111411,99.96,99.99,99.44,0.091151,97.58,99.23,96.49,0.097936,98.25,99.05,97.14,0.175522,99.9,99.96,99.46,0.130992,98.78,99.72,96.87,0.163736,77.88,94.23,92.88,0.126527,57.43,80.18,85.3,0.132825,99.86,99.94,99.41,0.164758,97.78,99.17,95.08,0.181286,85.12,83.29,73.85,0.151831,99.21,99.77,97.52,0.152168,86.0,95.85,91.54,0.037308,90.56,95.85,93.01,0.137931
noise_level 2,86.19,95.79,88.24,0.186579,91.3,95.34,86.86,0.168482,75.95,93.78,91.6,0.119632,99.84,99.95,99.44,0.097104,97.49,99.2,96.36,0.106326,97.04,98.38,94.29,0.180202,100.0,100.0,100.0,0.136107,94.28,98.59,95.24,0.170797,69.31,92.2,92.46,0.134689,53.37,77.15,85.3,0.138364,99.89,99.96,99.4,0.171184,97.22,98.88,96.67,0.186905,76.79,72.08,68.57,0.149412,99.04,99.72,98.31,0.155342,79.28,93.6,89.81,0.041196,87.8,94.31,92.17,0.142821
noise_level 3,85.63,95.46,89.21,0.191263,89.13,93.88,85.23,0.17139,69.21,91.14,91.14,0.126027,99.24,99.78,97.75,0.096634,97.24,99.03,96.43,0.105316,93.68,96.58,89.51,0.184145,99.73,99.9,99.46,0.13571,79.42,94.66,90.73,0.165768,62.88,89.32,92.41,0.148139,44.39,73.99,85.3,0.151493,99.35,99.76,97.56,0.172285,96.11,98.27,95.24,0.184051,70.62,64.0,64.0,0.154665,98.51,99.54,96.72,0.15136,85.61,95.83,91.2,0.048777,84.72,92.74,90.79,0.145802
noise_level 4,71.03,89.18,88.57,0.196824,83.41,91.07,80.61,0.174439,71.52,92.61,90.68,0.132728,99.24,99.77,97.27,0.099736,95.66,98.33,93.81,0.110286,85.61,92.83,83.56,0.19217,99.69,99.89,99.46,0.138998,76.0,92.13,91.18,0.18015,53.93,84.06,91.56,0.160944,39.48,69.47,85.3,0.158596,99.42,99.81,99.4,0.177617,87.5,95.32,87.5,0.186755,71.42,62.18,67.5,0.166021,97.72,99.29,96.67,0.153308,78.15,93.41,89.23,0.0549,80.65,90.62,89.49,0.152231
blur_level 1,91.67,97.05,95.45,0.16681,84.15,90.43,82.08,0.159058,84.24,96.25,91.77,0.105614,77.45,89.61,95.19,0.089858,92.73,97.05,94.02,0.098297,91.11,94.41,90.2,0.171231,96.2,98.69,94.85,0.12094,91.4,97.7,95.38,0.166338,74.39,92.56,93.47,0.113972,54.89,75.0,85.61,0.119878,97.08,98.92,93.9,0.181217,90.83,95.84,93.33,0.191726,76.33,70.28,72.73,0.135101,89.74,96.24,94.4,0.147417,74.79,89.41,92.49,0.026776,84.47,91.96,90.99,0.132949
blur_level 2,90.48,96.71,95.45,0.166499,80.64,87.59,82.52,0.161416,78.26,94.15,91.89,0.110225,77.77,89.91,95.19,0.089534,87.55,94.24,94.21,0.093739,85.54,90.49,90.2,0.172216,91.81,97.04,94.85,0.119438,87.1,96.23,94.24,0.17088,72.42,92.08,93.01,0.117564,52.51,74.09,85.61,0.122239,95.63,98.36,93.85,0.172928,86.94,94.15,92.06,0.188357,74.38,65.29,71.56,0.13483,91.84,97.11,94.49,0.144447,73.48,89.59,92.18,0.03018,81.76,90.47,90.75,0.132966
blur_level 3,89.92,96.4,94.66,0.16332,78.13,84.16,83.58,0.166006,74.11,92.61,91.21,0.100958,80.9,91.94,94.68,0.093851,85.63,93.2,94.21,0.094237,84.0,89.15,90.2,0.172612,92.49,97.32,94.36,0.124251,84.51,95.29,93.75,0.172144,73.4,92.32,93.43,0.12043,51.59,73.97,85.61,0.122238,94.95,98.1,93.85,0.17508,82.22,90.89,93.75,0.19044,72.38,64.06,70.48,0.136739,93.51,97.75,94.4,0.153805,71.93,89.27,90.55,0.034928,80.64,89.76,90.58,0.134736
blur_level 4,87.46,95.34,94.66,0.17021,76.44,83.6,81.77,0.167814,69.84,91.11,90.46,0.100838,76.85,90.32,91.67,0.098865,84.46,92.65,92.44,0.096583,83.04,88.4,89.61,0.174126,92.76,97.45,94.85,0.125029,82.94,94.91,92.23,0.174329,69.31,91.55,92.26,0.123965,50.91,74.13,85.61,0.127858,93.8,97.58,93.85,0.175805,79.44,88.59,90.91,0.188569,72.0,63.74,68.97,0.136417,93.51,97.89,94.4,0.153834,68.04,88.18,89.66,0.03775,78.72,89.03,89.56,0.136799
photometric_level 1,100.0,100.0,100.0,0.164303,89.06,93.49,86.77,0.162328,86.4,97.06,90.99,0.103456,99.64,99.89,98.32,0.086127,97.91,99.32,97.35,0.092504,98.29,99.1,97.18,0.170251,99.86,99.95,99.46,0.114074,99.36,99.85,98.94,0.168579,91.24,98.35,93.6,0.114034,62.14,82.5,85.3,0.116655,99.89,99.96,99.41,0.165481,97.22,98.97,94.92,0.185148,84.83,79.82,75.86,0.136156,97.46,99.24,95.8,0.144348,68.86,89.41,89.84,0.024961,91.48,95.79,93.58,0.129894
photometric_level 2,99.76,99.93,99.2,0.169009,88.91,93.21,86.96,0.16602,86.0,96.95,91.14,0.105984,98.76,99.63,96.7,0.087319,97.16,99.0,96.49,0.093244,98.0,98.93,96.5,0.172787,99.83,99.94,99.46,0.113437,99.36,99.85,98.94,0.171223,87.37,97.42,94.2,0.119482,65.48,84.2,86.35,0.136716,99.89,99.96,99.41,0.165144,97.22,98.97,94.74,0.1886,79.79,75.67,69.66,0.140813,96.84,99.0,95.8,0.1434,65.1,87.87,88.19,0.027918,90.63,95.37,92.92,0.133406
photometric_level 3,98.49,99.56,96.83,0.16988,88.61,93.06,86.17,0.167619,81.09,95.52,91.38,0.114776,97.91,99.39,95.91,0.09408,97.58,99.19,96.49,0.093058,98.29,99.08,97.14,0.176358,99.83,99.94,99.46,0.112526,99.07,99.78,98.4,0.173221,74.93,93.95,91.56,0.122126,65.1,84.71,85.82,0.143208,99.86,99.94,99.41,0.16595,95.28,98.32,92.86,0.191779,79.08,76.08,66.67,0.143393,94.47,98.33,93.44,0.14058,60.11,86.54,88.15,0.026138,88.65,94.89,91.98,0.135646
photometric_level 4,96.11,98.85,93.55,0.17971,75.06,83.38,82.46,0.165565,63.78,89.02,90.76,0.119392,96.75,99.07,95.35,0.09666,95.66,98.35,94.12,0.09295,96.79,98.27,92.86,0.179867,99.52,99.86,99.45,0.123802,94.09,98.52,95.74,0.175605,64.54,91.31,91.86,0.150852,61.2,81.65,85.3,0.146701,99.17,99.7,98.18,0.176989,91.67,97.11,90.0,0.189647,77.54,72.34,67.92,0.152905,94.47,98.3,93.75,0.143465,59.85,87.21,88.15,0.028204,84.41,92.86,90.63,0.141488
geometric_level 1,90.87,96.39,93.23,0.166497,89.04,93.06,87.76,0.163308,75.43,92.12,91.85,0.111185,93.58,97.96,92.66,0.103364,90.31,96.55,89.43,0.092941,98.93,99.43,97.1,0.173196,99.52,99.84,97.85,0.119486,98.92,99.75,97.89,0.167509,90.64,98.19,94.41,0.117285,54.25,78.71,85.3,0.113248,91.38,96.62,90.61,0.175377,97.22,98.92,95.24,0.184772,72.88,65.3,67.35,0.140974,96.58,98.93,95.87,0.158913,70.85,90.98,89.49,0.025795,87.36,93.52,91.07,0.134257
geometric_level 2,86.75,95.01,93.13,0.175483,82.98,88.99,83.67,0.165176,75.03,92.66,92.17,0.116197,89.49,96.34,91.49,0.100493,89.14,96.12,89.08,0.10128,98.68,99.3,96.4,0.172577,98.71,99.56,96.74,0.123856,94.82,98.8,94.9,0.167328,89.88,98.06,93.6,0.112697,52.41,75.31,85.61,0.144,84.45,93.12,89.13,0.177058,96.39,98.68,93.1,0.194441,69.92,64.16,65.42,0.140332,96.49,98.93,95.16,0.157217,71.11,90.99,89.81,0.025273,85.08,92.4,89.96,0.138227
geometric_level 3,85.24,94.78,91.47,0.181403,82.91,89.31,84.47,0.164247,69.88,90.52,91.53,0.111517,84.67,93.99,90.82,0.09351,86.47,94.9,88.52,0.102018,98.61,99.32,96.45,0.17219,97.86,99.25,96.81,0.121626,96.92,99.24,96.87,0.171948,82.54,96.07,93.43,0.11883,52.41,77.08,85.61,0.142642,83.55,93.17,88.3,0.173853,93.89,97.66,91.8,0.191668,65.67,59.07,62.71,0.13729,95.61,98.56,95.16,0.158419,73.5,89.63,90.62,0.028114,83.32,91.5,89.64,0.137952
geometric_level 4,82.46,93.45,91.18,0.174714,84.91,90.3,85.11,0.169473,74.99,92.34,92.11,0.117868,79.29,90.69,90.36,0.092352,90.31,96.6,90.76,0.105143,98.14,99.08,95.04,0.172993,96.57,98.85,93.88,0.120103,95.89,99.0,95.38,0.168754,79.68,95.34,93.33,0.114982,50.95,73.99,85.3,0.133186,82.9,92.77,87.96,0.163345,90.56,96.8,89.29,0.193503,65.67,60.55,62.71,0.138943,94.21,98.06,94.21,0.164192,69.85,87.18,90.15,0.028548,82.43,91.0,89.12,0.137207
