transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
zoom_blur_level 1,90.48,97.29,92.68,0.72765,74.39,83.68,80.65,0.802434,81.75,95.95,93.15,0.483729,93.49,98.17,92.59,0.211387,92.48,97.76,94.44,0.421932,92.98,96.17,90.2,0.969975,100.0,100.0,100.0,0.384313,80.18,95.46,89.86,0.428271,62.5,92.14,92.16,0.970233,78.11,93.46,85.71,0.229222,83.12,93.54,88.52,0.362146,95.0,98.09,95.24,0.900197,70.0,67.3,66.67,0.809913,72.5,89.91,88.89,0.248322,74.62,92.65,89.66,0.53099,82.77,92.77,89.36,0.565381
zoom_blur_level 2,92.86,98.23,92.68,0.666932,72.28,82.49,80.0,0.635377,58.33,90.19,91.14,0.336773,90.04,97.15,91.23,0.179293,82.71,94.66,85.71,0.268394,90.3,95.17,88.37,1.055288,97.33,99.26,96.67,0.448503,73.27,93.47,89.86,0.400127,55.59,90.52,92.16,0.829532,71.99,91.0,85.71,0.226405,80.19,92.63,86.15,0.291721,85.0,93.54,90.91,0.939729,68.85,63.21,68.75,1.006067,69.17,88.1,90.91,0.2371,76.15,93.36,88.89,0.724961,77.6,90.87,87.94,0.549747
zoom_blur_level 3,92.86,98.1,95.24,0.613753,74.04,83.93,78.95,0.654902,45.63,87.04,91.14,0.397599,80.84,94.08,86.67,0.181201,70.68,90.09,84.44,0.201894,84.28,92.37,84.44,1.018958,94.67,98.58,96.55,0.654428,58.99,89.14,89.86,0.41004,58.51,91.09,92.16,0.722669,64.1,86.91,85.71,0.239322,79.55,91.88,85.25,0.5415,82.5,94.21,85.71,1.120402,66.15,60.07,63.41,0.820412,55.83,83.36,86.96,0.202304,73.85,92.96,88.64,0.481596,72.17,88.92,86.34,0.550732
zoom_blur_level 4,94.44,98.52,95.24,0.592041,71.58,82.68,77.92,0.706479,69.05,93.5,91.14,0.336661,78.16,93.09,86.67,0.205078,68.42,89.55,84.44,0.206933,83.95,92.06,83.33,0.939501,91.33,97.56,93.1,0.655607,59.91,89.53,89.86,0.381918,56.91,90.56,92.16,0.734124,65.09,87.78,85.71,0.254807,77.92,91.96,84.85,0.406567,80.0,92.62,86.96,1.044865,58.46,55.22,59.09,0.749155,55.83,83.36,86.96,0.15412,74.62,93.24,88.64,0.515038,72.38,88.75,85.74,0.525526
brightness_level 1,93.44,98.28,93.55,0.985902,77.96,83.05,82.61,0.695966,91.21,97.74,95.58,0.794229,100.0,100.0,100.0,0.861915,99.69,99.89,98.31,0.789715,95.86,97.85,91.89,1.022283,99.73,99.91,98.92,0.489731,92.26,98.41,93.48,0.613263,90.9,98.42,92.96,0.877255,88.49,95.03,92.06,0.5382,100.0,100.0,100.0,0.606295,100.0,100.0,100.0,0.863348,76.0,72.25,69.77,0.853594,96.33,98.76,95.24,0.362456,93.85,97.94,96.77,0.184943,93.05,95.84,93.41,0.702606
brightness_level 2,93.75,98.37,95.24,0.973559,76.91,82.14,82.69,0.598495,90.3,97.36,95.65,0.741173,100.0,100.0,100.0,0.901094,99.69,99.89,98.31,0.672672,93.0,96.64,89.55,1.219912,99.73,99.91,98.92,0.50241,92.65,98.51,94.51,0.63427,89.38,98.19,91.61,0.72597,89.76,95.65,92.31,0.465937,100.0,100.0,100.0,0.594759,100.0,100.0,100.0,0.870991,75.5,72.4,70.0,0.951607,95.0,98.29,95.24,0.3629,93.44,97.82,96.77,0.202703,92.61,95.68,93.39,0.694563
brightness_level 3,93.75,98.4,95.08,0.988041,76.09,82.34,82.69,0.578956,89.7,97.38,94.02,0.810947,100.0,100.0,100.0,0.900168,99.69,99.89,98.31,0.604106,90.71,95.64,89.55,1.246366,99.86,99.95,98.92,0.437793,93.23,98.58,94.51,0.630654,75.41,95.04,91.61,0.789716,87.22,94.52,92.19,0.445389,100.0,100.0,100.0,0.581755,100.0,100.0,100.0,0.840143,73.5,70.88,65.22,0.913911,94.0,97.85,95.08,0.491778,93.02,97.64,96.77,0.217746,91.08,95.21,92.93,0.698498
brightness_level 4,94.38,98.44,93.55,0.986733,77.36,83.3,82.69,0.558797,88.33,97.2,92.98,0.839928,99.84,99.95,98.9,0.849464,99.69,99.89,98.31,0.666934,91.29,96.12,91.43,1.209426,99.73,99.91,98.92,0.333047,89.94,97.73,92.78,0.529109,72.7,94.33,91.61,1.027575,89.21,95.2,91.2,0.426708,99.58,99.83,98.82,0.543106,100.0,100.0,100.0,0.862698,73.17,68.93,65.22,0.985466,95.33,98.5,93.75,0.257124,92.29,97.35,96.0,0.215391,90.86,95.11,92.41,0.6861
contrast_level 1,87.74,96.48,89.66,1.025343,73.09,81.95,77.27,0.70084,94.11,98.82,96.23,0.56845,100.0,100.0,100.0,0.566221,100.0,100.0,100.0,0.260684,97.57,98.69,94.44,0.883079,99.86,99.95,98.92,0.573134,93.68,98.63,93.48,0.41971,81.21,96.17,92.31,0.723765,96.61,98.73,95.87,0.337265,96.28,98.46,95.24,0.088917,97.78,99.22,96.55,0.880939,71.5,71.23,65.12,0.868385,95.56,98.73,94.92,0.346984,97.67,99.42,96.55,0.186451,92.18,95.77,92.44,0.562011
contrast_level 2,86.77,96.3,89.66,1.004364,70.31,80.58,77.67,0.525398,95.96,99.28,97.14,0.500475,100.0,100.0,100.0,0.514626,100.0,100.0,100.0,0.177517,97.14,98.54,93.94,1.014901,100.0,100.0,100.0,0.556244,92.49,98.36,92.47,0.365232,80.55,95.82,92.52,0.626095,96.86,98.86,96.61,0.339694,95.09,98.07,93.98,0.108373,97.78,99.22,96.55,0.834998,70.33,71.4,65.12,0.762768,95.56,98.77,94.92,0.338176,97.56,99.39,96.49,0.201566,91.76,95.64,92.47,0.524695
contrast_level 3,86.77,96.16,88.14,0.93458,67.54,79.53,77.31,0.323196,92.59,98.6,93.2,0.37428,100.0,100.0,100.0,0.45778,100.0,100.0,100.0,0.137193,96.0,97.93,92.54,0.898196,99.86,99.95,98.92,0.099584,86.17,96.78,90.53,0.279228,77.69,94.9,93.15,0.480156,90.0,96.8,90.6,0.41727,92.56,97.28,92.68,0.097311,95.56,98.38,93.75,0.598384,65.17,63.54,61.54,0.662981,95.56,98.76,93.55,0.163251,92.9,98.19,92.8,0.178087,89.22,94.45,90.58,0.406765
contrast_level 4,87.42,96.3,88.57,0.283009,65.97,78.19,76.64,0.340903,82.32,96.36,91.38,0.329135,98.7,99.64,97.73,0.136,99.64,99.88,98.25,0.133349,96.43,98.02,93.15,0.477729,98.64,99.61,98.9,0.077156,74.7,93.76,90.2,0.114363,65.27,90.95,91.5,0.198586,81.61,92.82,89.39,0.496306,90.48,96.85,90.7,0.045364,96.67,98.77,93.75,0.557673,51.67,45.12,57.14,0.332565,92.22,97.95,91.8,0.119013,91.1,97.67,92.44,0.184914,84.86,92.13,89.44,0.255071
rotation_level 1,95.24,98.55,93.33,0.888141,77.1,84.64,80.0,0.614959,97.3,99.41,97.3,0.906806,100.0,100.0,100.0,1.063211,100.0,100.0,100.0,0.573922,91.96,96.18,89.8,1.074263,99.12,99.69,98.41,0.781213,98.39,99.6,96.87,0.446059,92.67,98.62,94.85,0.820745,86.61,94.49,90.7,0.60914,100.0,100.0,100.0,0.525893,100.0,100.0,100.0,0.942785,83.21,78.82,76.47,0.759316,96.43,98.87,94.74,0.701991,99.32,99.81,98.77,0.088616,94.49,96.58,94.08,0.719804
rotation_level 2,93.88,98.16,92.31,0.96905,78.06,85.3,79.41,0.613883,95.27,98.92,96.1,0.615471,100.0,100.0,100.0,1.114334,100.0,100.0,100.0,0.619186,90.77,95.78,88.89,1.149943,99.41,99.8,98.41,0.625192,96.77,99.23,95.08,0.542734,90.31,98.18,93.07,0.729209,89.82,96.67,89.89,0.52772,100.0,100.0,100.0,0.537157,100.0,100.0,100.0,0.95498,75.0,74.45,66.67,0.743525,97.86,99.35,97.44,0.643094,97.05,99.32,97.44,0.097421,93.61,96.34,92.98,0.69886
