transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
zoom_blur_level 4,74.94,67.46,39.03,0.051658,62.02,48.98,16.04,0.139436,87.78,74.88,14.21,0.167055,92.97,68.89,42.44,0.048824,89.13,61.28,29.25,0.135362,92.35,80.13,35.15,0.68194,95.83,93.52,34.46,0.489463,63.21,38.09,26.73,0.012186,83.84,68.73,23.85,0.069156,87.81,66.93,18.03,0.242871,82.92,64.68,51.61,0.0585,90.42,62.89,14.18,0.493895,59.57,50.49,12.46,0.028304,83.44,60.29,38.22,0.088272,90.3,65.49,27.09,0.043213,82.44,64.85,28.18,0.183342
brightness_level 1,93.27,89.05,57.44,0.212708,77.44,67.2,19.72,0.113845,95.57,89.85,39.17,0.257051,97.32,96.35,63.29,0.304952,98.95,96.54,45.22,0.724652,95.87,73.54,45.26,0.487973,99.04,94.07,40.68,0.48949,81.3,81.79,41.31,0.005133,87.91,92.88,29.33,0.347611,98.39,85.16,45.72,0.257573,94.75,90.91,72.63,0.026189,98.74,94.36,53.0,0.162002,63.9,33.41,16.53,0.003409,90.41,85.66,43.93,0.126749,97.3,91.84,56.84,0.107318,91.34,84.17,44.67,0.241777
brightness_level 2,92.79,85.87,57.62,0.245639,79.51,66.52,18.92,0.105774,95.54,89.75,38.85,0.216024,97.32,96.19,63.28,0.335748,98.95,97.15,45.26,0.73223,95.68,67.46,43.68,0.540561,99.06,93.94,40.95,0.490956,80.32,83.31,39.92,0.006002,87.72,91.28,28.19,0.398078,98.36,85.31,45.59,0.246933,94.8,91.08,72.64,0.028038,98.86,94.59,55.32,0.197118,63.99,34.18,16.55,0.003558,90.51,83.9,45.08,0.130303,97.23,92.34,55.87,0.132191,91.38,83.52,44.51,0.253944
brightness_level 3,92.37,86.29,57.51,0.271543,82.22,66.28,18.37,0.096538,95.41,89.83,38.69,0.17788,97.49,96.19,63.17,0.343984,98.98,97.17,45.88,0.721723,95.4,70.13,41.64,0.601696,99.07,93.71,41.32,0.504426,79.5,78.84,38.92,0.006542,85.33,87.17,21.25,0.319722,98.31,83.6,44.63,0.197079,95.1,91.96,72.3,0.032535,98.98,94.59,57.35,0.213285,64.74,35.31,17.02,0.004341,90.5,84.17,46.37,0.135455,97.14,87.81,55.29,0.139111,91.37,82.87,43.98,0.251057
brightness_level 4,91.86,85.93,56.35,0.29413,84.38,65.26,17.64,0.065909,95.25,89.09,39.64,0.175118,97.79,96.32,62.78,0.356281,99.01,96.95,46.17,0.724961,95.16,72.05,40.5,0.659296,99.03,93.09,41.02,0.481187,78.92,80.06,38.22,0.007102,82.38,79.66,17.87,0.035224,98.24,83.33,45.79,0.17242,95.38,87.71,72.78,0.038276,98.9,94.62,56.67,0.212832,67.36,38.35,18.99,0.005298,92.53,85.76,52.53,0.121424,97.04,88.47,54.65,0.141054,91.55,82.44,44.11,0.232701
contrast_level 1,89.99,80.91,55.02,0.212786,79.03,67.09,18.83,0.068362,94.93,91.72,28.84,0.146152,98.46,96.03,69.51,0.259037,99.0,91.62,42.85,0.383394,96.46,82.31,49.13,0.589659,99.11,94.28,42.06,0.412247,73.94,76.94,30.74,0.004936,86.05,92.5,23.1,0.157226,97.18,83.52,46.89,0.162518,90.74,73.21,66.77,0.022095,96.84,92.06,45.16,0.276759,61.1,55.05,13.03,0.040585,87.55,88.64,52.86,0.102349,96.03,87.68,53.48,0.113752,89.76,83.57,42.55,0.19679
contrast_level 2,88.41,79.41,53.62,0.190781,80.25,68.48,19.41,0.054164,94.58,91.94,29.45,0.136074,98.29,95.26,68.53,0.247367,98.87,90.13,42.06,0.368502,96.38,82.13,48.63,0.611232,99.13,93.34,41.94,0.369348,68.57,73.64,26.69,0.005159,85.21,92.22,22.9,0.127362,96.62,82.46,46.34,0.174621,89.99,70.36,66.26,0.019167,96.88,91.18,45.51,0.271526,60.64,55.49,12.69,0.026189,86.24,87.54,53.05,0.095915,95.46,86.1,50.27,0.102464,89.03,82.65,41.82,0.186658
contrast_level 3,84.59,75.7,51.31,0.146835,81.74,68.57,20.84,0.047009,93.61,89.31,30.41,0.114799,98.0,94.24,66.42,0.225849,98.36,87.31,39.59,0.245119,96.38,82.32,47.91,0.599587,99.12,90.74,40.54,0.317789,57.98,68.7,22.0,0.013035,83.33,91.52,21.87,0.104664,95.5,80.84,37.66,0.252231,88.56,68.44,65.07,0.014543,97.04,88.99,46.0,0.270868,61.11,56.2,12.7,0.012903,84.35,85.16,52.18,0.0753,94.2,76.56,44.48,0.093929,87.59,80.31,39.93,0.168964
contrast_level 4,77.4,66.83,46.77,0.061185,83.13,67.8,21.37,0.043031,89.44,77.23,21.87,0.215028,98.53,90.99,68.36,0.073727,94.67,79.49,40.05,0.096802,96.13,80.18,50.79,0.285125,98.44,86.52,36.39,0.056534,40.91,54.65,18.96,0.000156,74.97,84.59,17.79,0.027053,92.04,68.88,17.71,0.47762,81.75,60.62,54.34,0.010888,97.3,87.07,52.08,0.144412,61.61,52.61,12.55,0.008782,82.2,77.6,47.52,0.045153,89.98,68.81,37.62,0.081639,83.9,73.59,36.28,0.108476
rotation_level 1,94.04,90.08,55.36,0.270173,73.73,53.88,15.51,0.112495,94.79,87.22,36.51,0.101184,99.14,97.64,72.61,0.339459,99.31,94.76,50.3,0.616423,96.54,86.14,52.51,0.606209,99.21,94.53,46.99,0.428939,81.0,85.56,37.06,0.006217,89.29,93.5,35.19,0.462128,96.32,80.53,43.81,0.282854,94.06,90.31,76.3,0.042976,98.06,88.3,43.94,0.15329,72.36,40.24,17.78,0.098542,91.55,90.52,51.01,0.122909,96.61,86.43,57.75,0.062417,91.73,83.98,46.18,0.247081
