transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
contrast_level 3,90.96,91.96,85.15,0.466264,97.2,98.61,94.95,0.366159,63.92,82.39,81.3,0.380648,93.84,97.53,92.16,0.369529,80.56,92.05,81.82,1.173757,82.36,86.39,76.92,1.335546,56.36,62.94,67.57,1.518411,89.88,91.19,85.11,0.601436,88.36,90.71,82.61,1.230706,71.4,74.6,70.27,1.155291,98.16,98.16,93.46,1.18735,97.44,98.98,95.92,0.432652,84.2,88.79,83.94,0.851479
contrast_level 4,83.08,85.32,76.47,0.472417,93.87,97.18,92.63,0.26567,60.08,80.48,80.0,0.385785,89.76,95.9,90.0,0.297327,71.68,88.06,80.0,0.782655,69.96,75.06,67.26,1.270544,48.0,49.49,67.11,1.60461,82.16,85.25,75.63,0.446431,87.0,90.03,82.0,1.025946,73.68,78.65,69.57,1.123349,98.72,98.75,94.85,1.27184,82.88,92.93,81.82,0.603878,78.41,84.76,79.78,0.795871
rotation_level 1,91.44,92.16,84.06,0.502936,96.91,98.35,92.31,0.66976,83.56,93.14,84.85,0.440899,96.54,98.55,93.94,0.33599,89.97,95.57,88.24,1.093952,94.55,95.98,90.62,1.520157,67.3,72.75,71.11,1.559434,90.05,89.65,84.85,0.59676,88.67,89.78,89.23,1.299429,61.59,65.45,66.67,0.925987,96.02,96.98,90.14,1.35177,100.0,100.0,100.0,0.362944,88.05,90.7,86.34,0.888335
rotation_level 2,92.21,92.75,85.0,0.47459,99.26,99.55,98.55,0.575573,83.04,93.03,83.87,0.478719,97.58,98.94,95.52,0.497735,92.04,96.49,89.23,1.17641,94.72,95.71,88.89,1.520266,77.08,79.72,74.07,1.593218,86.94,86.56,82.35,0.546508,91.0,92.99,89.55,1.291337,55.54,57.46,66.67,0.891338,94.64,95.74,88.52,1.437178,100.0,100.0,100.0,0.334337,88.67,90.74,86.85,0.901434
rotation_level 3,90.66,91.75,86.96,0.486681,98.53,99.24,96.97,0.652414,80.97,91.69,81.48,0.337668,97.58,98.9,95.52,0.431501,89.79,95.79,87.88,1.111162,93.86,95.66,93.94,1.515609,74.13,78.41,74.7,1.589859,85.29,86.87,79.41,0.523819,86.85,89.95,85.71,1.289788,58.56,63.94,66.67,0.915392,93.94,94.92,89.23,1.418741,100.0,100.0,100.0,0.319843,87.51,90.59,86.54,0.882706
rotation_level 4,90.66,91.64,84.21,0.470535,96.47,98.11,92.96,0.56575,84.95,93.21,85.71,0.448939,97.23,98.79,95.52,0.336761,89.79,95.12,91.67,1.066073,90.57,93.07,85.71,1.564576,77.25,77.84,75.0,1.563265,84.43,88.02,80.0,0.570688,88.93,91.67,88.24,1.257417,61.16,68.93,66.67,0.889103,95.24,95.76,92.75,1.412421,100.0,100.0,100.0,0.279825,88.06,91.01,86.54,0.868779
zooming_level 1,93.3,95.31,89.55,0.618034,99.24,99.6,98.46,0.827542,83.78,92.21,85.33,0.319951,99.47,99.74,97.06,0.286108,91.27,96.27,88.52,1.363453,85.67,89.29,80.0,1.587015,69.42,78.46,66.67,1.502062,90.27,93.14,86.15,0.605215,82.83,86.44,79.31,1.293112,67.2,73.16,67.61,1.14811,94.12,95.7,92.06,1.445649,99.29,99.66,96.97,0.324136,87.99,91.58,85.64,0.943366
zooming_level 2,92.75,95.23,90.0,0.709555,100.0,100.0,100.0,0.680384,85.38,93.0,86.84,0.314137,99.11,99.6,98.46,0.386734,90.2,95.87,88.52,1.362442,87.05,90.73,82.14,1.53564,77.96,83.19,72.73,1.617078,89.53,92.36,83.87,0.704144,89.62,91.44,82.54,1.296303,68.98,75.61,68.29,1.089254,94.74,94.03,91.43,1.429637,99.11,99.53,98.51,0.266912,89.54,92.55,86.94,0.949352
zooming_level 3,93.3,95.39,90.32,0.763811,99.7,99.83,98.46,0.792661,84.31,92.71,84.62,0.282417,99.82,99.91,98.51,0.31058,89.66,95.7,88.52,1.367236,87.7,91.07,81.69,1.433527,74.56,81.69,71.87,1.646613,91.46,93.2,87.32,0.607693,88.25,90.44,84.06,1.267205,64.53,69.91,67.65,1.135171,95.19,95.49,91.43,1.429528,99.29,99.63,98.51,0.271712,88.98,92.08,86.91,0.942346
zooming_level 4,92.75,95.29,90.62,0.692073,100.0,100.0,100.0,0.700266,83.07,92.33,84.62,0.271079,99.11,99.6,98.46,0.444024,90.73,95.92,88.24,1.205115,85.31,89.95,82.14,1.563376,76.12,83.42,72.73,1.717531,89.99,92.34,84.75,0.809887,89.44,91.24,86.96,1.274231,68.89,75.35,66.67,0.99856,94.47,93.68,89.55,1.46433,98.93,99.44,97.06,0.260776,89.07,92.38,86.82,0.950104
shifting_level 1,91.37,93.3,84.21,0.741522,99.7,99.82,98.51,0.607082,74.43,88.12,84.62,0.305984,94.32,97.66,92.06,0.531121,93.75,97.03,91.43,1.193579,90.73,93.79,88.14,1.567125,72.08,78.23,69.57,1.56015,90.08,87.26,90.62,0.635817,82.83,83.24,81.69,1.218121,73.19,78.14,70.13,1.141155,91.28,91.52,87.5,1.466763,100.0,100.0,100.0,0.558203,87.81,90.68,86.54,0.960552
shifting_level 2,92.1,93.32,86.15,0.678537,99.55,99.72,98.51,0.592969,71.02,85.81,83.12,0.308547,94.32,97.66,92.31,0.385808,93.18,96.89,91.18,1.188021,90.82,93.98,90.0,1.553754,69.33,75.64,68.89,1.570878,87.05,82.97,83.58,0.605116,83.65,85.25,82.35,1.184021,71.26,75.65,69.57,1.203242,95.04,95.58,90.91,1.425905,99.81,99.91,98.51,0.447763,87.26,90.2,86.26,0.928713
shifting_level 3,93.48,94.87,86.67,0.715781,99.09,99.49,96.97,0.616589,78.98,90.41,84.21,0.319126,95.27,98.14,93.55,0.654387,93.75,97.17,91.18,1.184254,91.37,93.64,86.67,1.497703,73.74,78.7,71.6,1.597206,88.8,88.37,85.71,0.559161,83.29,86.21,79.37,1.270359,68.6,76.35,68.04,1.024121,92.38,93.28,87.88,1.431049,100.0,100.0,100.0,0.539484,88.23,91.39,85.99,0.950768
shifting_level 4,91.0,92.6,85.25,0.740051,98.18,99.03,95.38,0.676538,75.38,88.41,83.54,0.299043,94.13,97.6,93.94,0.402446,93.56,97.18,91.18,1.178641,89.44,93.79,90.0,1.564999,71.17,76.5,69.88,1.600973,90.08,88.76,85.71,0.52273,80.9,83.28,81.25,1.241639,72.36,78.77,70.73,1.125501,95.68,96.92,95.52,1.43781,100.0,100.0,100.0,0.479193,87.66,91.07,86.86,0.93913
