transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,97.64,94.03,75.36,0.140391,93.2,77.18,48.39,0.089006,96.88,87.47,39.67,0.098506,99.52,97.85,72.39,0.158579,98.39,94.85,41.99,0.125447,98.5,93.83,62.94,0.159522,99.31,98.5,56.23,0.182998,91.37,85.5,60.47,0.100295,94.61,92.25,58.45,0.117164,92.21,73.85,15.55,0.083932,96.35,91.48,69.05,0.161951,98.9,89.11,65.33,0.133152,87.77,67.42,41.12,0.148612,94.7,91.83,65.78,0.156047,93.14,84.8,44.71,0.102252,95.5,88.0,54.5,0.130524
noise_level 1,90.51,69.93,44.67,0.175901,93.97,78.91,52.0,0.091766,95.44,79.69,34.01,0.107091,99.42,97.72,72.62,0.159997,98.23,93.9,41.85,0.131129,98.24,92.46,61.89,0.162237,99.24,98.47,53.89,0.183919,83.81,78.37,47.56,0.098948,91.18,86.95,47.55,0.125644,89.98,69.7,16.95,0.087859,96.14,90.68,68.94,0.163135,98.76,85.99,64.85,0.134547,84.65,63.33,35.34,0.157253,93.46,90.48,63.36,0.15265,75.74,51.56,11.82,0.109017,92.58,81.88,47.82,0.136073
noise_level 2,88.64,63.36,38.71,0.180751,93.49,78.51,53.16,0.092466,94.82,77.0,30.36,0.112227,99.42,97.65,71.95,0.16155,98.32,93.96,42.13,0.129751,97.98,92.51,58.94,0.164236,99.21,98.28,54.07,0.188603,82.93,75.16,46.36,0.101191,89.07,82.06,37.25,0.132827,85.61,64.41,15.83,0.089906,95.94,90.5,68.96,0.166568,98.65,84.41,63.57,0.134412,83.04,60.71,32.86,0.164305,92.82,85.67,61.33,0.15183,68.66,43.15,9.74,0.119068,91.24,79.16,45.68,0.139313
noise_level 3,87.04,59.19,33.46,0.183487,93.54,79.75,53.69,0.091967,94.71,74.91,28.02,0.117067,99.38,97.19,72.37,0.164251,97.61,91.78,41.43,0.120713,97.64,90.27,57.95,0.167187,99.18,98.04,52.06,0.18897,83.12,72.65,46.48,0.10373,87.25,75.9,28.67,0.13928,79.01,53.76,15.81,0.092359,95.27,88.85,68.6,0.170471,98.71,84.71,62.62,0.136892,82.19,58.05,29.2,0.169485,91.49,81.46,58.98,0.152869,61.53,37.67,8.52,0.128799,89.84,76.28,43.86,0.141835
noise_level 4,84.42,52.39,28.23,0.165703,93.42,80.08,53.79,0.091565,94.26,72.55,27.22,0.122592,99.37,96.73,71.78,0.1677,95.97,87.66,39.93,0.124215,96.75,88.32,50.03,0.169784,99.01,97.73,49.37,0.1929,82.54,65.15,43.76,0.107872,83.99,67.72,19.03,0.141402,63.93,34.71,7.36,0.10141,94.32,86.72,67.0,0.173428,98.39,80.46,60.89,0.140673,80.89,54.6,26.2,0.176471,87.01,70.36,51.58,0.15738,51.69,28.81,6.41,0.138654,87.06,70.93,40.17,0.144783
blur_level 1,94.65,84.43,60.72,0.161674,89.09,66.67,43.43,0.094576,93.38,76.62,30.28,0.104748,94.67,79.34,57.42,0.171261,96.39,89.58,38.05,0.122938,97.45,91.09,53.73,0.163055,98.92,97.98,50.7,0.185751,85.6,72.46,46.98,0.101294,91.93,82.74,41.58,0.128399,80.87,41.98,2.05,0.11407,89.24,75.94,55.2,0.178418,97.46,82.13,46.66,0.141837,78.85,57.08,28.24,0.161193,88.43,69.77,48.42,0.172784,76.56,37.86,10.42,0.166406,90.23,73.71,40.93,0.14456
blur_level 2,93.83,81.61,56.99,0.163134,88.24,65.26,40.47,0.096732,92.72,74.01,25.43,0.105799,94.09,76.44,55.29,0.173634,95.16,85.44,37.5,0.124227,96.91,89.52,50.76,0.163932,98.59,97.27,47.88,0.186538,83.55,68.85,43.66,0.101505,90.66,77.32,33.5,0.131991,79.68,38.54,1.61,0.124276,87.01,69.02,49.84,0.182809,96.43,78.88,35.34,0.146997,74.54,50.83,23.17,0.169628,87.32,64.11,43.42,0.173485,74.03,33.63,8.74,0.091344,88.85,70.05,36.91,0.142402
blur_level 3,93.04,80.36,57.86,0.163466,88.78,66.24,40.62,0.096551,93.18,73.74,21.81,0.100007,95.68,82.16,60.22,0.175345,93.67,82.68,36.69,0.115936,96.1,86.34,43.77,0.16409,98.63,97.28,46.87,0.189788,80.5,63.09,39.13,0.100832,88.64,71.38,27.68,0.140583,79.78,40.7,1.72,0.092604,86.21,67.48,50.25,0.186544,95.33,74.75,27.93,0.144431,73.27,48.63,22.14,0.172576,86.98,63.11,43.98,0.174507,72.19,34.93,7.72,0.10169,88.13,68.86,35.23,0.141263
blur_level 4,91.99,77.59,55.0,0.165353,87.81,64.11,39.87,0.098229,92.9,71.32,20.47,0.102901,95.41,82.55,59.33,0.177035,92.68,82.56,36.38,0.123063,95.33,85.69,40.68,0.166435,99.0,97.42,47.9,0.194744,79.04,62.2,37.39,0.101972,87.6,67.85,25.81,0.142706,79.96,41.24,1.75,0.103431,84.6,63.27,48.91,0.188924,94.2,71.35,22.98,0.154181,70.75,42.41,18.98,0.176522,85.55,59.17,39.4,0.174687,70.99,35.05,7.57,0.138284,87.19,66.92,33.49,0.147231
photometric_level 1,95.16,88.97,72.74,0.152084,91.66,77.49,47.27,0.08676,95.7,83.94,34.8,0.101577,99.49,97.58,72.28,0.159033,97.57,93.36,41.16,0.124788,98.32,93.72,62.89,0.16024,99.29,98.46,55.01,0.179776,91.64,85.62,61.84,0.101239,93.01,90.28,56.18,0.120808,90.76,70.72,14.81,0.087828,95.81,90.14,68.3,0.161241,98.95,89.0,65.35,0.133563,87.64,67.22,42.12,0.152531,93.77,90.31,64.87,0.151776,87.84,73.76,24.96,0.102715,94.44,86.04,52.31,0.131731
