transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,94.34,90.43,26.57,0.117631,95.27,51.14,36.12,0.159841,99.06,90.34,65.12,0.13717,99.21,88.03,63.86,0.16821,94.86,81.62,39.99,0.09336,97.46,89.89,17.3,0.1198,96.3,84.67,10.06,0.137958,97.81,81.74,47.2,0.137997,91.0,61.25,16.92,0.126887,95.68,81.8,30.57,0.149709,95.21,79.36,26.35,0.123546,99.0,93.96,58.85,0.072876,96.27,81.19,36.58,0.128749
noise_level 1,90.32,81.78,19.65,0.118827,94.75,49.04,35.84,0.160182,99.12,88.82,67.04,0.137753,98.91,85.86,63.86,0.172022,94.76,79.99,40.19,0.093025,97.03,88.45,16.94,0.1239,95.96,84.7,10.06,0.139991,97.64,79.32,48.62,0.138642,90.5,60.62,17.23,0.1285,95.71,81.07,30.95,0.150146,95.24,79.91,26.9,0.123098,99.25,93.4,62.82,0.067329,95.77,79.41,36.68,0.129451
noise_level 2,87.09,77.96,16.26,0.122129,93.93,47.47,35.2,0.160213,99.05,87.94,68.33,0.139721,98.72,83.47,63.66,0.172794,94.67,78.71,40.19,0.094041,96.11,86.89,16.41,0.125016,95.64,84.83,9.43,0.141971,97.19,77.19,46.49,0.13916,89.67,59.43,17.23,0.128958,95.36,79.87,30.81,0.151128,95.24,79.71,27.79,0.125111,98.97,93.03,59.57,0.071016,95.14,78.04,35.95,0.130938
noise_level 3,84.64,73.44,14.03,0.126427,92.93,44.0,31.46,0.162807,99.07,86.62,70.48,0.142647,98.51,81.65,61.31,0.172894,94.33,76.99,39.49,0.096047,95.46,84.2,14.14,0.128573,95.2,82.82,9.03,0.146622,96.48,73.24,44.92,0.140522,88.48,58.02,16.86,0.130598,94.9,78.73,30.01,0.152495,95.04,78.81,27.32,0.126913,99.09,92.92,61.88,0.071036,94.51,75.95,35.08,0.133132
noise_level 4,80.64,64.29,6.29,0.136729,89.93,38.37,20.33,0.169734,99.08,86.11,71.82,0.147906,98.0,77.1,58.22,0.1726,91.96,67.84,37.42,0.09992,94.67,82.85,8.96,0.139008,93.54,82.62,4.58,0.152671,94.41,67.31,40.64,0.143182,86.19,54.56,15.74,0.135713,93.95,75.5,29.55,0.154313,94.67,77.23,25.68,0.128051,98.99,92.05,59.05,0.072699,93.0,72.15,31.52,0.13771
blur_level 1,88.32,77.91,16.01,0.125854,86.79,32.05,10.45,0.178926,91.17,58.46,38.98,0.157071,97.79,66.37,62.24,0.175264,92.22,73.45,33.98,0.097837,95.8,85.51,11.76,0.127933,94.26,73.81,4.3,0.146523,84.63,35.38,22.89,0.156167,77.05,31.34,6.21,0.156996,90.94,68.21,7.82,0.170712,89.31,65.58,17.06,0.139012,98.35,89.75,46.45,0.089059,90.55,63.15,23.18,0.143446
blur_level 2,87.27,74.75,12.39,0.130544,82.15,25.18,3.78,0.183739,89.28,55.0,34.44,0.161704,97.45,62.57,62.08,0.174376,90.92,68.88,29.92,0.099945,94.97,82.93,9.5,0.132809,93.01,68.83,2.06,0.14877,81.2,30.14,14.56,0.162825,76.56,30.95,7.06,0.165012,88.74,60.41,6.14,0.176095,86.42,59.5,12.49,0.144724,98.14,88.78,47.19,0.09102,88.84,58.99,20.13,0.14763
blur_level 3,86.05,71.81,9.75,0.134432,80.75,23.62,2.37,0.178762,90.14,57.48,32.13,0.165153,97.11,58.39,60.67,0.175337,91.15,68.01,26.86,0.101575,94.27,81.02,8.04,0.136692,92.64,67.33,1.49,0.151035,80.64,30.83,7.26,0.1669,76.51,31.39,4.22,0.173374,87.68,57.37,5.2,0.180401,84.94,55.05,7.72,0.148755,97.73,87.01,44.82,0.094224,88.3,57.44,17.54,0.150553
blur_level 4,84.98,68.61,6.42,0.133727,76.91,19.69,1.69,0.156432,89.86,57.43,33.09,0.167558,96.73,54.15,57.65,0.174495,90.3,65.19,23.55,0.102271,93.51,78.93,6.08,0.139901,92.41,66.43,0.98,0.146621,78.88,29.53,5.46,0.16852,76.34,31.64,3.75,0.176266,87.37,54.98,4.91,0.183323,84.42,52.42,6.19,0.150577,97.54,86.18,46.87,0.096125,87.44,55.43,16.39,0.149651
photometric_level 1,89.37,82.83,22.63,0.112525,95.46,51.06,38.24,0.162267,99.1,89.26,64.87,0.141845,98.74,85.37,65.43,0.175946,94.99,80.47,41.15,0.092036,96.57,87.75,15.61,0.117659,94.99,81.72,7.47,0.13819,97.68,79.6,46.82,0.13956,90.51,61.28,15.77,0.129747,95.2,80.77,29.82,0.155475,95.05,79.19,26.44,0.124917,98.62,92.23,58.25,0.075168,95.52,79.29,36.04,0.130445
