transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,97.64,94.03,75.36,0.140391,93.2,77.18,48.39,0.089006,96.88,87.47,39.67,0.098506,99.52,97.85,72.39,0.158579,98.39,94.85,41.99,0.125447,98.5,93.83,62.94,0.159522,99.31,98.5,56.23,0.182998,91.37,85.5,60.47,0.100295,94.61,92.25,58.45,0.117164,92.21,73.85,15.55,0.083932,96.35,91.48,69.05,0.161951,98.9,89.11,65.33,0.133152,87.77,67.42,41.12,0.148612,94.7,91.83,65.78,0.156047,93.14,84.8,44.71,0.102252,95.5,88.0,54.5,0.130524
gaussian_noise_level 1,93.85,74.52,61.59,0.1678,93.36,78.92,49.59,0.088603,93.4,71.52,25.1,0.10297,99.6,97.88,74.89,0.160877,97.53,91.48,41.19,0.139858,98.28,95.27,65.11,0.162934,99.38,98.22,45.97,0.184427,84.22,79.6,45.87,0.098556,91.77,85.87,54.39,0.123495,92.62,75.58,18.46,0.086909,96.38,91.25,70.81,0.165434,98.99,91.23,52.0,0.134556,84.51,67.36,33.8,0.14989,90.93,86.73,59.67,0.15134,81.15,63.28,23.08,0.147699,93.06,83.25,48.1,0.13769
gaussian_noise_level 2,92.03,67.91,52.8,0.176541,92.69,77.81,50.7,0.090817,92.87,69.24,21.52,0.11071,99.55,97.77,73.67,0.162249,97.82,92.07,41.9,0.135971,98.18,94.85,62.86,0.165211,99.33,97.87,44.43,0.183804,83.56,75.45,45.53,0.100205,90.17,81.35,48.09,0.128796,89.73,70.83,17.96,0.086668,96.24,90.25,70.86,0.167997,98.86,90.25,50.16,0.135168,82.29,64.63,30.75,0.157861,90.22,81.74,58.07,0.150535,74.53,54.52,13.09,0.15744,91.87,80.44,45.49,0.140665
gaussian_noise_level 3,90.82,64.39,46.02,0.181363,92.79,78.49,50.03,0.091439,92.82,67.21,20.63,0.117974,99.42,97.24,74.24,0.165789,96.63,89.67,38.41,0.12968,97.68,93.18,61.63,0.168236,99.32,97.45,44.84,0.186777,84.51,70.96,46.53,0.1037,88.24,74.68,37.9,0.135552,86.87,67.12,18.79,0.089375,95.21,88.29,69.84,0.172332,98.72,90.6,48.22,0.137325,80.61,61.46,26.37,0.1661,88.92,74.94,56.61,0.151827,65.79,43.51,9.71,0.136095,90.56,77.28,43.32,0.142238
gaussian_noise_level 4,88.96,58.54,42.03,0.186941,93.02,81.28,51.1,0.089706,93.89,69.15,24.57,0.119979,99.52,95.95,72.79,0.170017,93.85,80.17,37.95,0.128121,96.81,90.21,52.57,0.170832,99.33,97.65,44.88,0.190735,84.61,66.04,44.35,0.107501,85.85,68.53,29.53,0.141976,77.51,54.78,14.81,0.09354,94.31,85.38,67.2,0.173199,98.38,87.42,50.47,0.141901,78.18,57.89,22.66,0.174154,86.34,65.95,52.71,0.15538,56.74,33.81,7.35,0.140498,88.49,72.85,41.0,0.145632
shot_noise_level 1,90.46,70.88,50.37,0.178964,92.94,73.98,46.42,0.093456,96.92,85.73,37.4,0.108186,99.32,97.98,72.74,0.155537,98.75,97.48,43.44,0.107509,98.46,92.24,65.54,0.162483,98.97,98.73,56.58,0.183155,86.76,84.47,51.57,0.097596,90.93,85.46,39.1,0.126885,88.59,73.26,15.31,0.087789,96.22,90.44,73.2,0.161262,99.06,88.52,72.77,0.133318,86.61,63.45,40.74,0.153192,95.87,91.73,69.39,0.153218,77.19,48.21,11.63,0.097979,93.14,82.84,49.75,0.133369
shot_noise_level 2,88.51,64.38,42.83,0.184122,92.04,74.4,46.83,0.092299,96.0,81.61,33.24,0.112092,99.34,97.77,72.45,0.15821,98.81,97.34,44.72,0.112386,98.24,92.35,63.44,0.163528,98.96,98.75,59.66,0.18837,85.94,83.36,50.69,0.098569,89.69,79.66,37.16,0.137204,82.28,66.5,14.7,0.088401,96.16,90.39,72.92,0.164612,99.04,88.85,71.92,0.133178,86.14,62.24,40.31,0.158656,95.28,85.1,67.84,0.151438,70.29,41.33,9.58,0.106017,91.78,80.27,48.55,0.136605
shot_noise_level 3,86.42,59.05,36.29,0.18844,91.87,76.73,49.65,0.092415,95.19,78.14,30.91,0.117703,99.29,97.94,72.15,0.160607,98.13,96.25,45.29,0.118007,97.99,90.89,62.76,0.165494,98.96,98.57,54.68,0.188682,86.77,82.47,52.63,0.101953,87.85,71.48,31.5,0.144046,70.8,52.75,13.38,0.091818,95.55,89.08,73.53,0.170334,98.97,86.58,69.89,0.136662,84.82,59.44,35.97,0.162464,93.21,79.89,63.37,0.153214,61.89,34.51,8.26,0.117779,89.85,76.92,46.68,0.140641
shot_noise_level 4,83.14,50.73,26.94,0.170519,91.08,73.09,48.31,0.094034,93.89,70.05,28.37,0.124093,99.28,97.93,72.71,0.165085,96.24,93.36,40.95,0.120867,97.13,87.46,53.31,0.168584,98.54,98.14,49.68,0.19278,88.3,80.19,54.55,0.106731,83.97,61.03,18.4,0.15242,48.99,28.5,3.33,0.097801,94.93,87.46,72.58,0.174297,98.51,81.54,66.02,0.14196,83.78,55.96,32.08,0.168851,87.37,63.06,50.93,0.158522,50.11,26.99,6.18,0.136511,86.35,70.37,41.62,0.14487
impulse_noise_level 1,87.26,65.81,36.62,0.175128,95.54,84.44,58.97,0.09418,96.98,86.34,42.16,0.109248,99.36,97.55,71.62,0.162517,98.45,91.73,43.25,0.135524,97.98,90.48,54.66,0.161228,99.43,98.33,59.22,0.183814,81.19,71.69,46.43,0.099771,91.99,90.29,49.91,0.125958,88.63,65.93,18.46,0.092717,95.77,90.67,61.22,0.162151,98.19,80.98,63.06,0.134897,86.88,62.36,48.67,0.171502,95.8,93.09,63.95,0.157885,69.15,45.22,10.51,0.110841,92.17,80.99,48.58,0.138491
impulse_noise_level 2,85.49,60.35,32.29,0.148449,95.5,85.03,60.21,0.09356,96.23,84.87,37.13,0.113537,99.4,97.54,70.81,0.163279,98.42,93.42,42.95,0.131388,97.52,90.37,50.31,0.161839,99.4,97.98,59.2,0.190655,80.68,68.37,46.07,0.102769,89.37,86.21,36.66,0.129664,84.55,59.9,17.53,0.094373,95.3,89.99,61.39,0.16744,97.9,75.4,61.81,0.134447,85.93,60.01,45.72,0.1762,94.94,90.71,60.62,0.15867,61.17,38.54,9.02,0.125378,90.79,78.58,46.11,0.139443
