transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,100.0,100.0,100.0,0.273739,92.56,96.29,89.62,0.258723,94.22,98.66,95.89,0.193985,99.88,99.96,99.44,0.228036,99.0,99.69,99.12,0.26361,100.0,100.0,100.0,0.317373,100.0,100.0,100.0,0.317235,100.0,100.0,100.0,0.273081,97.44,99.55,96.43,0.182922,79.67,91.05,88.98,0.192248,99.89,99.96,98.82,0.200152,98.89,99.61,98.31,0.281313,92.96,88.67,84.44,0.24616,100.0,100.0,100.0,0.274873,99.92,99.98,99.58,0.185209,96.96,98.23,96.71,0.245911
gaussian_noise_level 1,100.0,100.0,100.0,0.261473,87.58,93.68,85.29,0.252136,85.81,96.32,93.15,0.208598,100.0,100.0,100.0,0.241652,96.24,98.9,97.3,0.281855,100.0,100.0,100.0,0.338245,100.0,100.0,100.0,0.302126,100.0,100.0,100.0,0.282692,100.0,100.0,100.0,0.210676,75.54,89.65,89.89,0.207337,100.0,100.0,100.0,0.21824,100.0,100.0,100.0,0.247586,93.93,90.14,89.66,0.280337,100.0,100.0,100.0,0.275618,97.5,99.38,96.3,0.209823,95.77,97.87,96.77,0.25456
gaussian_noise_level 2,99.32,99.78,97.67,0.245006,88.87,93.95,85.19,0.312306,83.45,96.42,91.36,0.215806,100.0,100.0,100.0,0.237408,94.74,98.58,97.3,0.291377,100.0,100.0,100.0,0.335055,100.0,100.0,100.0,0.310141,100.0,100.0,100.0,0.281628,93.38,98.73,95.92,0.230537,75.36,89.47,89.66,0.228281,100.0,100.0,100.0,0.219783,100.0,100.0,100.0,0.270495,91.07,83.34,89.66,0.295087,100.0,100.0,100.0,0.270502,95.91,98.97,95.12,0.212028,94.81,97.28,96.13,0.263696
gaussian_noise_level 3,99.32,99.78,97.67,0.27358,85.48,92.82,85.19,0.327628,72.97,92.82,90.24,0.249684,100.0,100.0,100.0,0.240223,95.49,98.74,97.3,0.295633,100.0,100.0,100.0,0.356089,100.0,100.0,100.0,0.301992,99.6,99.9,98.41,0.274415,90.78,98.26,93.88,0.261382,67.86,86.21,86.67,0.25176,100.0,100.0,100.0,0.238324,100.0,100.0,100.0,0.290299,89.64,82.26,84.85,0.301575,100.0,100.0,100.0,0.277753,95.68,98.87,96.2,0.227551,93.12,96.64,95.36,0.277859
gaussian_noise_level 4,100.0,100.0,100.0,0.319052,85.65,93.08,85.19,0.329448,83.11,95.65,94.74,0.307251,100.0,100.0,100.0,0.229145,95.49,98.74,97.3,0.289032,97.92,98.81,96.0,0.360597,100.0,100.0,100.0,0.306709,95.97,99.08,95.08,0.329598,80.61,95.73,92.93,0.321558,67.5,84.72,87.06,0.295795,100.0,100.0,100.0,0.264897,97.5,99.09,95.24,0.325864,86.79,76.86,82.35,0.335242,99.29,99.76,97.56,0.285275,97.5,99.37,97.5,0.247684,92.49,96.06,94.73,0.303143
shot_noise_level 1,98.64,99.56,97.67,0.276335,90.49,95.25,88.89,0.275825,96.18,99.15,96.0,0.184813,100.0,100.0,100.0,0.229864,100.0,100.0,100.0,0.255476,100.0,100.0,100.0,0.325923,100.0,100.0,100.0,0.301044,100.0,100.0,100.0,0.273503,92.43,98.54,95.83,0.219998,90.18,96.32,91.76,0.217739,99.35,99.76,98.18,0.280503,100.0,100.0,100.0,0.309543,94.23,92.09,84.62,0.257627,100.0,100.0,100.0,0.272415,93.18,97.57,96.39,0.224888,96.98,98.55,96.62,0.260366
shot_noise_level 2,99.32,99.78,97.67,0.297659,91.34,95.47,88.52,0.283913,97.57,99.47,97.3,0.206145,100.0,100.0,100.0,0.240463,100.0,100.0,100.0,0.254458,100.0,100.0,100.0,0.338076,100.0,100.0,100.0,0.306525,100.0,100.0,100.0,0.293437,74.23,94.37,92.16,0.253595,85.89,94.65,89.66,0.233114,98.7,99.55,98.18,0.282176,100.0,100.0,100.0,0.314786,93.46,90.89,83.87,0.263474,100.0,100.0,100.0,0.268106,89.77,96.93,92.5,0.246642,95.35,98.07,95.99,0.272171
shot_noise_level 3,95.24,98.57,93.02,0.323496,91.34,95.37,88.14,0.304874,93.75,98.65,94.59,0.241638,100.0,100.0,100.0,0.231676,100.0,100.0,100.0,0.272095,98.33,99.01,97.87,0.34701,100.0,100.0,100.0,0.302837,100.0,100.0,100.0,0.299065,63.36,89.69,92.16,0.296385,81.61,92.69,88.37,0.255698,98.05,99.37,98.18,0.272244,97.5,99.09,95.24,0.309578,91.92,89.79,80.0,0.291466,100.0,100.0,100.0,0.281956,84.09,94.96,92.68,0.256655,93.01,97.15,94.68,0.285778
shot_noise_level 4,89.8,96.95,90.0,0.364481,88.29,94.41,86.21,0.333354,85.07,96.72,90.91,0.292276,100.0,100.0,100.0,0.233065,100.0,100.0,100.0,0.285085,97.66,98.78,93.88,0.358994,99.41,99.8,98.36,0.305701,99.08,99.8,98.36,0.341101,59.57,89.61,91.26,0.352375,71.79,85.73,85.11,0.268728,98.38,99.46,98.18,0.307121,90.0,96.22,90.91,0.33214,91.92,90.68,81.82,0.331322,97.5,99.3,95.24,0.281036,77.05,92.58,88.89,0.269491,89.7,96.0,92.61,0.310418
impulse_noise_level 1,90.48,97.46,93.02,0.346045,92.98,96.66,91.23,0.29428,96.83,99.47,97.22,0.246731,100.0,100.0,100.0,0.182115,100.0,100.0,100.0,0.266206,100.0,100.0,100.0,0.318743,100.0,100.0,100.0,0.286229,100.0,100.0,100.0,0.301585,92.55,98.68,95.74,0.206106,68.84,88.36,85.71,0.203555,100.0,100.0,100.0,0.262542,100.0,100.0,100.0,0.305487,91.54,88.67,84.62,0.293757,100.0,100.0,100.0,0.311858,86.41,96.59,90.0,0.256092,94.64,97.73,95.84,0.272089
