transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,97.53,97.56,92.02,0.163111,98.4,99.14,95.92,0.213698,97.3,98.73,94.36,0.174623,97.14,98.8,95.38,0.217632,98.72,99.42,96.55,0.179673,94.88,93.81,89.12,0.155033,78.98,77.05,74.64,0.202853,96.84,96.06,93.0,0.23445,91.44,91.5,86.87,0.240084,91.22,91.97,85.99,0.226095,94.16,95.42,89.8,0.255214,98.18,99.11,95.88,0.211662,94.57,94.88,90.79,0.206177
gaussian_noise_level 1,96.8,97.47,92.06,0.180034,98.82,99.36,97.06,0.21069,97.4,98.73,94.29,0.168702,96.02,98.38,95.38,0.21912,98.1,99.13,95.65,0.170667,95.76,96.08,91.18,0.162472,73.36,66.44,75.95,0.212803,96.45,95.07,94.44,0.236023,83.65,83.3,80.0,0.244356,83.3,86.28,77.33,0.216036,91.78,93.87,85.71,0.255434,99.65,99.84,98.51,0.20877,92.59,92.83,89.8,0.207092
gaussian_noise_level 2,96.63,97.35,93.94,0.193271,97.79,98.77,94.29,0.213874,94.64,97.38,92.54,0.178248,97.23,98.81,95.38,0.219221,97.06,98.6,94.29,0.179196,96.28,96.54,91.43,0.169935,74.13,67.6,78.26,0.227305,96.11,94.56,93.15,0.235477,85.21,84.79,80.6,0.24414,80.88,83.28,77.42,0.256389,91.7,93.59,84.62,0.245071,100.0,100.0,100.0,0.194256,92.31,92.61,89.66,0.213032
gaussian_noise_level 3,90.92,93.33,85.29,0.216926,97.94,98.86,94.12,0.231696,92.21,96.11,90.67,0.18076,97.4,98.83,93.94,0.224349,96.89,98.69,95.52,0.190894,94.03,95.83,92.31,0.206785,76.3,75.61,76.47,0.250473,97.15,96.18,94.29,0.251891,81.83,82.89,75.76,0.249213,80.28,83.56,75.61,0.240987,92.04,93.75,86.15,0.263185,98.79,99.45,96.97,0.231469,91.32,92.76,88.09,0.228219
gaussian_noise_level 4,77.42,82.22,75.32,0.231236,95.59,97.48,94.29,0.249887,81.49,91.76,83.95,0.196599,97.23,99.01,97.06,0.227631,95.33,97.92,92.54,0.203653,80.97,87.66,80.65,0.255361,72.84,70.99,76.06,0.27115,95.93,94.74,91.89,0.255323,82.96,85.23,79.41,0.261069,79.5,82.07,74.67,0.26959,94.2,95.74,89.86,0.269121,98.62,99.37,96.97,0.255964,87.67,90.35,86.06,0.245549
shot_noise_level 1,91.18,93.42,86.15,0.20145,100.0,100.0,100.0,0.219676,94.47,97.41,93.94,0.166785,93.58,96.96,92.54,0.216113,99.64,99.82,98.51,0.1793,97.89,98.23,96.97,0.162969,70.98,75.55,70.97,0.213708,98.26,98.57,95.38,0.236853,97.52,97.83,91.8,0.250769,96.61,96.48,92.96,0.230066,95.99,96.93,90.91,0.25377,97.5,98.53,97.06,0.210522,94.47,95.81,92.27,0.211832
shot_noise_level 2,89.16,91.07,80.52,0.219853,99.7,99.82,98.51,0.219602,93.23,96.98,93.75,0.188961,92.16,96.43,89.23,0.228982,99.64,99.82,98.51,0.189486,97.06,97.5,90.32,0.193712,71.81,75.39,71.74,0.233255,98.53,98.71,95.38,0.238231,96.05,96.57,90.62,0.245146,94.74,94.34,91.18,0.250341,98.04,98.14,92.75,0.252601,96.43,98.07,94.29,0.209503,93.88,95.24,90.57,0.222473
shot_noise_level 3,79.34,82.99,76.92,0.257941,98.94,99.38,95.65,0.227589,92.34,96.36,92.31,0.198374,88.95,94.7,87.67,0.230371,98.4,99.25,95.38,0.206844,82.19,85.54,78.48,0.226559,71.99,73.42,73.56,0.260144,98.26,98.55,95.24,0.259084,95.78,96.3,91.18,0.248528,94.56,94.38,88.0,0.243977,94.47,95.18,87.32,0.254762,98.04,98.88,97.06,0.241677,91.1,92.91,88.23,0.237988
shot_noise_level 4,45.18,52.17,66.67,0.274941,97.88,98.87,95.38,0.25926,82.71,91.61,84.51,0.231738,73.26,87.51,80.49,0.263621,90.91,95.66,89.55,0.230279,72.36,78.2,70.89,0.278311,73.65,75.0,76.92,0.303364,98.16,98.51,95.24,0.276473,94.12,94.78,89.55,0.261584,92.42,91.52,90.14,0.278019,95.54,96.15,89.86,0.271503,80.75,89.48,85.71,0.281484,83.08,87.45,84.58,0.267548
impulse_noise_level 1,93.57,94.42,89.55,0.195294,95.76,97.81,93.94,0.213081,96.78,98.64,95.38,0.177375,94.89,97.97,93.75,0.244394,98.86,99.49,96.87,0.199436,98.99,98.99,95.65,0.157429,86.69,87.57,82.19,0.22691,95.78,94.02,93.94,0.24206,93.48,93.82,89.86,0.235647,92.1,93.44,88.57,0.228092,89.81,91.89,84.37,0.259615,99.05,99.58,96.97,0.195936,94.65,95.64,91.75,0.214606
