transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
motion_blur_level 3,98.35,93.59,75.22,0.25024,93.19,83.17,60.55,0.277594,98.75,94.62,50.98,0.236259,99.57,97.97,74.57,0.283172,98.82,96.28,52.15,0.343412,98.56,94.61,68.63,0.29509,99.41,98.35,55.51,0.351011,95.51,92.89,74.23,0.22776,95.11,96.43,65.16,0.21234,97.24,87.5,32.82,0.279279,97.7,87.32,79.04,0.264428,98.48,92.1,60.87,0.303894,80.52,62.11,31.85,0.204986,95.37,91.59,59.05,0.276085,98.0,93.83,65.98,0.222326,96.31,90.82,60.44,0.268525
motion_blur_level 4,97.56,90.78,71.87,0.291038,92.77,80.94,55.58,0.296249,98.33,93.35,49.52,0.258238,99.4,97.11,72.3,0.284724,98.56,95.8,50.98,0.354859,98.4,92.22,66.39,0.317322,99.42,98.34,54.44,0.342511,94.17,91.31,69.71,0.246835,92.24,94.45,60.93,0.227624,96.69,86.1,24.2,0.298121,97.66,86.12,79.1,0.28411,98.04,88.67,58.66,0.329268,76.66,57.94,24.88,0.226529,95.95,90.4,63.33,0.296886,97.32,91.65,57.79,0.260948,95.54,89.01,57.31,0.287684
zoom_blur_level 1,90.32,78.16,55.01,0.359945,80.45,52.91,29.05,0.366171,84.01,76.06,25.19,0.287564,85.03,44.84,26.31,0.370279,89.63,66.86,15.73,0.388529,92.27,71.42,33.53,0.39339,98.99,96.4,50.73,0.343474,85.04,68.9,53.9,0.318539,88.58,83.35,46.3,0.319018,93.45,78.84,12.56,0.336,89.64,68.69,56.44,0.363359,92.26,65.21,15.44,0.392773,65.24,62.08,18.8,0.357656,89.08,72.76,49.49,0.36781,81.47,46.4,16.19,0.344133,87.03,68.86,33.64,0.353909
zoom_blur_level 2,89.25,75.3,51.2,0.371532,72.15,44.65,18.75,0.387058,81.57,72.87,19.12,0.318204,81.84,37.1,17.8,0.381378,82.79,48.93,6.41,0.402238,89.02,63.44,26.97,0.411413,98.42,93.59,47.25,0.356899,80.41,55.04,47.53,0.343339,84.7,73.53,34.96,0.340718,92.22,75.57,7.48,0.344314,85.38,58.77,46.87,0.377566,87.97,55.66,8.22,0.40998,63.97,57.43,16.81,0.382347,86.14,64.91,42.12,0.376911,74.79,34.55,11.92,0.361617,83.37,60.76,26.89,0.371034
zoom_blur_level 3,88.85,74.57,52.17,0.361505,68.92,40.96,17.21,0.387271,81.5,74.15,14.32,0.332985,82.17,38.33,19.01,0.378305,79.5,41.27,5.76,0.411293,85.51,53.71,21.75,0.415663,96.84,87.78,40.53,0.358416,78.88,47.5,46.41,0.355254,75.95,57.23,20.55,0.358389,91.54,71.56,5.44,0.346237,81.65,49.57,41.86,0.377747,84.16,41.78,7.17,0.41338,63.6,51.82,15.43,0.395832,83.79,61.92,38.74,0.376611,79.82,40.04,15.62,0.360653,81.51,55.48,24.13,0.375303
zoom_blur_level 4,87.27,70.22,48.81,0.370268,63.17,35.26,13.66,0.396433,79.75,72.04,12.7,0.338884,81.41,37.42,19.11,0.385301,75.94,32.89,4.1,0.423981,83.41,48.82,19.27,0.422786,95.95,85.59,36.43,0.34996,75.73,39.2,43.14,0.363395,71.82,47.03,16.91,0.369154,90.21,67.25,4.7,0.350926,81.0,47.54,40.19,0.381031,79.77,32.09,5.44,0.430805,63.99,46.67,15.35,0.409387,82.13,58.63,34.14,0.37871,75.71,32.49,12.35,0.361994,79.15,50.21,21.75,0.382201
brightness_level 1,98.95,97.07,82.73,0.241173,94.86,88.34,66.52,0.253394,97.78,96.06,52.4,0.228257,99.36,98.05,69.48,0.245955,99.09,97.37,51.82,0.280204,99.0,95.61,72.8,0.278596,99.43,98.75,56.18,0.34343,96.77,94.61,82.92,0.195499,95.52,96.85,64.28,0.18999,98.88,95.13,48.17,0.260549,97.33,87.34,74.51,0.245937,99.18,94.33,64.95,0.299953,87.04,61.78,47.43,0.182261,98.33,94.72,71.96,0.280294,98.95,96.33,71.67,0.179465,97.36,92.82,65.19,0.246997
brightness_level 2,98.97,97.06,82.62,0.246114,93.88,86.17,65.88,0.263971,96.97,94.5,52.74,0.231162,99.36,97.93,69.6,0.250249,99.11,97.51,52.09,0.277164,99.01,95.7,73.23,0.280261,99.42,98.78,55.61,0.342156,96.7,94.78,82.57,0.199208,95.17,96.75,64.26,0.197458,98.43,93.32,48.18,0.260285,97.32,86.86,74.63,0.248046,99.17,94.55,64.6,0.299712,86.75,62.0,47.13,0.188945,98.29,94.6,71.92,0.282225,99.01,96.75,72.3,0.183986,97.17,92.48,65.16,0.250063
brightness_level 3,98.96,96.97,82.58,0.255912,93.01,84.96,65.37,0.277647,96.18,93.93,52.65,0.236612,99.36,97.84,69.75,0.253064,99.15,97.55,52.24,0.279391,99.01,95.49,73.51,0.285458,99.43,98.75,55.8,0.345357,96.45,94.43,81.44,0.204463,93.61,92.56,59.76,0.231013,92.85,74.06,48.49,0.271109,97.26,87.22,74.58,0.258178,99.16,94.56,64.33,0.302399,86.41,61.16,46.55,0.195676,98.05,93.8,71.57,0.2802,99.06,97.03,73.06,0.191168,96.53,90.69,64.78,0.257843
brightness_level 4,98.91,97.0,82.36,0.262931,92.47,84.24,64.07,0.287818,95.96,92.91,51.76,0.245356,99.38,98.04,69.98,0.256244,99.17,97.66,52.41,0.285653,98.95,94.99,72.8,0.288469,99.44,98.69,55.71,0.339952,96.01,93.9,79.31,0.212233,90.56,82.31,46.26,0.263885,91.54,72.55,48.75,0.286177,97.27,86.82,75.03,0.260751,99.14,94.19,64.52,0.307675,86.52,61.1,47.39,0.206118,97.94,93.44,71.43,0.280225,99.07,96.78,73.65,0.200616,96.16,89.64,63.7,0.265607
