transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
contrast_level 1,93.87,98.22,93.55,0.442906,76.24,82.65,82.98,0.640564,94.95,99.02,96.3,0.403442,100.0,100.0,100.0,0.200097,93.21,97.97,94.34,0.177293,96.0,97.96,91.89,0.57332,100.0,100.0,100.0,0.466947,76.68,94.84,89.32,0.329405,93.41,98.79,94.29,0.502876,92.29,97.16,92.68,0.541944,98.96,99.61,97.67,0.346362,97.78,99.22,96.55,0.433934,89.5,88.45,76.6,0.342339,100.0,100.0,100.0,0.350072,95.02,98.63,94.12,0.171133,93.19,96.83,93.35,0.394842
contrast_level 2,94.52,98.39,95.24,0.386902,74.21,82.68,79.21,0.568442,94.28,98.89,95.41,0.338684,100.0,100.0,100.0,0.141168,93.21,97.97,94.34,0.151997,96.57,98.14,93.15,0.530122,100.0,100.0,100.0,0.340476,76.09,94.69,89.32,0.293578,90.88,98.33,94.2,0.486145,90.85,96.63,92.06,0.458393,98.96,99.6,97.67,0.314832,94.44,98.15,93.33,0.372113,90.0,88.45,78.26,0.315442,99.63,99.89,98.36,0.238791,93.33,98.11,94.21,0.149833,92.46,96.66,92.98,0.339128
contrast_level 3,94.52,98.37,93.75,0.316524,73.31,83.96,77.48,0.447087,95.62,99.18,95.5,0.270557,99.35,99.81,98.85,0.107787,93.21,97.97,94.34,0.102338,97.0,98.36,93.15,0.461042,100.0,100.0,100.0,0.206654,74.51,94.12,90.2,0.233716,84.4,97.11,91.5,0.298328,87.88,95.58,91.47,0.378412,99.85,99.94,98.82,0.215863,90.0,96.31,90.91,0.270348,89.0,87.66,77.78,0.303935,98.52,99.61,98.31,0.193942,91.31,97.45,93.55,0.120425,91.23,96.36,92.37,0.261797
contrast_level 4,91.61,97.52,92.31,0.136217,72.94,84.6,76.47,0.295847,82.32,95.56,92.98,0.158104,94.48,98.51,94.12,0.071584,87.14,96.1,89.29,0.049011,98.0,98.95,94.29,0.288368,96.06,98.95,97.78,0.109513,66.01,91.02,90.2,0.155379,68.57,92.81,91.5,0.143832,83.39,94.08,89.26,0.258949,96.73,98.86,93.83,0.093656,87.78,95.54,90.32,0.15193,83.33,81.98,74.29,0.194061,95.56,98.85,94.92,0.11035,88.35,96.8,90.76,0.082632,86.15,94.68,90.15,0.153296
rotation_level 1,97.28,99.24,97.56,0.446644,69.52,80.21,75.61,0.575517,90.2,97.99,91.43,0.511683,100.0,100.0,100.0,0.208093,95.49,98.63,94.74,0.123727,95.83,97.91,93.62,0.738642,100.0,100.0,100.0,0.697563,76.61,94.7,88.57,0.388393,93.62,98.65,96.91,0.514198,84.64,93.39,90.91,0.523937,100.0,100.0,100.0,0.384765,97.5,99.09,95.24,0.410242,86.43,86.81,81.48,0.443255,100.0,100.0,100.0,0.351757,97.5,99.37,96.2,0.147828,92.31,96.4,93.48,0.431083
rotation_level 2,95.92,98.86,95.24,0.415922,70.65,76.58,77.14,0.653674,91.22,98.08,94.87,0.461893,100.0,100.0,100.0,0.187449,96.99,99.01,94.74,0.11072,97.02,98.6,95.83,0.765355,100.0,100.0,100.0,0.665096,77.42,94.97,88.57,0.374322,92.43,98.58,94.85,0.510938,80.18,93.62,86.67,0.53151,100.0,100.0,100.0,0.371289,100.0,100.0,100.0,0.423539,80.36,81.22,70.27,0.400443,100.0,100.0,100.0,0.386203,95.23,98.87,96.1,0.157339,91.83,95.89,92.95,0.427713
rotation_level 3,95.24,98.81,97.56,0.425936,67.58,79.81,75.61,0.608668,92.23,98.32,94.44,0.505892,100.0,100.0,100.0,0.285612,95.49,98.53,94.44,0.160922,96.13,97.95,92.0,0.700114,100.0,100.0,100.0,0.56731,77.42,94.97,88.57,0.377293,97.4,99.52,96.77,0.561187,83.39,92.98,89.41,0.55041,100.0,100.0,100.0,0.393116,100.0,100.0,100.0,0.457715,81.07,79.62,75.0,0.439088,100.0,100.0,100.0,0.449391,98.64,99.63,97.56,0.151161,92.31,96.01,93.42,0.442254
rotation_level 4,95.24,98.81,97.56,0.471275,68.87,81.73,75.61,0.566021,95.95,99.05,97.37,0.499558,100.0,100.0,100.0,0.236809,95.49,98.74,97.3,0.145018,94.05,97.18,91.67,0.751168,100.0,100.0,100.0,0.610838,76.21,94.58,88.57,0.371662,93.14,98.81,95.65,0.569289,86.61,95.52,89.66,0.545118,100.0,100.0,100.0,0.337814,97.5,99.09,95.24,0.43223,76.07,78.05,66.67,0.527022,100.0,100.0,100.0,0.395995,95.23,98.77,93.83,0.151466,91.62,96.02,92.61,0.440752
zooming_level 1,95.24,98.52,93.33,0.440537,65.53,80.27,76.54,0.43894,91.67,98.31,91.89,0.57177,100.0,100.0,100.0,0.212113,94.74,98.24,92.68,0.124462,98.66,99.23,97.87,0.763279,100.0,100.0,100.0,0.694125,67.28,93.0,89.86,0.409236,92.2,98.61,93.88,0.515771,88.93,93.93,93.83,0.664683,100.0,100.0,100.0,0.384947,100.0,100.0,100.0,0.456247,76.92,76.37,69.57,0.536263,100.0,100.0,100.0,0.64935,92.95,98.05,94.12,0.161243,90.94,95.64,92.9,0.468198
zooming_level 2,95.24,98.57,93.02,0.473939,67.06,78.33,76.54,0.46673,89.58,97.66,94.44,0.572585,99.63,99.89,98.36,0.168506,96.24,98.53,97.44,0.153998,99.0,99.43,97.87,0.770285,100.0,100.0,100.0,0.697621,67.74,93.09,89.86,0.392166,92.2,98.59,93.88,0.509423,94.46,98.11,93.51,0.680626,100.0,100.0,100.0,0.395624,100.0,100.0,100.0,0.481384,83.08,81.39,78.57,0.471985,100.0,100.0,100.0,0.62462,93.86,98.35,93.83,0.177656,91.87,96.13,93.82,0.469143
zooming_level 3,94.56,98.33,93.33,0.437129,65.87,80.55,76.54,0.421439,90.97,98.09,92.96,0.584016,100.0,100.0,100.0,0.309753,93.98,97.83,92.68,0.144323,98.66,99.27,95.83,0.771217,100.0,100.0,100.0,0.67708,67.74,93.15,89.86,0.385622,92.91,98.7,94.0,0.469399,90.54,96.33,92.86,0.666222,100.0,100.0,100.0,0.416118,97.5,99.09,95.24,0.511709,79.62,74.74,75.86,0.453774,100.0,100.0,100.0,0.659518,90.23,97.42,90.91,0.158948,90.84,95.57,92.67,0.471084
zooming_level 4,93.2,98.01,92.31,0.556083,69.61,84.08,76.54,0.41218,90.97,98.1,92.11,0.557737,100.0,100.0,100.0,0.219651,95.49,98.29,95.0,0.135841,99.33,99.63,97.87,0.79373,100.0,100.0,100.0,0.699274,67.74,93.21,89.86,0.36926,91.49,98.47,93.88,0.505373,87.14,95.38,91.95,0.646379,99.68,99.88,98.25,0.422704,100.0,100.0,100.0,0.543242,78.85,78.95,72.0,0.48112,100.0,100.0,100.0,0.65939,95.68,98.82,95.12,0.193856,91.28,96.19,92.99,0.479721
shifting_level 1,96.03,98.87,95.45,0.472778,90.53,94.94,86.57,0.698748,96.83,99.44,97.14,0.547526,100.0,100.0,100.0,0.264169,96.99,99.08,97.3,0.109167,96.66,98.49,95.65,0.771779,100.0,100.0,100.0,0.526275,78.34,95.64,89.86,0.397691,87.23,97.78,93.07,0.503205,96.25,98.81,94.74,0.606708,97.73,99.03,98.25,0.283596,92.5,97.33,90.91,0.456073,98.08,97.6,92.31,0.433599,96.67,98.97,97.56,0.38221,97.44,99.37,96.1,0.157507,94.75,98.36,94.99,0.440735
shifting_level 2,92.86,98.1,95.24,0.525243,89.3,94.23,85.71,0.710062,98.41,99.71,97.22,0.476547,100.0,100.0,100.0,0.25154,95.49,98.63,94.74,0.102291,95.65,97.85,93.62,0.744764,100.0,100.0,100.0,0.540587,77.88,95.55,89.86,0.406794,89.36,98.17,93.07,0.501976,93.69,97.45,94.87,0.602047,98.38,99.34,98.25,0.287802,100.0,100.0,100.0,0.455171,99.62,99.45,96.3,0.411542,96.67,98.97,97.56,0.419339,98.21,99.56,96.3,0.147709,95.03,98.47,95.52,0.438894
shifting_level 3,95.24,98.61,95.45,0.458466,90.53,95.0,88.14,0.704364,96.83,99.44,97.14,0.511067,100.0,100.0,100.0,0.199152,93.98,98.13,94.44,0.146721,95.99,98.26,95.45,0.781335,100.0,100.0,100.0,0.531679,79.72,95.89,89.86,0.393711,90.96,98.44,93.88,0.550109,95.27,98.59,93.33,0.600665,95.78,98.2,96.43,0.305451,85.0,95.19,88.89,0.530167,96.54,96.85,96.0,0.454082,98.33,99.55,97.44,0.454896,95.9,99.0,95.0,0.150161,94.0,98.08,94.76,0.451468
shifting_level 4,94.44,98.42,95.24,0.522886,89.47,94.23,85.25,0.691033,96.43,99.38,97.14,0.490324,100.0,100.0,100.0,0.231503,95.49,98.63,94.74,0.111903,96.32,98.39,95.65,0.75899,100.0,100.0,100.0,0.590963,78.8,95.73,89.86,0.388481,88.03,97.84,93.88,0.52589,97.63,99.15,97.5,0.559225,95.78,98.28,96.43,0.350982,92.5,97.69,94.74,0.480017,99.23,98.97,96.0,0.457407,98.33,99.55,97.44,0.492934,97.95,99.44,98.73,0.146524,94.69,98.38,95.51,0.453271
