transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
motion_blur_level 4,89.35,92.18,84.37,0.38213,76.82,86.52,81.69,0.334186,78.07,89.25,84.62,0.38678,98.93,99.51,96.97,0.411655,96.43,98.66,95.38,0.360572,80.53,81.68,78.57,0.279702,64.19,62.77,68.49,0.538678,79.52,81.42,76.92,0.536136,78.51,75.54,77.5,0.542586,67.02,70.32,69.66,0.489139,92.51,93.26,85.71,0.68071,98.75,99.47,98.46,0.28095,83.39,85.88,83.2,0.435269
zoom_blur_level 1,83.2,86.06,80.0,0.17555,63.03,69.34,79.01,0.303988,88.64,95.5,87.1,0.323738,95.64,98.12,92.31,0.38196,89.77,95.58,89.86,0.264598,75.76,79.42,72.73,0.180144,58.13,56.97,69.66,0.263108,82.09,81.9,79.49,0.467734,66.02,69.29,70.33,0.443169,81.18,82.89,75.95,0.37461,65.11,71.1,66.67,0.545631,98.86,99.49,96.87,0.225741,78.95,82.14,80.0,0.329164
zoom_blur_level 2,83.2,85.88,78.38,0.161104,61.36,67.84,79.52,0.275504,85.61,94.14,84.93,0.250113,94.32,97.63,91.18,0.285049,87.5,94.41,87.32,0.241112,76.77,78.34,73.97,0.17197,57.12,56.04,68.09,0.233025,78.24,78.21,73.81,0.438217,61.34,64.41,71.74,0.436788,81.08,80.34,81.08,0.369733,65.56,73.71,67.35,0.522029,99.24,99.64,97.06,0.182185,77.61,80.88,79.54,0.297236
zoom_blur_level 3,85.67,86.97,81.08,0.19916,71.67,82.59,80.52,0.340343,81.63,92.17,83.12,0.269797,93.56,97.4,92.06,0.32166,92.8,96.76,92.31,0.263094,79.71,81.05,78.38,0.191714,60.42,56.63,69.66,0.254238,77.23,77.84,74.67,0.455477,56.84,56.0,68.35,0.478883,74.01,71.76,74.63,0.404565,45.18,51.78,66.67,0.470147,98.48,99.36,96.87,0.176195,76.43,79.19,79.86,0.318773
zoom_blur_level 4,84.57,83.86,81.48,0.172739,71.67,76.75,81.48,0.313835,79.73,90.9,84.21,0.262127,93.18,97.26,92.06,0.303261,92.05,96.5,92.31,0.251435,76.68,77.46,72.09,0.160465,61.34,57.31,70.45,0.238509,75.11,74.32,77.92,0.450661,54.64,55.38,70.33,0.437926,74.84,73.62,77.5,0.375936,52.53,58.64,66.67,0.457833,97.92,99.11,95.52,0.150001,76.19,78.43,80.17,0.297894
brightness_level 1,80.04,83.8,76.67,0.406314,90.33,94.9,86.49,0.365626,94.88,97.6,90.91,0.46552,96.96,98.67,93.88,0.405127,97.12,98.85,95.92,0.365969,80.04,81.8,76.8,0.339647,73.48,75.9,72.99,0.463467,82.28,83.13,78.18,0.614534,77.2,76.81,75.81,0.615398,68.12,73.52,67.83,0.5153,96.55,96.53,92.63,0.821733,98.24,99.12,96.15,0.403562,86.27,88.39,83.69,0.48185
brightness_level 2,80.64,83.83,75.63,0.360585,88.6,94.1,85.98,0.387258,90.96,95.52,89.91,0.466765,93.92,97.41,91.84,0.378558,96.4,98.57,94.95,0.372395,77.4,79.16,74.38,0.37006,72.56,72.49,73.13,0.441371,74.84,76.74,72.58,0.613207,75.64,75.18,75.59,0.621737,66.67,72.94,67.2,0.543764,96.27,96.4,92.78,0.843028,98.0,99.05,94.34,0.347574,84.32,86.78,82.36,0.478859
brightness_level 3,79.4,83.12,73.08,0.350963,85.73,91.97,84.11,0.353487,89.6,94.73,88.68,0.467478,90.64,96.03,89.36,0.433665,96.4,98.58,94.95,0.372217,73.88,77.07,75.19,0.340922,69.08,69.7,71.87,0.462185,76.24,76.54,74.8,0.628741,74.6,75.9,75.38,0.619319,65.69,72.54,67.74,0.56894,95.22,95.58,90.53,0.845439,96.48,98.42,95.05,0.348906,82.75,85.85,81.73,0.482689
brightness_level 4,75.56,80.57,71.7,0.322622,85.8,92.08,83.81,0.32318,89.28,94.37,89.32,0.462045,88.56,95.14,87.5,0.432795,97.44,99.04,96.97,0.363403,74.8,77.61,74.81,0.330729,67.48,68.72,69.77,0.452174,80.24,77.25,78.26,0.654774,75.6,76.35,74.34,0.653349,62.67,71.38,66.23,0.482923,95.61,96.76,90.91,0.830341,91.68,95.94,90.0,0.378626,82.06,85.43,81.14,0.473913
contrast_level 1,90.0,92.93,85.39,0.239203,98.73,99.26,96.15,0.308251,89.04,95.0,88.89,0.234171,96.64,98.57,94.12,0.304441,94.8,97.53,94.23,0.331938,85.24,88.96,80.9,0.243131,61.24,61.33,67.59,0.350198,84.64,85.67,80.0,0.550766,76.4,76.39,76.19,0.533058,80.76,81.34,75.86,0.437358,89.12,90.02,82.14,0.690394,99.12,99.59,96.91,0.236729,87.14,88.88,84.86,0.371636
