transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
zoom_blur_level 2,96.71,93.74,16.59,0.198449,89.6,69.38,10.64,0.314883,90.27,90.99,14.23,0.303782,98.89,84.48,60.28,0.521349,95.03,79.0,35.14,0.207334,97.1,85.8,14.58,0.245689,96.0,69.61,2.82,0.325126,94.11,77.94,18.19,0.469236,88.45,68.1,8.78,0.561687,86.75,71.32,10.32,0.486834,93.48,87.67,24.01,0.527374,98.81,90.57,67.96,0.226758,93.77,80.72,23.63,0.365708
zoom_blur_level 3,95.92,93.53,17.24,0.25222,88.28,65.05,10.46,0.385028,89.28,90.13,12.44,0.33524,98.91,81.89,57.26,0.457699,94.96,77.55,35.63,0.207702,95.66,83.62,11.75,0.250782,94.93,65.23,2.88,0.422115,92.99,75.66,10.11,0.430452,86.03,63.35,4.98,0.534815,86.61,69.34,11.02,0.504065,92.05,85.31,22.86,0.479724,98.24,90.11,62.31,0.214282,92.82,78.4,21.58,0.372844
zoom_blur_level 4,95.46,92.97,14.61,0.243354,86.13,61.56,9.52,0.378825,89.17,88.09,12.71,0.34817,98.9,80.24,55.7,0.444394,94.8,75.83,35.15,0.182972,94.28,80.99,10.58,0.239832,93.95,61.35,3.15,0.385269,91.61,73.81,6.09,0.28581,84.75,60.23,3.95,0.485278,86.48,66.82,10.27,0.488167,91.16,79.42,20.57,0.460856,98.17,90.23,62.83,0.209871,92.07,75.96,20.43,0.346067
brightness_level 1,96.52,92.96,25.39,0.399896,98.83,93.92,55.49,0.322372,96.15,92.14,42.24,0.190143,99.11,85.19,64.16,0.663005,95.36,88.75,38.74,0.200663,98.99,89.47,29.44,0.419239,97.78,78.99,6.59,0.567302,94.6,74.98,17.18,0.658101,91.15,74.04,18.53,0.712869,85.85,81.17,8.35,0.599077,97.03,91.74,40.57,0.782196,97.27,93.99,41.58,0.384468,95.72,86.44,32.35,0.491611
brightness_level 2,96.06,92.42,24.39,0.308841,98.81,92.19,55.73,0.321218,96.18,91.18,40.56,0.172761,98.59,78.05,60.69,0.553695,95.09,88.15,36.88,0.184684,98.76,87.97,27.91,0.432334,96.79,70.68,4.8,0.482648,94.32,73.72,15.41,0.668438,90.95,73.05,15.6,0.724317,86.04,80.99,9.4,0.64606,96.65,91.42,38.76,0.812984,97.4,94.26,42.73,0.357881,95.47,84.51,31.07,0.472155
brightness_level 3,95.56,92.43,23.22,0.267843,98.69,90.09,56.22,0.29576,96.07,90.54,37.96,0.172076,98.32,78.17,59.45,0.493154,95.14,88.43,37.2,0.17302,98.8,87.34,29.53,0.396003,96.34,69.76,3.81,0.563717,94.15,73.7,18.11,0.699717,90.6,72.12,12.84,0.705424,86.35,80.04,13.61,0.663,96.39,91.25,37.52,0.826687,97.56,94.72,47.79,0.360577,95.33,84.05,31.44,0.468082
brightness_level 4,95.22,92.48,22.68,0.264923,98.29,87.64,51.24,0.27602,96.04,90.39,36.48,0.168584,97.93,75.2,58.92,0.506046,95.2,88.68,37.77,0.154249,98.78,86.99,27.41,0.415379,96.17,69.85,5.94,0.572862,95.02,74.27,23.49,0.736301,90.52,71.91,12.5,0.709174,86.64,79.19,14.87,0.672747,96.19,91.35,39.15,0.819813,96.55,95.23,40.19,0.257295,95.21,83.6,30.89,0.462783
contrast_level 1,99.02,95.99,30.18,0.203037,97.86,93.01,54.19,0.247129,95.5,91.25,36.48,0.115129,99.18,84.41,63.34,0.549067,95.26,88.46,31.61,0.176463,99.5,91.89,34.51,0.247774,97.8,84.98,12.66,0.438573,96.6,88.28,25.67,0.588533,94.66,84.35,23.15,0.554985,91.49,79.2,12.55,0.454578,94.52,85.91,28.62,0.677234,98.13,87.58,42.67,0.232797,96.63,87.94,32.97,0.373775
contrast_level 2,98.9,95.53,30.48,0.174152,97.77,92.37,53.81,0.228593,95.58,90.98,38.07,0.100766,99.01,78.96,60.27,0.428201,94.88,88.73,29.78,0.138376,99.51,92.93,35.46,0.211898,97.62,83.72,9.18,0.387864,96.92,88.77,25.59,0.52725,94.62,84.4,22.71,0.512563,91.5,78.45,14.67,0.421914,94.49,85.74,28.89,0.639816,98.08,86.22,43.16,0.194747,96.57,87.23,32.67,0.330512
contrast_level 3,98.13,94.87,25.96,0.163256,97.41,90.54,50.91,0.192434,95.86,90.59,37.98,0.087461,98.58,79.29,56.96,0.451248,94.66,87.85,29.02,0.101862,99.42,91.26,32.31,0.165954,97.18,81.48,6.66,0.367894,97.28,89.14,25.88,0.447325,94.41,83.33,22.08,0.454842,91.69,78.75,16.31,0.367539,94.63,85.87,30.03,0.581388,97.89,85.33,41.59,0.165973,96.43,86.52,31.31,0.295598
