transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
defocus_blur_level 4,98.64,99.59,97.56,0.387431,68.55,81.25,76.92,0.518258,62.5,88.3,92.5,0.247262,99.0,99.67,98.36,0.204156,96.99,99.01,94.74,0.251191,82.74,90.38,84.62,0.690604,98.53,99.5,96.77,0.251698,74.6,93.45,89.55,0.259954,75.89,95.05,91.26,0.547046,75.0,90.42,87.36,0.549729,99.68,99.88,98.25,0.123912,100.0,100.0,100.0,0.571766,72.5,73.21,75.0,0.670307,97.86,99.35,97.44,0.22691,89.77,97.32,91.36,0.217204,86.15,93.76,91.45,0.381162
motion_blur_level 1,96.6,98.94,95.24,0.330351,84.72,91.85,87.5,0.649047,93.06,98.53,93.33,0.392008,98.15,99.52,98.31,0.190293,44.36,69.25,84.44,0.166153,95.32,97.57,92.0,0.624013,100.0,100.0,100.0,0.53193,87.56,97.13,92.54,0.299354,76.36,93.68,92.93,0.607073,48.21,77.44,85.71,0.085424,97.73,99.21,96.3,0.431533,100.0,100.0,100.0,0.64527,80.0,76.71,80.0,0.703073,100.0,100.0,100.0,0.369666,48.75,78.01,87.91,0.121197,83.39,91.86,92.41,0.409759
motion_blur_level 2,98.64,99.59,97.56,0.324056,80.31,89.18,82.54,0.66567,90.62,97.81,94.44,0.43913,96.3,99.06,96.55,0.267634,57.14,73.17,86.36,0.126462,93.31,96.35,90.91,0.707776,100.0,100.0,100.0,0.492985,87.56,97.05,93.94,0.304355,69.98,91.69,91.84,0.595875,45.89,75.15,85.71,0.115842,98.38,99.46,98.18,0.383709,97.5,99.09,95.24,0.569746,75.77,72.87,73.33,0.701691,100.0,100.0,100.0,0.286451,48.75,78.01,87.91,0.184886,82.68,91.23,91.63,0.411085
motion_blur_level 3,93.2,97.84,93.02,0.349983,83.19,90.62,82.76,0.634173,79.17,95.09,91.14,0.400714,92.59,98.06,93.1,0.208627,51.13,72.63,85.71,0.14929,94.98,97.25,92.0,0.621183,100.0,100.0,100.0,0.520473,89.4,97.28,95.24,0.349509,61.94,88.67,91.26,0.447368,46.61,75.96,86.02,0.066973,97.08,99.13,98.18,0.369704,97.5,99.09,95.24,0.502465,83.08,86.46,81.82,0.774354,100.0,100.0,100.0,0.301651,48.75,78.01,87.91,0.203122,81.24,91.74,91.56,0.393306
motion_blur_level 4,90.48,97.29,90.91,0.299659,80.31,88.51,83.87,0.599812,65.62,91.28,91.14,0.399458,92.22,97.8,92.31,0.159953,54.14,79.83,84.44,0.146478,95.32,97.51,91.67,0.637644,100.0,100.0,100.0,0.424374,92.63,98.18,95.38,0.368809,64.3,89.93,91.26,0.415826,43.93,71.69,85.11,0.05826,97.73,99.29,98.18,0.323835,82.5,93.27,90.91,0.422112,85.77,85.87,81.48,0.754205,100.0,100.0,100.0,0.307127,48.75,78.01,87.91,0.213524,79.58,91.23,90.97,0.368738
zoom_blur_level 1,92.06,97.88,93.33,0.178769,93.16,95.2,91.8,0.441943,62.3,90.94,91.14,0.161602,72.03,91.3,86.57,0.161135,63.16,84.11,86.36,0.273514,69.23,83.11,80.0,0.376944,96.67,99.02,94.92,0.315345,87.56,96.94,95.38,0.235331,43.88,86.12,92.16,0.228724,68.84,87.67,87.06,0.538474,89.61,96.2,89.29,0.311714,92.5,97.69,94.74,0.496363,89.62,87.34,77.42,0.35118,91.67,97.75,92.68,0.381157,49.74,80.78,88.64,0.318613,77.47,91.47,89.43,0.318054
zoom_blur_level 2,92.86,97.82,95.45,0.206849,90.53,94.32,90.0,0.456352,61.51,89.51,91.14,0.201335,74.33,92.26,86.57,0.196501,57.14,82.43,84.44,0.184772,63.88,80.63,78.57,0.391576,98.0,99.41,96.67,0.300073,93.09,98.48,93.94,0.203582,41.49,85.01,92.16,0.248826,68.05,86.82,85.71,0.45645,87.66,95.55,89.29,0.326839,100.0,100.0,100.0,0.436957,87.31,84.9,75.86,0.36756,81.67,94.71,88.89,0.271429,43.85,77.69,88.64,0.402439,76.09,90.64,89.16,0.310103
zoom_blur_level 3,83.33,95.51,89.36,0.193009,91.23,95.39,87.27,0.478576,57.54,89.84,91.14,0.288725,68.58,90.66,86.57,0.184985,56.39,80.96,84.44,0.204315,60.54,75.38,77.97,0.285324,91.67,97.56,91.8,0.271146,88.48,97.56,92.06,0.230928,46.28,87.29,92.16,0.29838,62.13,86.04,85.71,0.4435,87.01,95.07,89.66,0.358497,75.0,91.92,83.33,0.366052,83.08,80.87,73.33,0.294715,58.33,85.34,86.96,0.228529,36.15,79.71,88.64,0.355904,69.72,88.61,86.69,0.298839
zoom_blur_level 4,84.13,95.76,91.3,0.265813,87.54,93.38,86.21,0.495336,48.02,86.43,91.14,0.266558,62.84,88.83,86.57,0.224775,51.13,78.89,84.44,0.213372,54.52,69.82,77.97,0.251404,88.0,96.38,88.89,0.298733,82.95,96.34,89.86,0.199337,55.85,90.62,93.07,0.292049,61.93,86.03,86.67,0.491461,84.42,94.28,86.21,0.387174,60.0,84.49,83.33,0.354622,89.23,86.38,77.42,0.283614,57.5,83.78,86.96,0.161616,32.82,74.25,88.64,0.346975,66.73,87.04,86.58,0.302189
brightness_level 1,96.88,99.1,96.87,0.373891,83.06,89.78,82.47,0.65558,94.39,98.85,95.5,0.521058,100.0,100.0,100.0,0.265325,97.49,99.15,96.43,0.278188,84.57,92.86,83.33,0.640212,100.0,100.0,100.0,0.362273,77.76,94.9,89.52,0.152526,78.44,94.88,92.21,0.267925,79.21,91.43,87.88,0.430157,99.58,99.84,97.67,0.380696,91.11,97.16,92.86,0.611994,68.33,67.62,65.31,0.541333,97.67,99.28,95.08,0.387682,91.88,97.97,92.06,0.192077,89.36,94.85,91.15,0.404061
