transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
rotation_level 2,94.94,89.31,58.92,0.204123,85.62,69.42,31.77,0.512198,95.4,86.32,33.7,0.388529,99.67,98.96,76.09,0.275345,99.18,95.31,46.95,0.43523,99.28,93.04,67.83,0.492107,99.31,98.6,48.78,0.32679,72.49,80.31,31.86,0.118352,90.36,93.15,36.75,0.388976,97.97,89.55,43.66,0.626223,96.5,92.97,78.27,0.271252,96.71,89.38,35.62,0.61834,65.97,48.43,15.43,0.327566,98.81,96.59,72.02,0.228556,94.14,75.27,38.22,0.279851,92.42,86.44,47.72,0.366229
rotation_level 3,94.98,89.81,60.15,0.200945,85.34,69.33,32.43,0.492819,95.15,90.37,30.64,0.405007,99.46,98.67,74.15,0.271698,98.93,94.96,49.3,0.418453,99.15,92.95,66.14,0.526884,99.33,98.77,48.53,0.467518,71.59,79.45,31.55,0.110059,90.23,93.05,35.17,0.424107,98.12,89.26,38.5,0.599558,96.05,92.17,78.5,0.280022,96.55,87.84,31.33,0.591561,66.83,49.94,15.1,0.340246,98.74,97.32,71.52,0.23479,94.41,75.37,39.37,0.266748,92.32,86.62,46.83,0.375361
rotation_level 4,94.68,87.62,58.89,0.201992,85.42,67.97,30.79,0.486509,95.23,90.05,33.1,0.392731,99.64,98.87,76.43,0.316883,99.06,96.34,49.46,0.382016,99.19,92.84,66.85,0.517928,99.36,98.77,49.31,0.322649,71.17,78.39,31.39,0.106949,90.44,92.94,34.98,0.394139,97.91,88.84,35.59,0.595753,96.09,92.15,78.21,0.283025,95.96,91.22,29.25,0.61747,67.6,49.03,12.89,0.356211,98.77,96.95,72.53,0.247285,94.3,77.16,35.32,0.281372,92.32,86.61,46.33,0.366861
zooming_level 1,90.22,84.23,60.23,0.189567,78.24,67.28,28.18,0.4571,96.96,94.9,42.22,0.498849,99.42,96.52,73.98,0.334904,97.25,92.24,40.86,0.311173,96.73,86.27,61.04,0.530829,99.57,98.99,55.05,0.468985,64.69,69.78,39.42,0.099479,83.49,89.38,25.75,0.314748,98.59,92.17,47.24,0.58033,89.76,83.42,66.19,0.177679,94.98,88.52,54.32,0.591958,67.19,51.33,19.52,0.093936,99.0,96.72,69.01,0.304968,95.98,84.75,48.96,0.269749,90.14,85.1,48.8,0.348284
zooming_level 2,89.29,84.08,60.17,0.181167,75.81,65.69,26.76,0.438601,96.66,94.47,43.17,0.474836,99.18,95.85,71.88,0.277588,96.75,90.23,40.73,0.250264,95.91,83.86,58.97,0.49758,99.58,98.77,54.76,0.435387,59.63,69.91,39.25,0.094343,82.39,88.17,25.9,0.286479,98.72,93.01,46.58,0.598609,89.8,82.53,66.7,0.222384,94.14,87.53,54.7,0.570931,66.28,48.79,20.8,0.113066,98.88,96.28,68.39,0.287878,95.31,81.89,48.72,0.266635,89.22,84.07,48.5,0.33305
zooming_level 3,88.02,84.0,59.7,0.173412,72.9,64.03,25.98,0.428911,95.82,93.5,42.12,0.474245,99.34,96.56,71.49,0.28958,97.56,90.68,43.52,0.29779,95.37,84.27,57.98,0.486315,99.55,98.82,54.85,0.470849,55.22,67.34,39.66,0.083419,80.68,87.8,25.58,0.300003,98.72,93.17,50.46,0.591475,88.96,77.15,67.93,0.188387,93.25,86.11,55.06,0.552647,64.97,49.28,21.45,0.098241,98.92,96.56,68.96,0.296145,94.7,78.46,48.76,0.247717,88.27,83.18,48.9,0.331942
zooming_level 4,87.36,83.06,59.89,0.172292,70.12,62.49,26.02,0.401634,95.59,93.94,42.45,0.489842,99.42,97.45,72.71,0.321789,97.28,92.94,43.2,0.245164,95.81,81.58,59.06,0.485214,99.45,98.86,55.27,0.488397,52.92,67.91,40.2,0.075828,79.25,87.93,25.61,0.270384,98.79,93.35,47.48,0.56456,90.4,79.44,68.44,0.179382,92.7,85.78,55.24,0.525104,62.35,44.54,21.22,0.097778,98.81,96.7,67.58,0.265682,94.58,77.71,49.41,0.257445,87.66,82.91,48.92,0.3227
shifting_level 1,91.96,85.56,62.14,0.209201,90.22,79.38,43.11,0.501777,95.26,90.81,33.03,0.398652,99.55,97.64,72.79,0.297245,95.32,92.0,27.41,0.226016,97.91,93.66,57.4,0.470611,99.12,98.6,50.63,0.474679,72.57,77.63,29.27,0.113693,86.94,94.12,33.82,0.369477,98.37,92.02,46.51,0.56782,78.11,82.63,59.29,0.262006,90.9,91.71,36.63,0.627823,80.33,70.59,24.6,0.211042,96.88,94.78,60.63,0.308943,95.93,85.54,47.31,0.28299,91.29,88.44,45.64,0.354798
shifting_level 2,92.03,86.06,62.2,0.213821,90.13,78.77,42.89,0.529554,95.19,91.03,32.89,0.409444,99.58,97.94,73.53,0.307494,96.75,91.74,29.6,0.159305,97.8,93.37,56.21,0.452974,99.17,98.6,49.92,0.455132,71.93,77.47,28.97,0.110035,87.21,94.08,32.67,0.35412,98.53,93.05,42.85,0.598728,80.63,84.08,60.06,0.268224,90.52,89.56,38.79,0.631738,80.7,69.92,23.75,0.213195,96.85,94.4,61.0,0.298463,95.95,85.44,50.22,0.291795,91.53,88.37,45.7,0.352935
shifting_level 3,92.3,86.54,62.59,0.205578,90.08,78.64,43.56,0.495956,95.19,90.16,32.36,0.408264,99.56,97.2,72.93,0.316093,97.81,91.98,31.21,0.219924,97.82,92.46,57.64,0.458382,99.23,98.73,49.59,0.466043,73.39,78.76,29.45,0.107604,87.22,94.11,34.02,0.373522,98.53,93.19,44.72,0.578916,81.93,85.09,62.22,0.262217,92.5,90.99,36.95,0.657094,80.22,70.42,24.14,0.209069,96.92,94.82,62.38,0.30232,96.53,86.84,53.55,0.269006,91.95,88.66,46.49,0.355333
shifting_level 4,92.14,86.39,62.8,0.208033,90.05,78.14,42.79,0.494582,95.32,90.05,32.57,0.399286,99.51,97.76,71.41,0.327105,97.12,91.36,31.38,0.189691,97.88,93.41,55.8,0.458971,99.16,99.01,50.14,0.464796,72.22,77.4,29.17,0.103265,86.86,94.17,33.76,0.356317,98.61,93.73,47.5,0.588637,80.22,84.49,61.28,0.265557,90.6,90.9,36.99,0.642165,80.32,71.32,24.07,0.237023,97.56,95.59,62.88,0.312334,96.34,88.33,50.72,0.280423,91.59,88.8,46.22,0.355212
