transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
motion_blur_level 3,56.01,68.78,66.67,0.18256,63.64,78.17,76.74,0.330169,79.32,90.54,81.58,0.302338,87.52,94.8,88.14,0.548627,90.73,95.68,90.62,0.436313,76.95,75.97,74.67,0.637169,63.54,68.09,67.37,0.625793,60.06,62.73,68.97,0.642098,63.82,63.03,68.35,0.52908,73.71,77.4,69.33,0.567881,79.41,82.53,72.73,0.572458,95.01,97.76,92.75,0.48474,74.14,79.62,76.49,0.488269
motion_blur_level 4,60.7,71.29,67.35,0.219489,65.76,80.02,76.74,0.258784,76.65,88.61,83.78,0.328206,84.14,93.59,86.21,0.575268,91.62,95.91,88.57,0.388365,78.88,75.47,80.56,0.666537,59.14,63.26,66.67,0.509169,62.17,65.93,68.97,0.706399,59.78,64.17,67.42,0.530326,49.11,49.47,66.67,0.43621,68.81,71.23,72.53,0.602314,89.84,95.56,88.89,0.509144,70.55,76.21,76.2,0.477518
zoom_blur_level 1,69.51,76.4,68.04,0.337284,47.88,69.48,76.74,0.279464,86.74,94.41,85.71,0.407318,95.64,98.22,92.54,0.457957,85.61,92.99,88.57,0.38106,68.6,73.56,68.42,0.608872,58.86,57.79,68.75,0.600544,62.44,68.05,67.35,0.386897,53.44,58.1,66.67,0.593722,52.98,57.74,66.67,0.714569,30.58,48.78,66.67,0.469352,97.92,99.08,96.97,0.498335,67.52,74.55,76.09,0.477948
zoom_blur_level 2,73.83,78.54,72.5,0.505433,46.36,65.77,76.74,0.31026,82.58,92.84,83.33,0.429797,94.89,98.02,93.94,0.470802,77.27,89.97,82.86,0.391638,66.94,69.72,69.14,0.511256,57.12,56.67,68.75,0.589426,65.56,64.91,68.75,0.457874,43.8,49.9,67.35,0.689708,58.49,59.09,68.04,0.772282,24.79,43.01,66.67,0.514567,97.54,98.62,97.06,0.466509,65.76,72.26,76.26,0.509129
zoom_blur_level 3,76.95,80.4,72.73,0.442223,51.97,66.34,77.65,0.476675,82.95,92.95,83.12,0.450351,95.08,98.05,93.75,0.444452,80.87,90.89,84.85,0.460846,60.97,64.55,68.29,0.533323,59.87,57.43,70.59,0.621007,52.34,51.18,67.35,0.428749,32.6,40.58,66.67,0.578998,69.79,67.58,72.46,0.896217,30.03,43.83,66.67,0.628492,97.35,98.9,95.38,0.539301,65.9,71.06,76.63,0.54172
zoom_blur_level 4,80.44,83.0,78.12,0.439668,55.3,70.61,77.65,0.489565,81.06,91.76,82.35,0.535161,92.42,97.09,92.06,0.483196,78.6,89.5,84.62,0.386019,54.09,61.52,66.67,0.407904,64.37,60.97,71.79,0.586349,64.19,66.88,68.89,0.590295,38.29,46.94,66.67,0.461383,62.9,59.47,68.97,0.832175,29.29,40.54,66.67,0.705888,96.21,98.18,95.52,0.534016,66.43,72.2,76.67,0.537635
brightness_level 1,79.16,85.15,74.73,0.507906,53.4,72.86,77.52,0.370927,79.6,90.06,82.05,0.339577,89.76,95.81,88.42,0.441956,94.56,97.28,92.59,0.390267,78.92,77.47,77.42,0.667758,63.92,65.51,69.5,0.527843,55.08,59.57,66.67,0.452871,70.04,65.97,74.14,0.670788,71.33,73.01,71.56,0.578174,83.88,81.24,76.47,0.623699,90.96,95.51,90.2,0.623153,75.88,79.95,78.44,0.516243
brightness_level 2,76.6,82.46,71.29,0.507114,53.2,72.88,76.92,0.354888,75.04,87.5,83.48,0.362026,84.8,93.48,84.78,0.505919,93.6,96.81,90.91,0.382308,77.76,77.23,77.78,0.74044,63.8,64.27,70.0,0.560766,62.48,61.67,68.75,0.626491,72.28,66.15,72.87,0.646302,70.9,72.2,69.49,0.57167,85.41,82.46,78.95,0.655491,88.88,94.66,90.0,0.693581,75.4,79.31,77.94,0.550583
brightness_level 3,72.28,78.3,69.39,0.527452,46.4,66.59,77.52,0.369881,74.48,87.13,82.35,0.415878,79.12,91.22,82.22,0.507621,92.24,96.01,89.91,0.40654,71.2,70.29,74.42,0.740619,61.72,62.8,70.68,0.648654,65.24,68.23,67.11,0.517933,71.96,67.41,72.55,0.750443,68.86,72.97,68.75,0.566644,87.22,83.46,81.9,0.710966,83.92,93.13,85.11,0.732331,72.89,78.13,76.83,0.57458
brightness_level 4,70.28,77.27,67.74,0.443324,52.2,68.5,78.74,0.334084,71.92,85.44,81.67,0.466655,72.4,88.08,80.0,0.286711,91.6,95.65,91.09,0.503506,66.36,64.43,71.64,0.665996,59.96,59.99,70.15,0.599668,68.36,66.01,69.92,0.787705,69.28,66.39,72.13,0.629843,64.82,68.03,66.67,0.575545,87.76,86.31,84.62,0.748904,82.56,91.51,83.17,0.713851,71.46,76.47,76.46,0.562983
