transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,97.5,97.54,92.68,0.133755,99.65,99.79,98.0,0.139733,98.3,99.18,96.08,0.138993,97.96,99.11,95.83,0.176823,98.8,99.44,96.08,0.133192,95.19,94.07,91.18,0.122347,83.91,76.36,80.52,0.130164,95.17,94.98,91.09,0.174905,95.65,95.43,90.05,0.17898,95.66,96.57,90.82,0.183543,99.59,99.59,97.09,0.187586,98.84,99.44,96.04,0.153376,96.35,95.96,92.96,0.15445
noise_level 1,88.06,90.95,82.11,0.174677,99.15,99.53,98.02,0.143053,96.92,98.66,94.53,0.144832,92.48,96.63,89.52,0.179382,96.96,98.69,94.42,0.145828,97.02,97.35,91.84,0.139988,82.0,77.43,78.43,0.154794,95.17,95.12,91.37,0.17864,95.43,95.32,90.0,0.185703,94.89,95.96,89.45,0.185165,99.56,99.55,97.0,0.202557,99.04,99.53,97.03,0.161624,94.72,95.39,91.14,0.166354
noise_level 2,82.43,85.49,74.75,0.196746,98.88,99.33,96.52,0.152233,95.04,97.74,91.09,0.157404,92.6,96.85,89.73,0.228468,95.28,98.0,92.86,0.158906,91.57,93.64,87.1,0.172209,75.4,75.14,71.77,0.175904,95.38,95.24,91.54,0.180648,95.56,95.64,89.76,0.187067,93.65,94.96,87.83,0.203844,99.7,99.69,97.54,0.203167,97.42,98.84,94.47,0.176276,92.74,94.21,88.75,0.182739
noise_level 3,72.64,77.01,70.85,0.193514,98.55,99.23,96.52,0.164838,91.36,95.92,89.01,0.177515,91.86,96.49,89.22,0.227563,93.5,97.31,91.75,0.169812,78.9,79.12,77.73,0.192101,70.57,69.78,70.0,0.195013,95.05,95.11,91.18,0.187467,93.91,94.7,87.62,0.192946,92.15,93.58,86.14,0.211896,99.52,99.52,96.55,0.210187,92.82,96.69,88.77,0.20241,89.24,91.2,86.28,0.193772
noise_level 4,57.47,56.13,68.73,0.202536,96.22,98.04,94.53,0.190464,76.5,88.17,81.15,0.176732,77.0,87.28,82.97,0.223718,86.24,94.01,83.94,0.199913,64.62,67.82,69.79,0.231354,57.72,59.53,67.13,0.209769,91.68,92.69,86.14,0.209583,92.24,93.2,85.07,0.205766,87.21,89.47,81.13,0.232451,99.28,99.27,97.03,0.230865,82.32,90.58,88.48,0.217171,80.71,84.68,82.17,0.21086
blur_level 1,73.54,65.78,82.5,0.135617,75.42,77.27,90.0,0.140283,73.42,78.12,89.5,0.139475,83.2,90.65,89.0,0.174308,74.78,80.95,90.5,0.130701,71.94,64.72,80.17,0.124433,65.53,57.68,75.78,0.130151,74.08,70.34,82.35,0.171646,72.69,68.86,79.83,0.180137,71.92,66.5,77.92,0.180606,75.89,71.43,84.26,0.194181,75.42,82.71,90.0,0.150462,73.99,72.92,84.32,0.154333
blur_level 2,74.47,65.9,82.5,0.140066,73.9,73.91,89.69,0.142897,73.5,78.37,89.91,0.14663,77.78,85.75,89.0,0.185599,72.62,77.05,90.32,0.140274,72.57,68.23,80.17,0.125117,64.05,57.99,75.3,0.13703,74.86,71.37,82.2,0.18284,71.53,65.82,80.0,0.191072,70.43,63.16,76.86,0.177208,74.32,65.96,84.26,0.200107,74.4,81.67,90.32,0.156917,72.87,71.26,84.21,0.16048
blur_level 3,72.81,65.81,82.7,0.153994,72.68,75.02,88.69,0.158197,73.9,78.66,90.32,0.159541,73.62,80.24,90.05,0.174193,71.72,76.7,89.2,0.158381,70.98,65.24,79.17,0.141296,60.92,55.47,72.36,0.144224,70.68,59.4,81.51,0.19443,70.82,62.57,79.83,0.202245,69.37,62.59,76.58,0.212138,74.5,65.76,82.85,0.204238,72.34,79.79,88.48,0.165964,71.19,68.94,83.48,0.172403
blur_level 4,70.84,65.44,77.19,0.186683,71.72,72.99,86.84,0.173642,72.56,78.68,88.48,0.18024,73.3,80.63,89.0,0.195392,70.0,75.66,89.52,0.187119,69.15,65.21,76.98,0.159678,56.04,53.69,68.77,0.151174,69.41,61.21,77.6,0.217099,67.45,59.09,74.49,0.22719,67.06,62.25,73.19,0.237779,70.54,60.09,78.38,0.257472,70.08,77.37,85.46,0.185223,69.01,67.69,80.49,0.196558
photometric_level 1,96.43,96.17,93.07,0.140985,99.48,99.69,97.49,0.141396,94.32,97.02,92.38,0.138802,94.36,97.6,91.49,0.196986,98.76,99.41,95.52,0.140713,94.24,92.91,87.92,0.125369,83.27,75.6,82.19,0.136813,95.71,95.47,91.54,0.174127,95.42,95.49,91.37,0.193121,92.43,94.12,88.21,0.201777,99.6,99.6,96.62,0.184765,99.02,99.53,96.59,0.150598,95.25,95.22,92.03,0.160454
photometric_level 2,95.11,95.14,92.46,0.148593,99.35,99.62,97.51,0.142648,73.58,85.63,88.0,0.138948,90.76,96.03,87.78,0.23361,98.54,99.3,95.57,0.143867,94.1,92.79,87.44,0.126811,81.27,74.32,79.61,0.149102,95.73,95.59,91.71,0.177883,95.41,95.42,91.92,0.196171,89.79,91.99,84.42,0.212912,99.55,99.54,97.03,0.203683,95.68,97.5,94.12,0.175873,92.41,93.57,90.63,0.170842
photometric_level 3,86.11,88.1,80.21,0.179201,99.22,99.55,97.54,0.153979,65.86,79.47,87.5,0.148373,81.6,91.14,82.97,0.214762,97.7,98.94,94.36,0.164695,91.8,90.32,85.46,0.129916,74.12,71.56,71.11,0.142567,95.34,95.32,90.2,0.1939,95.8,95.62,91.92,0.202146,85.42,88.24,80.95,0.226713,99.42,99.38,96.52,0.213414,82.48,90.52,85.34,0.184466,87.91,90.68,87.01,0.179511
photometric_level 4,64.56,66.72,67.37,0.200277,84.97,90.48,85.46,0.190099,60.32,74.08,85.09,0.193534,60.86,79.28,81.3,0.263955,92.38,96.34,88.99,0.173493,74.78,68.84,75.19,0.143422,60.61,59.71,70.59,0.147039,94.04,94.45,88.57,0.212992,96.09,95.82,92.31,0.220321,79.8,84.3,75.0,0.2738,99.13,99.08,96.52,0.238871,65.02,80.35,80.0,0.228057,77.71,82.45,82.2,0.207155
geometric_level 1,96.73,96.87,92.54,0.135104,99.75,99.85,98.02,0.139163,98.08,98.99,95.96,0.143858,98.04,99.17,95.88,0.17134,98.68,99.39,95.96,0.139522,94.72,94.19,90.64,0.121296,82.92,75.85,78.85,0.136698,94.33,95.02,90.55,0.173056,94.96,95.15,88.57,0.181218,95.1,96.3,90.82,0.187686,99.58,99.57,97.56,0.187791,97.76,98.77,96.0,0.157616,95.89,95.76,92.61,0.156196
geometric_level 2,96.65,96.56,90.55,0.143987,92.78,93.69,94.29,0.141687,97.9,99.0,96.0,0.142147,97.2,98.79,94.23,0.145764,92.04,93.87,93.33,0.136504,81.3,69.52,83.72,0.128134,74.62,63.4,79.31,0.136999,92.94,92.86,89.1,0.181886,92.29,91.82,85.17,0.190952,84.96,77.13,84.44,0.179917,99.56,99.58,97.03,0.206702,95.74,97.7,94.23,0.151428,91.5,89.49,90.12,0.157176
