transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
rotation_level 1,100.0,100.0,100.0,0.270791,97.74,98.67,95.24,0.193986,98.65,99.71,97.37,0.148513,100.0,100.0,100.0,0.213135,95.49,98.74,97.3,0.251416,100.0,100.0,100.0,0.239704,100.0,100.0,100.0,0.273792,100.0,100.0,100.0,0.259415,97.87,99.56,98.95,0.156392,85.89,95.59,88.31,0.157369,100.0,100.0,100.0,0.265987,100.0,100.0,100.0,0.272571,90.36,87.64,86.67,0.212072,100.0,100.0,100.0,0.238475,100.0,100.0,100.0,0.169927,97.73,98.66,97.59,0.22157
rotation_level 2,100.0,100.0,100.0,0.273842,93.71,96.61,91.23,0.223659,98.31,99.64,97.37,0.150602,100.0,100.0,100.0,0.215679,96.99,99.08,97.3,0.25506,100.0,100.0,100.0,0.235915,100.0,100.0,100.0,0.273711,100.0,100.0,100.0,0.254368,97.16,99.4,98.95,0.15012,80.54,92.5,86.67,0.143125,100.0,100.0,100.0,0.271256,100.0,100.0,100.0,0.261923,91.79,88.93,83.87,0.209838,100.0,100.0,100.0,0.24707,100.0,100.0,100.0,0.165116,97.23,98.41,97.03,0.222086
rotation_level 3,98.64,99.56,97.67,0.270907,86.94,92.6,83.33,0.196709,82.09,95.07,94.87,0.148458,96.33,98.82,95.24,0.216716,82.71,94.06,88.37,0.193365,91.67,94.99,90.57,0.256352,85.04,94.49,92.54,0.276441,100.0,100.0,100.0,0.273168,75.89,93.57,94.0,0.149687,66.07,84.14,87.06,0.153252,98.38,99.34,98.25,0.267865,100.0,100.0,100.0,0.261038,81.43,76.89,78.79,0.213984,97.14,99.1,95.0,0.291963,88.86,96.83,94.12,0.164959,88.75,94.63,92.65,0.222324
rotation_level 4,93.88,97.57,97.67,0.287281,74.03,77.81,86.96,0.228682,79.39,94.47,94.87,0.168055,82.67,92.15,92.31,0.203818,85.71,95.08,88.37,0.141771,70.83,79.67,85.71,0.239232,90.91,94.95,96.87,0.274994,96.77,99.12,96.87,0.263312,56.74,88.23,91.26,0.137314,54.29,77.73,86.02,0.142094,91.88,96.6,93.33,0.271031,100.0,100.0,100.0,0.292133,78.93,73.08,74.07,0.288289,87.86,94.52,93.02,0.242166,62.5,85.15,91.95,0.16898,80.43,89.74,91.29,0.223277
zooming_level 1,100.0,100.0,100.0,0.265577,95.76,98.0,93.55,0.218847,92.36,98.0,97.22,0.157777,100.0,100.0,100.0,0.210553,100.0,100.0,100.0,0.22211,100.0,100.0,100.0,0.250416,100.0,100.0,100.0,0.270925,100.0,100.0,100.0,0.239789,99.53,99.91,98.92,0.152018,86.96,95.66,89.16,0.156581,100.0,100.0,100.0,0.266505,100.0,100.0,100.0,0.273618,95.0,93.38,85.71,0.213994,100.0,100.0,100.0,0.298972,99.09,99.76,97.5,0.158847,97.91,98.98,97.47,0.223769
zooming_level 2,100.0,100.0,100.0,0.276844,96.1,98.05,93.55,0.226195,92.01,98.16,94.44,0.163612,100.0,100.0,100.0,0.219868,99.25,99.74,97.44,0.187342,100.0,100.0,100.0,0.26017,100.0,100.0,100.0,0.277075,100.0,100.0,100.0,0.249085,99.53,99.91,98.95,0.150866,83.04,94.46,85.71,0.151221,100.0,100.0,100.0,0.261759,100.0,100.0,100.0,0.276568,90.77,89.22,81.48,0.214147,100.0,100.0,100.0,0.29681,97.5,99.36,96.1,0.173637,97.21,98.59,96.51,0.22568
zooming_level 3,100.0,100.0,100.0,0.276086,96.1,98.04,95.08,0.231288,90.97,97.91,94.29,0.171221,100.0,100.0,100.0,0.237621,96.24,98.9,97.3,0.2228,100.0,100.0,100.0,0.258728,100.0,100.0,100.0,0.237737,100.0,100.0,100.0,0.253589,98.11,99.67,97.87,0.158187,81.25,94.11,85.11,0.145273,100.0,100.0,100.0,0.23386,100.0,100.0,100.0,0.281938,90.38,88.03,81.48,0.217636,100.0,100.0,100.0,0.307867,95.45,98.86,94.74,0.196616,96.57,98.37,96.39,0.228696
zooming_level 4,100.0,100.0,100.0,0.276745,94.74,97.45,93.55,0.23785,89.93,97.58,94.59,0.15794,100.0,100.0,100.0,0.231557,96.24,98.9,97.3,0.228066,100.0,100.0,100.0,0.251148,100.0,100.0,100.0,0.178167,100.0,100.0,100.0,0.243754,97.64,99.6,97.87,0.159423,81.79,94.16,86.42,0.166213,100.0,100.0,100.0,0.205344,100.0,100.0,100.0,0.282482,93.08,90.95,85.71,0.220468,100.0,100.0,100.0,0.306127,90.45,97.84,93.51,0.190072,96.26,98.43,96.6,0.222357
shifting_level 1,100.0,100.0,100.0,0.262817,94.21,97.14,92.86,0.207252,91.27,97.92,97.22,0.156584,100.0,100.0,100.0,0.218858,100.0,100.0,100.0,0.221383,100.0,100.0,100.0,0.233132,100.0,100.0,100.0,0.276452,100.0,100.0,100.0,0.251656,97.34,99.56,96.84,0.149659,88.56,96.58,89.41,0.150156,100.0,100.0,100.0,0.20041,100.0,100.0,100.0,0.218268,91.15,90.66,84.62,0.214092,100.0,100.0,100.0,0.25024,100.0,100.0,100.0,0.167908,97.5,98.79,97.4,0.211924
shifting_level 2,100.0,100.0,100.0,0.266484,93.51,96.92,92.86,0.212657,92.06,98.19,97.22,0.158325,100.0,100.0,100.0,0.249279,100.0,100.0,100.0,0.272626,100.0,100.0,100.0,0.232584,100.0,100.0,100.0,0.27651,100.0,100.0,100.0,0.263813,96.81,99.5,96.84,0.150294,92.11,97.7,90.67,0.160167,100.0,100.0,100.0,0.213551,100.0,100.0,100.0,0.210342,90.38,90.87,85.71,0.206121,100.0,100.0,100.0,0.252271,100.0,100.0,100.0,0.153987,97.66,98.88,97.55,0.218601
shifting_level 3,100.0,100.0,100.0,0.257723,93.16,96.57,90.91,0.234295,91.27,97.83,97.22,0.163222,100.0,100.0,100.0,0.236848,100.0,100.0,100.0,0.261527,100.0,100.0,100.0,0.234352,100.0,100.0,100.0,0.271511,100.0,100.0,100.0,0.260043,96.01,99.35,96.77,0.156423,88.76,96.66,88.64,0.148449,98.38,99.46,98.18,0.238888,100.0,100.0,100.0,0.218146,91.15,91.1,84.62,0.213373,98.33,99.51,97.56,0.252633,100.0,100.0,100.0,0.184167,97.14,98.7,96.93,0.222107
shifting_level 4,97.62,99.4,97.56,0.302125,95.61,97.85,94.74,0.242704,98.02,99.6,98.63,0.158804,98.47,99.55,96.67,0.217177,92.48,97.15,94.74,0.263356,99.33,99.63,97.87,0.250173,94.33,97.73,96.77,0.270507,100.0,100.0,100.0,0.238841,91.49,98.53,94.0,0.134936,79.88,87.53,89.66,0.151053,96.1,98.46,94.92,0.167683,100.0,100.0,100.0,0.214144,87.69,87.92,81.82,0.244981,100.0,100.0,100.0,0.287058,83.85,94.28,96.3,0.181251,94.32,97.18,95.58,0.221653
